,Supplier SKU,Waitex Inventory on hand
0,0557-Black-10,3
0,0557-Black-12,0
0,0557-Black-14,0
0,0557-Black-16,0
0,0557-Black-18,2
0,0557-Red-10,1
0,0557-Red-12,0
0,0557-Red-14,0
0,0557-Red-14W,0
0,0557-Red-16,0
0,0557-Red-16W,0
0,0557-Red-18,1
0,0557-Red-18W,0
0,0557-Red-20W,0
0,0557-Red-22W,0
0,0557-Red-24W,0
0,0557-Red-26W,0
0,0557-Red-8,0
0,0557-SoftPink-10,0
0,0557-SoftPink-12,0
0,0557-SoftPink-14,0
0,0557-SoftPink-16,0
0,0557-SoftPink-18,0
0,0557-White-10,0
0,0557-White-12,0
0,0557-White-14,0
0,0557-White-16,0
0,0557-White-18,0
0,0557-White-8,0
0,0557W-Blk/Slvr-14W,0
0,0557W-Blk/Slvr-16W,0
0,0557W-Blk/Slvr-18W,0
0,0557W-Blk/Slvr-20W,0
0,0557W-Blk/Slvr-22W,3
0,0557W-Blk/Slvr-24W,3
0,0557W-Blk/Slvr-26W,3
0,0557W-DkLilac-14W,0
0,0557W-DkLilac-16W,0
0,0557W-DkLilac-18W,0
0,0557W-DkLilac-20W,0
0,0557W-DkLilac-22W,0
0,0557W-DkLilac-24W,0
0,0557W-DkLilac-26W,0
0,0557W-Red-14W,0
0,0557W-Red-16W,0
0,0557W-Red-18W,0
0,0557W-Red-20W,0
0,0557W-Red-22W,0
0,0557W-Red-24W,0
0,0557W-Red-26W,0
0,0557W-White-14W,0
0,0557W-White-16W,3
0,0557W-White-18W,3
0,0557W-White-20W,3
0,0557W-White-22W,3
0,0557W-White-24W,3
0,0557W-White-26W,3
0,0650-Black-10,3
0,0650-Black-12,3
0,0650-Black-14,1
0,0650-Black-16,0
0,0650-Black-18,2
0,0650-Black-6,1
0,0650-Black-8,3
0,0650-Choco-10,3
0,0650-Choco-12,3
0,0650-Choco-14,3
0,0650-Choco-16,3
0,0650-Choco-18,3
0,0650-Choco-8,2
0,0650-Fuchsia-10,0
0,0650-Fuchsia-12,0
0,0650-Fuchsia-14,0
0,0650-Fuchsia-16,0
0,0650-Fuchsia-18,0
0,0650-Royal-10,0
0,0650-Royal-12,0
0,0650-Royal-14,0
0,0650-Royal-16,0
0,0650-Royal-18,2
0,0650-Royal-6,3
0,0650-Royal-8,2
0,0650-Silver-10,3
0,0650-Silver-12,2
0,0650-Silver-14,3
0,0650-Silver-16,3
0,0650-Silver-18,3
0,0650-Silver-8,3
0,0650-White-10,2
0,0650-White-12,3
0,0650-White-14,3
0,0650-White-16,3
0,0650-White-18,3
0,0650-White-6,0
0,0650-White-8,3
0,0650W-Black-14W,3
0,0650W-Black-16W,3
0,0650W-Black-18W,3
0,0650W-Black-20W,0
0,0650W-Black-22W,0
0,0650W-Black-24W,3
0,0650W-Black-26W,3
0,0650W-Black-28W,2
0,0650W-Black-30W,3
0,0650W-Choco-14W,3
0,0650W-Choco-16W,3
0,0650W-Choco-18W,3
0,0650W-Choco-20W,3
0,0650W-Choco-22W,3
0,0650W-Choco-24W,3
0,0650W-Choco-26W,3
0,0650W-Fuchsia-16W,0
0,0650W-Fuchsia-18W,0
0,0650W-Fuchsia-20W,0
0,0650W-Fuchsia-22W,0
0,0650W-Fuchsia-24W,0
0,0650W-Royal-14W,0
0,0650W-Royal-16W,3
0,0650W-Royal-18W,0
0,0650W-Royal-20W,3
0,0650W-Royal-22W,3
0,0650W-Royal-24W,3
0,0650W-Royal-26W,3
0,0650W-Royal-28W,3
0,0650W-Royal-30W,3
0,0650W-Silver-14W,3
0,0650W-Silver-16W,3
0,0650W-Silver-18W,3
0,0650W-Silver-20W,3
0,0650W-Silver-22W,3
0,0650W-Silver-24W,3
0,0650W-Silver-26W,3
0,0650W-White-14W,3
0,0650W-White-16W,0
0,0650W-White-18W,3
0,0650W-White-20W,3
0,0650W-White-22W,3
0,0650W-White-24W,3
0,0650W-White-26W,3
0,0650W-White-28W,3
0,0650W-White-30W,3
0,0654-Black-10,1
0,0654-Black-12,3
0,0654-Black-14,0
0,0654-Black-16,0
0,0654-Black-18,0
0,0654-Black-8,3
0,0654-Pur-10,2
0,0654-Pur-12,2
0,0654-Pur-14,2
0,0654-Pur-16,2
0,0654-Pur-18,2
0,0654-Pur-8,2
0,0654-Red-10,3
0,0654-Red-12,1
0,0654-Red-14,0
0,0654-Red-16,3
0,0654-Red-18,3
0,0654-Red-8,0
0,0654-Royal-10,3
0,0654-Royal-12,3
0,0654-Royal-14,2
0,0654-Royal-16,3
0,0654-Royal-18,3
0,0654-Royal-8,2
0,0654-White-10,0
0,0654-White-12,0
0,0654-White-14,0
0,0654-White-16,0
0,0654-White-18,0
0,0654-White-8,0
0,0654W-Black-14W,0
0,0654W-Black-16W,0
0,0654W-Black-18W,1
0,0654W-Black-20W,0
0,0654W-Black-22W,1
0,0654W-Black-24W,3
0,0654W-Black-26W,2
0,0654W-Pur-14W,2
0,0654W-Pur-16W,2
0,0654W-Pur-18W,2
0,0654W-Pur-20W,2
0,0654W-Pur-22W,2
0,0654W-Pur-24W,2
0,0654W-Pur-26W,2
0,0654W-Red-14W,1
0,0654W-Red-16W,1
0,0654W-Red-18W,2
0,0654W-Red-20W,2
0,0654W-Red-22W,3
0,0654W-Red-24W,2
0,0654W-Red-26W,2
0,0654W-Royal-14W,2
0,0654W-Royal-16W,2
0,0654W-Royal-18W,2
0,0654W-Royal-20W,2
0,0654W-Royal-22W,2
0,0654W-Royal-24W,2
0,0654W-Royal-26W,2
0,0654W-White-14W,0
0,0654W-White-16W,0
0,0654W-White-18W,0
0,0654W-White-20W,0
0,0654W-White-22W,0
0,0654W-White-24W,0
0,0654W-White-26W,0
0,0655-Black-10,3
0,0655-Black-12,3
0,0655-Black-14,3
0,0655-Black-16,3
0,0655-Black-18,3
0,0655-Black-8,3
0,0655-White-10,3
0,0655-White-12,3
0,0655-White-14,3
0,0655-White-16,3
0,0655-White-18,3
0,0655-White-8,3
0,0655W-Black-14W,3
0,0655W-Black-16W,3
0,0655W-Black-18W,3
0,0655W-Black-20W,3
0,0655W-Black-22W,3
0,0655W-Black-24W,3
0,0655W-Black-26W,3
0,0655W-White-14W,3
0,0655W-White-16W,3
0,0655W-White-18W,3
0,0655W-White-20W,3
0,0655W-White-22W,3
0,0655W-White-24W,3
0,0655W-White-26W,3
0,0710-Black-10,0
0,0710-Black-12,0
0,0710-Black-14,2
0,0710-Black-16,1
0,0710-Black-18,0
0,0710-Black-8,0
0,0710-Chocolate-10,3
0,0710-Chocolate-12,3
0,0710-Chocolate-14,3
0,0710-Chocolate-16,3
0,0710-Chocolate-18,3
0,0710-Chocolate-8,3
0,0710-Ivory-10,3
0,0710-Ivory-12,3
0,0710-Ivory-14,0
0,0710-Ivory-16,0
0,0710-Ivory-18,0
0,0710-Ivory-8,3
0,0710-Navy-10,3
0,0710-Navy-12,0
0,0710-Navy-14,0
0,0710-Navy-16,0
0,0710-Navy-18,0
0,0710-Navy-8,0
0,0710-Royal-10,0
0,0710-Royal-12,0
0,0710-Royal-14,0
0,0710-Royal-16,0
0,0710-Royal-18,3
0,0710-Royal-8,0
0,0710-White-10,1
0,0710-White-12,0
0,0710-White-14,2
0,0710-White-16,2
0,0710-White-18,2
0,0710-White-8,1
0,0710W-Black-14W,3
0,0710W-Black-16W,3
0,0710W-Black-18W,1
0,0710W-Black-20W,0
0,0710W-Black-22W,3
0,0710W-Black-24W,3
0,0710W-Black-26W,3
0,0710W-Choco-14W,3
0,0710W-Choco-16W,3
0,0710W-Choco-18W,3
0,0710W-Choco-20W,3
0,0710W-Choco-22W,3
0,0710W-Choco-24W,3
0,0710W-Choco-26W,3
0,0710W-Ivory-14W,0
0,0710W-Ivory-16W,0
0,0710W-Ivory-18W,0
0,0710W-Ivory-20W,1
0,0710W-Ivory-22W,1
0,0710W-Ivory-24W,3
0,0710W-Ivory-26W,3
0,0710W-Navy-14W,0
0,0710W-Navy-16W,0
0,0710W-Navy-18W,0
0,0710W-Navy-20W,3
0,0710W-Navy-22W,3
0,0710W-Navy-24W,3
0,0710W-Navy-26W,3
0,0710W-Royal-14W,0
0,0710W-Royal-16W,3
0,0710W-Royal-18W,0
0,0710W-Royal-20W,2
0,0710W-Royal-22W,3
0,0710W-Royal-24W,3
0,0710W-Royal-26W,3
0,0710W-White-14W,3
0,0710W-White-16W,3
0,0710W-White-18W,3
0,0710W-White-20W,3
0,0710W-White-22W,3
0,0710W-White-24W,3
0,0710W-White-26W,3
0,0711-Lime-10,2
0,0711-Lime-12,2
0,0711-Lime-14,2
0,0711-Lime-16,2
0,0711-Lime-18,2
0,0711-Navy-10,2
0,0711-Navy-12,2
0,0711-Navy-14,2
0,0711-Navy-16,2
0,0711-Navy-18,2
0,0711-Navy-8,2
0,0711W-Lime-14W,2
0,0711W-Lime-16W,2
0,0711W-Lime-18W,2
0,0711W-Lime-20W,2
0,0711W-Lime-22W,2
0,0711W-Lime-24W,2
0,0711W-Navy-14W,2
0,0711W-Navy-16W,2
0,0711W-Navy-18W,2
0,0711W-Navy-20W,2
0,0711W-Navy-22W,2
0,0711W-Navy-24W,2
0,0711W-Navy-26W,2
0,0823-Black-10,5
0,0823-Black-12,0
0,0823-Black-14,0
0,0823-Black-16,0
0,0823-Black-18,0
0,0823-Black-8,2
0,0823-Choco-10,3
0,0823-Choco-12,0
0,0823-Choco-14,0
0,0823-Choco-16,0
0,0823-Choco-18,0
0,0823-Choco-8,0
0,0823-Navy-10,5
0,0823-Navy-12,0
0,0823-Navy-14,0
0,0823-Navy-16,0
0,0823-Navy-18,3
0,0823-Navy-8,2
0,0823-Purple-10,3
0,0823-Purple-12,3
0,0823-Purple-14,3
0,0823-Purple-16,3
0,0823-Purple-18,3
0,0823-Red-10,3
0,0823-Red-12,3
0,0823-Red-14,3
0,0823-Red-16,3
0,0823-Red-18,3
0,0823-Red-8,3
0,0823-Royal-10,3
0,0823-Royal-12,3
0,0823-Royal-14,3
0,0823-Royal-16,3
0,0823-Royal-18,3
0,0823-Royal-8,3
0,0823-Silver-10,3
0,0823-Silver-12,3
0,0823-Silver-14,1
0,0823-Silver-16,3
0,0823-Silver-18,3
0,0823-White-10,0
0,0823-White-12,0
0,0823-White-14,0
0,0823-White-16,0
0,0823-White-18,0
0,0823-White-8,0
0,0823W-Black-14W,0
0,0823W-Black-16W,0
0,0823W-Black-18W,0
0,0823W-Black-20W,0
0,0823W-Black-22W,0
0,0823W-Black-24W,1
0,0823W-Black-26W,3
0,0823W-Black-28W,3
0,0823W-Black-30W,3
