Style,Color,6,8,10,12,14,16,18,14w,16w,18w,20w,22w,24w,26w,28w,30w,32w,S,M,L,XL,1X,2X
'0650,SILVER,,3,6,4,4,,,6,,1,6,6,,,,,,,,,,,
'0650,WHITE,,,1,,,,7,,,,,7,,,4,5,,,,,,,
'0650,BLACK,,,,5,,,1,,,,,,,,5,7,,,,,,,
'0650,CHOCOLATE,,4,5,,,,,7,,,,,,,,,,,,,,,
'0650,ROYAL,1,,,,,,,,1,,,3,,,3,1,,,,,,,
'0650,BLACK #1869,4,3,,,,,,,,,,,,,,,,,,,,,
'0650,WHITE #1869,6,,,,,,,,,,,,,,,,,,,,,,
'0650W,SILVER,,,,,,,,6,,1,6,6,,,,,,,,,,,
'0650W,WHITE,,,,,,,,,,,,7,,,4,5,,,,,,,
'0650W,BLACK,,,,,,,,,,,,,,,5,7,,,,,,,
'0650W,ROYAL,,,,,,,,,1,,,3,,,3,1,,,,,,,
'0650W,CHOCOLATE,,,,,,,,7,,,,,,,,,,,,,,,
'0655,BLACK #1857,,,,,,,,6,4,,3,,,,,,,,,,,,
'0655,NAVY #1833,,3,,6,,,,,,,,,,,,,,,,,,,
'0655,BLACK,,,,,,,,,4,,,,4,1,,,,,,,,,
'0655,WHITE #1857,,5,,,,,,,,,,,,,,,,,,,,,
'0655,ROYAL #1833,,4,,,,,,,,,,,,,,,,,,,,,
'0655W,BLACK #1857,,,,,,,,6,4,,3,,,,,,,,,,,,
'0655W,BLACK,,,,,,,,,4,,,,4,1,,,,,,,,,
'0707,WHITE,,,,,,,,7,,,,,,,4,,,,,,,,
'0707W,WHITE,,,,,,,,7,,,,,,,4,,,,,,,,
'0708,NAVY,,2,,,,,,,,,,,,,7,3,,,,,,,
'0708W,NAVY,,,,,,,,,,,,,,,7,3,,,,,,,
'0709,RED,,,,,,,4,5,,,5,,,7,,,,,,,,,
'0709,BLACK,,,,6,,6,3,,,3,,,,,,,,,,,,,
'0709,EMERALD,,,4,,,,,,,,,,,,,,,,,,,,
'0709W,RED,,,,,,,,5,,,5,,,7,,,,,,,,,
'0709W,BLACK,,,,,,,,,,3,,,,,,,,,,,,,
'0710,BLACK #1834,,4,1,6,3,7,5,,,,2,5,,,,,,,,,,,
'0710,WHITE #1809,,,,,,,,,,,,,7,,4,7,,,,,,,
'0710,BLACK #1809,,,,,,,,6,,,,,3,5,3,,,,,,,,
'0710,ROYAL,,,,,,,7,,6,,2,,,,,,,,,,,,
'0710,BLACK,,,,,,,,,,,,,,,7,7,,,,,,,
Style,Color,6,8,10,12,14,16,18,14w,16w,18w,20w,22w,24w,26w,28w,30w,32w,S,M,L,XL,1X,2X
'0710,IVORY,,5,,,,,,,,,1,,,7,,,,,,,,,
'0710,NAVY #1834,,1,,,,,,,,,4,7,,,,,,,,,,,
'0710,WHITE,,2,,,,,,,,,,7,2,,,,,,,,,,
'0710,ROYAL #1834,,,2,,3,1,,,2,,,,,,,,,,,,,,
'0710,NAVY,,1,,,,,1,,,1,,,,,,,,,,,,,
'0710,IVORY #1834,,2,,,,,,,,,,,,,,,,,,,,,
'0710,CHOCOLATE,,,,,,,,,,,,1,,,,,,,,,,,
'0710W,WHITE #1809,,,,,,,,,,,,,7,,4,7,,,,,,,
'0710W,BLACK #1809,,,,,,,,6,,,,,3,5,3,,,,,,,,
