DATE,01/31/19,ATS ON HAND (QTY < 8),,,,,,,,,,,,,,,,,,,,,,,,
Style,Color,6,8,10,12,14,16,18,14w,16w,18w,20w,22w,24w,26w,28w,30w,32w,S,M,L,XL,1X,2X,3X,sum
'0650,BLACK,0,,,5,,,1,,,,,,,,5,7,,,,,,,,,18
'0650,BLACK #1869,4,3,,,,,,,,,,,,,,,,,,,,,,,7
'0650,CHOCOLATE,0,4,5,,,,,7,,,,,,,,,,,,,,,,,16
'0650,ROYAL,1,,,,,,,,1,,,3,,,3,1,,,,,,,,,9
'0650,SILVER,0,3,6,4,4,,,6,,1,6,6,,,,,,,,,,,,,36
'0650,WHITE,0,,1,,,,7,,,,,7,,,4,5,,,,,,,,,24
'0650,WHITE #1869,6,,,,,,,,,,,,,,,,,,,,,,,,6
'0655,BLACK,,,,,,,,,4,,,,4,1,,,,,,,,,,,9
'0655,BLACK #1857,,,,,,,,6,4,,3,,,,,,,,,,,,,,13
'0655,NAVY #1833,,3,,6,,,,,,,,,,,,,,,,,,,,,9
'0655,ROYAL #1833,,4,,,,,,,,,,,,,,,,,,,,,,,4
'0655,WHITE #1857,,5,,,,,,,,,,,,,,,,,,,,,,,5
'0707,WHITE,,,,,,,,7,,,,,,,4,,,,,,,,,,11
'0708,NAVY,,2,,,,,,,,,,,,,7,3,,,,,,,,,12
'0709,BLACK,,,,6,,6,3,,,3,,,,,,,,,,,,,,,18
'0709,EMERALD,,,4,,,,,,,,,,,,,,,,,,,,,,4
'0709,RED,,,,,,,4,5,,,5,,,7,,,,,,,,,,,21
'0710,BLACK,,,,,,,,,,,,,,,7,7,,,,,,,,,14
'0710,BLACK #1809,,,,,,,,6,,,,,3,5,3,,,,,,,,,,17
'0710,BLACK #1834,,4,1,6,3,7,5,,,,2,5,,,,,,,,,,,,,33
'0710,CHOCOLATE,,,,,,,,,,,,1,,,,,,,,,,,,,1
'0710,IVORY,,5,,,,,,,,,1,,,7,,,,,,,,,,,13
'0710,IVORY #1834,,2,,,,,,,,,,,,,,,,,,,,,,,2
'0710,NAVY,,1,,,,,1,,,1,,,,,,,,,,,,,,,3
'0710,NAVY #1834,,1,,,,,,,,,4,7,,,,,,,,,,,,,12
'0710,ROYAL,,,,,,,7,,6,,2,,,,,,,,,,,,,,15
'0710,ROYAL #1834,,,2,,3,1,,,2,,,,,,,,,,,,,,,,8
'0710,WHITE,,2,,,,,,,,,,7,2,,,,,,,,,,,,11
'0710,WHITE #1809,,,,,,,,,,,,,7,,4,7,,,,,,,,,18
'0711,FUCHSIA,,5,,,,,,,,,,,,6,,,,,,,,,,,11
'0711,LIME,,,,,,,,,,,,6,4,,,,,,,,,,,,10
'0818,FUCHSIA,,,,6,,,,,,,,,,,,,,,,,,,,,6
'0818,NAVY,,7,3,5,,,,,,,,,,,,,,,,,,,,,15
'0822,NAVY,,1,,,,,,,,,,,,,,,,,,,,,,,1
'0822,PEACH,,,5,7,3,2,7,,7,,,,,,,,,,,,,,,,31
'0823,BLACK,,,3,,,,,,,,,,,2,4,7,,,,,,,,,16
'0823,CHOCOLATE,,,,,,,,1,4,2,,,1,7,,,,,,,,,,,15
'0823,NAVY,,1,,,,,7,,,,,,,,,5,,,,,,,,,13
'0823,PURPLE,,,,,7,,,,,,,,,,,,,,,,,,,,7
