style,color,url
D1319, Blue,https://www.dropbox.com/s/un499t9h0a4o4zh/D1319%20Blue_wm.jpg?dl=1
D1319, Purple,https://www.dropbox.com/s/yqvzecmhqzmiyzj/D1319%20Purple_wm.jpg?dl=1
D1320, Mustard Gold,https://www.dropbox.com/s/8s7ibs7ii20wntc/D1320%20Mustard%20Gold_wm.jpg?dl=1
D1320, Olive,https://www.dropbox.com/s/1c19l4dhplz8hvh/D1320%20Olive_wm.jpg?dl=1
D1320, Royal,https://www.dropbox.com/s/luh1uth1z03csf2/D1320%20Royal_wm.jpg?dl=1
D1321, Black,https://www.dropbox.com/s/8r813fmsqzdigeu/D1321%20Black_wm.jpg?dl=1
D1321, White,https://www.dropbox.com/s/7d69s2dd2maezv3/D1321%20White_wm.jpg?dl=1
D1322, Denim Dot,https://www.dropbox.com/s/i2bgblo5e6dzpje/D1322%20Denim%20Dot_wm.jpg?dl=1
D1323, Silver,https://www.dropbox.com/s/q3galpsqffad1mg/D1323%20Silver_wm.jpg?dl=1
D1323, White,https://www.dropbox.com/s/suywqkdugrod9lv/D1323%20White_wm.jpg?dl=1
D1324, Denim Dot,https://www.dropbox.com/s/vuujgk44lbq883p/D1324%20Denim%20Dot_wm.jpg?dl=1
D1325, Denim Dot,https://www.dropbox.com/s/7wz2qm58wb2kjny/D1325%20Denim%20Dot_wm.jpg?dl=1
D1326P, Blue print,https://www.dropbox.com/s/fld39ao7q55ym5a/D1326P%20Blue%20print_wm.jpg?dl=1
D1326P, Yellow print,https://www.dropbox.com/s/okj83h198x2753b/D1326P%20Yellow%20print_wm.jpg?dl=1
D1327, Green-pink,https://www.dropbox.com/s/52jcmxuklms4tv4/D1327%20Green-pink_wm.jpg?dl=1
D1327, Green-yellow,https://www.dropbox.com/s/33czpyhqdm71308/D1327%20Green-yellow_wm.jpg?dl=1
D1328, Champagne,https://www.dropbox.com/s/8qa7rf4go9o9njz/D1328%20Champagne_back_wm.jpg?dl=1
D1328, Champagne,https://www.dropbox.com/s/ie0c3dqlo4d3frs/D1328%20Champagne_wm.jpg?dl=1
D1329, Aqua blue,https://www.dropbox.com/s/xxz44eqvjq31zuy/D1329%20Aqua%20blue_back_wm.jpg?dl=1
D1329, Aqua blue,https://www.dropbox.com/s/n8zsvfhbhmknq75/D1329%20Aqua%20blue_wm.jpg?dl=1
D1329, Coral pink,https://www.dropbox.com/s/cvtc66dfvw9tjgv/D1329%20Coral%20pink_wm.jpg?dl=1
D1329, White,https://www.dropbox.com/s/zrnwt9uaebwhkkr/D1329%20White_back_wm.jpg?dl=1
D1329, White,https://www.dropbox.com/s/35m7am95a5g0tik/D1329%20White_dress_wm.jpg?dl=1
D1329, White,https://www.dropbox.com/s/6hirtcalbly9occ/D1329%20White_wm.jpg?dl=1
D1331, Brick,https://www.dropbox.com/s/jh4nkdetqnq6y5h/D1331%20Brick_wm.jpg?dl=1
D1331, Purple,https://www.dropbox.com/s/2uqtf2gq3fftf2w/D1331%20Purple_wm.jpg?dl=1
D1331, Rainbow,https://www.dropbox.com/s/7p38bje01v3c68m/D1331%20Rainbow_wm.jpg?dl=1
D1331, Royal,https://www.dropbox.com/s/h5udz4dtu2oob4q/D1331%20Royal_wm.jpg?dl=1
D1332, Black-wht,https://www.dropbox.com/s/ej17a15tu81xm83/D1332%20Black-wht_wm.jpg?dl=1
D1332, Black,https://www.dropbox.com/s/yt3yqsbied859qc/D1332%20Black_back_wm.jpg?dl=1
D1332, Black,https://www.dropbox.com/s/8h0xq0wgpf1r3r6/D1332%20Black_wm.jpg?dl=1
D1332, White,https://www.dropbox.com/s/jpm96whzuj03uxz/D1332%20White_wm.jpg?dl=1
D1333, Ivory,https://www.dropbox.com/s/unsjmtp6k6lprxb/D1333%20Ivory_wm.jpg?dl=1
D1333, Lavender,https://www.dropbox.com/s/aaq05unh8pbt4g3/D1333%20Lavender_back_wm.jpg?dl=1
D1333, Lavender,https://www.dropbox.com/s/qi226mk1nnjlugy/D1333%20Lavender_wm.jpg?dl=1
D1333, Navy,https://www.dropbox.com/s/jpfvr069cz7ickn/D1333%20Navy_1_wm.jpg?dl=1
D1333, Navy,https://www.dropbox.com/s/f3ry5i305s43fik/D1333%20Navy_2_wm.jpg?dl=1
D1334, Navy,https://www.dropbox.com/s/ql7w6r783nhcbff/D1334%20Navy_dress_wm.jpg?dl=1
D1334, Navy,https://www.dropbox.com/s/amdvuy8c0a6gehe/D1334%20Navy_wm.jpg?dl=1
D1334, Purple,https://www.dropbox.com/s/4lup2yk8mt8iuzu/D1334%20Purple_wm.jpg?dl=1
D1335, White-blk,https://www.dropbox.com/s/lok153i0kl7d1dz/D1335%20White-blk_wm.jpg?dl=1
D1336, White-blk,https://www.dropbox.com/s/fgxsx9zkvlcrwr2/D1336%20White-blk_wm.jpg?dl=1
D1337, Multi,https://www.dropbox.com/s/41mufkftabykfbe/D1337%20Multi_wm.jpg?dl=1
D1338, Black-wht,https://www.dropbox.com/s/churoyadngmojdj/D1338%20Black-wht_wm.jpg?dl=1
D1339, Gold-royal,https://www.dropbox.com/s/x3jeriyj5qvxpb7/D1339%20Gold-royal_wm.jpg?dl=1
D1340, Gold-red-blk,https://www.dropbox.com/s/ig9q18j4jllq3kr/D1340%20Gold-red-blk_1_wm.jpg?dl=1
D1340, Gold-red-blk,https://www.dropbox.com/s/46969r57mwu0x2h/D1340%20Gold-red-blk_2_wm.jpg?dl=1
D1341, Orange multi,https://www.dropbox.com/s/7w37n8hthehnuay/D1341%20Orange%20multi_wm.jpg?dl=1
D1341, Seafoam multi,https://www.dropbox.com/s/m7iqatj9v8svcxg/D1341%20Seafoam%20multi_wm.jpg?dl=1
D1341, Seafoam,https://www.dropbox.com/s/pybma403uafxyaj/D1341%20Seafoam_back_wm.jpg?dl=1
D1341, Seafoam,https://www.dropbox.com/s/ohe6ix2vlxocn5a/D1341%20Seafoam_dress_wm.jpg?dl=1
D1342, Black-red,https://www.dropbox.com/s/fw9gmmo4wmrpmti/D1342%20Black-red_1_wm.jpg?dl=1
