Style,UpdateOS,UpdateOSM,UpdateJCP,Check,ATS,OS,OSM,JCP
'0650,"['BLK', 'CHOCO', 'RYL', 'SIL', 'WHT']",N/A,"['BLK', 'CHOCO', 'WHT']",P,"['BLK', 'CHOCO', 'RYL', 'SIL', 'WHT']","['Black', 'Choco', 'Fuchsia', 'Royal', 'Silver', 'White']", N/A,"['BLACK', 'CHOCOLATE', 'WHITE']"
'0652,N/A,"['BLK', 'Emerald', 'RED']",N/A,P,"['BLK', 'EMERALD', 'RED']", N/A,"['BLK', 'EMERALD', 'RED']", N/A
'0653,N/A,"['BLK', 'WHT']",N/A,P,"['BLK', 'WHT']", N/A,"['BLACK', 'WHITE']", N/A
'0654,"['BLK', 'RED', 'RYL']",N/A,"['BLK', 'WHT']",P,"['PURPLE', 'RED', 'RYL']","['Black', 'Pur', 'Red', 'Royal', 'White']", N/A,"['BLACK', 'WHITE']"
'0655,"['BLK', 'NAVY', 'RYL', 'WHT']",N/A,N/A,P,"['BLK', 'NAVY', 'RYL', 'WHT']","['Black', 'Navy', 'Ryl', 'White']", N/A, N/A
'0707,N/A,['WHT'],N/A,P,['WHT'], N/A,['WHT'], N/A
'0708,"['BLK', 'NAVY', 'WHT']",N/A,N/A,P,"['BLK', 'NAVY', 'WHT']","['BLK', 'NAVY', 'WHT']", N/A, N/A
'0709,"['BLK', 'EMERALD', 'RED']","['BLK', 'Emerald', 'RED']",N/A,P,"['BLK', 'EMERALD', 'RED']","['BLK', 'Chocolate', 'Emerald', 'Ivory', 'Navy', 'Red', 'RED', 'Turq', 'White']","['BLK', 'Emerald', 'RED']", N/A
'0710,"['BLK', 'CHOCO', 'IVY', 'NAVY', 'RYL', 'WHT']",N/A,N/A,P,"['BLK', 'CHOCO', 'IVY', 'NAVY', 'RYL', 'WHT']","['Black', 'Chocolate', 'Ivory', 'Navy', 'Royal', 'Choco', 'White']", N/A, N/A
'0823,"['BLK', 'CHOCO', 'NAVY', 'PURPLE', 'RED', 'RYL', 'SIL', 'WHT']",N/A,N/A,P,"['BLK', 'CHOCO', 'NAVY', 'PURPLE', 'RED', 'RYL', 'SIL', 'WHT']","['Black', 'Choco', 'Navy', 'Purple', 'Red', 'Royal', 'Silver', 'Chocolate', 'White']", N/A, N/A
'0824,"['', 'CRAN', 'RYL', 'WHT']",N/A,N/A,P,"['BLK', 'CRAN', 'PLUM', 'RYL', 'SIL', 'WHT']","['Black', 'Cranberry', 'Plum', 'Royal', 'Silver', 'White']", N/A, N/A
'0825,[''],N/A,"['BLK', 'CHOCO', 'WHT']",P,"['BLK', 'CHOCO', 'WHT']","['Black', 'Choco', 'White']", N/A,"['BLACK', 'CHOCO', 'WHITE']"
'0826,[''],['BLK'],N/A,P,['BLK'],['BLK'],['BLK'], N/A
'0867,"['', 'CHOCO']",N/A,N/A,X,"['BLK', 'CHOCO', 'WHT']","['Black', 'Choco', 'White']", N/A, N/A
'0875,[''],N/A,N/A,X,"['LAV', 'PEACOCK']","['Black', 'Lavender', 'Peacock', 'Purple', 'Red', 'White']", N/A, N/A
'0888,N/A,N/A,N/A,X,['SAPP/TEAL'], N/A, N/A, N/A
'0889W,"['', 'AQUA BLUE', 'CORAL PINK']",N/A,N/A,X,['WHT'],"['Aqua Blue', 'Coral Pink', 'Red', 'Sapphire', 'Silver', 'White']", N/A, N/A
'0898W,N/A,N/A,N/A,X,['SFM'], N/A, N/A, N/A
'0901,N/A,N/A,N/A,X,"['CHAM', 'IVY', 'WHT', 'BLK']", N/A, N/A, N/A
'0903,"['BLK', 'WHT']","['BLK', 'WHT']",N/A,P,"['BLK', 'WHT']","['BLK', 'WHT']","['BLK', 'WHT']", N/A
'0907,"['CHAM', 'Emerald']",N/A,N/A,P,"['EMERALD', 'CHAM']","['Champ', 'Emerald']", N/A, N/A
'0908,"['CHAM', 'Emerald']",N/A,N/A,P,"['EMERALD', 'CHAM']","['Champ', 'Emerald']", N/A, N/A
'0910,[''],['BLK/WHT DOT'],N/A,X,"['BLK/WHT DOT', 'CORAL/WHT']",['BLK/WHT'],['BLK/WHT'], N/A
'0912,N/A,"['BLUE', 'WHT']",N/A,P,"['BLUE', 'WHT']", N/A,"['BLUE', 'WHT']", N/A
'0914,N/A,"['WHT', 'YELLOW']",N/A,P,"['WHT', 'YELLOW']", N/A,"['WHT', 'YELLOW']", N/A
'0914VW,N/A,N/A,N/A,X,['BLUE'], N/A, N/A, N/A
'0915,N/A,N/A,N/A,X,"['BLUE', 'WHT', 'YELLOW']", N/A, N/A, N/A
'0918,['NAVY'],N/A,N/A,P,['NAVY'],['Navy'], N/A, N/A
'0919,N/A,"['BLK', 'FUCHSIA', '919']",N/A,P,"['BLK', 'FUCHSIA']", N/A,"['BLK', 'FUCHSIA']", N/A
'0920,N/A,"['BLK', 'WHT']",N/A,P,"['BLK', 'WHT']", N/A,"['BLK', 'WHT']", N/A
'0921W,N/A,"['BLK', 'WHT']",N/A,P,['WHT'], N/A,"['BLK', 'WHT']", N/A
'0927,N/A,N/A,N/A,X,"['O.BLUE', 'VIOLET']", N/A, N/A, N/A
'0928,N/A,N/A,N/A,X,"['O.BLUE', 'VIOLET']", N/A, N/A, N/A
'0929,N/A,N/A,N/A,X,"['HP', 'TURQ', 'WHT']", N/A, N/A, N/A
'0930,N/A,N/A,N/A,X,"['IVY', 'ORG RED']", N/A, N/A, N/A
'D1318,N/A,N/A,N/A,X,['FUCHSIA/RYL'], N/A, N/A, N/A
'D1319,N/A,N/A,N/A,X,"['BLUE', 'PURPLE']", N/A, N/A, N/A
'D1320,N/A,N/A,N/A,X,"['MUSTARD/GLD', 'OLIVE/BLK', 'RYL']", N/A, N/A, N/A
'D1321,N/A,N/A,N/A,X,"['BLK', 'WHT']", N/A, N/A, N/A
'D1323,N/A,N/A,N/A,X,"['SIL', 'WHT']", N/A, N/A, N/A
'D1324,N/A,N/A,N/A,X,['DENIM DOT'], N/A, N/A, N/A
'D1325,[''],N/A,N/A,X,['DENIM DOT'],['DENIM DOT'], N/A, N/A
'D1326,N/A,N/A,N/A,X,['WHT'], N/A, N/A, N/A
'D1326P,N/A,N/A,N/A,X,"['BLUE PRT', 'YEL PRT']", N/A, N/A, N/A
'D1327,N/A,N/A,N/A,X,"['GREEN', 'GREEN/PINK', 'GREEN/YEL', 'RYL']", N/A, N/A, N/A
'D1329,N/A,N/A,N/A,X,"['CORAL PINK', 'WHT']", N/A, N/A, N/A
'D1331,N/A,N/A,N/A,X,"['RAINBOW', 'RED']", N/A, N/A, N/A
'D1332,N/A,N/A,N/A,X,"['BLACK/WHT', 'BLK/BLK', 'WHT/WHT']", N/A, N/A, N/A
