Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,"SEO Title,SEO Description",Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
0557-RED,0557-RED,,GIOVANNA APPAREL,SUIT,GIOVANNA SIGNATURE,TRUE,COLOR,RED,SIZE,0,,,0557-RED,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/jhclfaorqt0cq39/0557%20red_wm.jpg?dl=0,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
0557-WHT,0557-WHT,,GIOVANNA APPAREL,SUIT,GIOVANNA SIGNATURE,TRUE,COLOR,WHT,SIZE,0,,,0557-WHT,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/xtbentegzlx04hi/0557%20white_wm.jpg?dl=0,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
0586-NAVY,0586-NAVY,,GIOVANNA APPAREL,SUIT,GIOVANNA SIGNATURE,TRUE,COLOR,NAVY,SIZE,0,,,0586-NAVY,,,0,deny,manual,0,,TRUE,FALSE,,NO URL,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
0650-CHOCO,0650-CHOCO,,GIOVANNA APPAREL,SUIT,GIOVANNA SIGNATURE,TRUE,COLOR,CHOCO,SIZE,0,,,0650-CHOCO,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/1w8g1xphks22jpo/0650%20chocolate_wm.jpg?dl=0,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
0650-RYL,0650-RYL,,GIOVANNA APPAREL,SUIT,GIOVANNA SIGNATURE,TRUE,COLOR,RYL,SIZE,0,,,0650-RYL,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/odqy0db4e0chcon/0650%20royal_wm.jpg?dl=0,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
0650-SIL,0650-SIL,,GIOVANNA APPAREL,SUIT,GIOVANNA SIGNATURE,TRUE,COLOR,SIL,SIZE,0,,,0650-SIL,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/lx12fbo6jhls7wq/0650%20silver_wm.jpg?dl=0,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
0650-WHT,0650-WHT,,GIOVANNA APPAREL,SUIT,GIOVANNA SIGNATURE,TRUE,COLOR,WHT,SIZE,0,,,0650-WHT,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/pus1hghiemhztkc/0650%20white_wm.jpg?dl=0,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
0654-PURPLE,0654-PURPLE,,GIOVANNA APPAREL,SUIT,GIOVANNA SIGNATURE,TRUE,COLOR,PURPLE,SIZE,0,,,0654-PURPLE,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/rvwxmgbvab9mh9n/0654%20purple_wm.jpg?dl=0,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
0654-RED,0654-RED,,GIOVANNA APPAREL,SUIT,GIOVANNA SIGNATURE,TRUE,COLOR,RED,SIZE,0,,,0654-RED,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/ac0kbp8v4m838ne/0654%20red_wm.jpg?dl=0,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
0654-RYL,0654-RYL,,GIOVANNA APPAREL,SUIT,GIOVANNA SIGNATURE,TRUE,COLOR,RYL,SIZE,0,,,0654-RYL,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/vpd96zmvyi6e964/0654%20royal_wm.jpg?dl=0,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
