Style,ATS COLOR,COLOR,SIZE,URL,INDEX
D1319,BLUE, Blue,S,https://dl.dropboxusercontent.com/s/un499t9h0a4o4zh/D1319%20Blue_wm.jpg?dl=0,0
D1319,BLUE, Blue,M,https://dl.dropboxusercontent.com/s/un499t9h0a4o4zh/D1319%20Blue_wm.jpg?dl=0,0
D1319,BLUE, Blue,L,https://dl.dropboxusercontent.com/s/un499t9h0a4o4zh/D1319%20Blue_wm.jpg?dl=0,0
D1319,BLUE, Blue,XL,https://dl.dropboxusercontent.com/s/un499t9h0a4o4zh/D1319%20Blue_wm.jpg?dl=0,0
D1319,BLUE, Blue,1X,https://dl.dropboxusercontent.com/s/un499t9h0a4o4zh/D1319%20Blue_wm.jpg?dl=0,0
D1319,PURPLE, Purple,S,https://dl.dropboxusercontent.com/s/yqvzecmhqzmiyzj/D1319%20Purple_wm.jpg?dl=0,0
D1319,PURPLE, Purple,M,https://dl.dropboxusercontent.com/s/yqvzecmhqzmiyzj/D1319%20Purple_wm.jpg?dl=0,0
D1319,PURPLE, Purple,L,https://dl.dropboxusercontent.com/s/yqvzecmhqzmiyzj/D1319%20Purple_wm.jpg?dl=0,0
D1319,PURPLE, Purple,XL,https://dl.dropboxusercontent.com/s/yqvzecmhqzmiyzj/D1319%20Purple_wm.jpg?dl=0,0
D1319,PURPLE, Purple,1X,https://dl.dropboxusercontent.com/s/yqvzecmhqzmiyzj/D1319%20Purple_wm.jpg?dl=0,0
D1320,RYL, Royal,XL,https://dl.dropboxusercontent.com/s/luh1uth1z03csf2/D1320%20Royal_wm.jpg?dl=0,0
D1320,RYL, Royal,1X,https://dl.dropboxusercontent.com/s/luh1uth1z03csf2/D1320%20Royal_wm.jpg?dl=0,0
D1320,RYL, Royal,2X,https://dl.dropboxusercontent.com/s/luh1uth1z03csf2/D1320%20Royal_wm.jpg?dl=0,0
D1321,BLK, Black,S,https://dl.dropboxusercontent.com/s/8r813fmsqzdigeu/D1321%20Black_wm.jpg?dl=0,0
D1321,BLK, Black,M,https://dl.dropboxusercontent.com/s/8r813fmsqzdigeu/D1321%20Black_wm.jpg?dl=0,0
D1321,BLK, Black,L,https://dl.dropboxusercontent.com/s/8r813fmsqzdigeu/D1321%20Black_wm.jpg?dl=0,0
D1321,BLK, Black,XL,https://dl.dropboxusercontent.com/s/8r813fmsqzdigeu/D1321%20Black_wm.jpg?dl=0,0
D1321,BLK, Black,1X,https://dl.dropboxusercontent.com/s/8r813fmsqzdigeu/D1321%20Black_wm.jpg?dl=0,0
D1321,WHT, White,S,https://dl.dropboxusercontent.com/s/7d69s2dd2maezv3/D1321%20White_wm.jpg?dl=0,0
D1321,WHT, White,M,https://dl.dropboxusercontent.com/s/7d69s2dd2maezv3/D1321%20White_wm.jpg?dl=0,0
D1321,WHT, White,L,https://dl.dropboxusercontent.com/s/7d69s2dd2maezv3/D1321%20White_wm.jpg?dl=0,0
D1321,WHT, White,XL,https://dl.dropboxusercontent.com/s/7d69s2dd2maezv3/D1321%20White_wm.jpg?dl=0,0
D1321,WHT, White,1X,https://dl.dropboxusercontent.com/s/7d69s2dd2maezv3/D1321%20White_wm.jpg?dl=0,0
D1322,DENIM DOT, Denim Dot,S,https://dl.dropboxusercontent.com/s/i2bgblo5e6dzpje/D1322%20Denim%20Dot_wm.jpg?dl=0,0
D1322,DENIM DOT, Denim Dot,M,https://dl.dropboxusercontent.com/s/i2bgblo5e6dzpje/D1322%20Denim%20Dot_wm.jpg?dl=0,0
D1322,DENIM DOT, Denim Dot,L,https://dl.dropboxusercontent.com/s/i2bgblo5e6dzpje/D1322%20Denim%20Dot_wm.jpg?dl=0,0
D1322,DENIM DOT, Denim Dot,XL,https://dl.dropboxusercontent.com/s/i2bgblo5e6dzpje/D1322%20Denim%20Dot_wm.jpg?dl=0,0
D1322,DENIM DOT, Denim Dot,1X,https://dl.dropboxusercontent.com/s/i2bgblo5e6dzpje/D1322%20Denim%20Dot_wm.jpg?dl=0,0
D1323,SIL, Silver,M,https://dl.dropboxusercontent.com/s/q3galpsqffad1mg/D1323%20Silver_wm.jpg?dl=0,0
D1323,SIL, Silver,L,https://dl.dropboxusercontent.com/s/q3galpsqffad1mg/D1323%20Silver_wm.jpg?dl=0,0
D1323,SIL, Silver,XL,https://dl.dropboxusercontent.com/s/q3galpsqffad1mg/D1323%20Silver_wm.jpg?dl=0,0
D1323,SIL, Silver,1X,https://dl.dropboxusercontent.com/s/q3galpsqffad1mg/D1323%20Silver_wm.jpg?dl=0,0
D1323,WHT, White,M,https://dl.dropboxusercontent.com/s/suywqkdugrod9lv/D1323%20White_wm.jpg?dl=0,0
D1323,WHT, White,L,https://dl.dropboxusercontent.com/s/suywqkdugrod9lv/D1323%20White_wm.jpg?dl=0,0
D1323,WHT, White,XL,https://dl.dropboxusercontent.com/s/suywqkdugrod9lv/D1323%20White_wm.jpg?dl=0,0
D1323,WHT, White,1X,https://dl.dropboxusercontent.com/s/suywqkdugrod9lv/D1323%20White_wm.jpg?dl=0,0
D1324,DENIM DOT, Denim Dot,M,https://dl.dropboxusercontent.com/s/vuujgk44lbq883p/D1324%20Denim%20Dot_wm.jpg?dl=0,0
D1324,DENIM DOT, Denim Dot,L,https://dl.dropboxusercontent.com/s/vuujgk44lbq883p/D1324%20Denim%20Dot_wm.jpg?dl=0,0
D1324,DENIM DOT, Denim Dot,XL,https://dl.dropboxusercontent.com/s/vuujgk44lbq883p/D1324%20Denim%20Dot_wm.jpg?dl=0,0
