Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,"SEO Title,SEO Description",Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
D1326P-YEL PRT,D1326P-YEL PRT,,GIOVANNA APPAREL,DRES,,TRUE,COLOR,YEL PRT,SIZE,0,,,D1326P-YEL PRT,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/okj83h198x2753b/D1326P%20Yellow%20print_wm.jpg?dl=0,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
D1327-GREEN/YEL,D1327-GREEN/YEL,,GIOVANNA APPAREL,DRES,,TRUE,COLOR,GREEN/YEL,SIZE,0,,,D1327-GREEN/YEL,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/33czpyhqdm71308/D1327%20Green-yellow_wm.jpg?dl=0,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
D1331-RAINBOW,D1331-RAINBOW,,GIOVANNA APPAREL,DRES,,TRUE,COLOR,RAINBOW,SIZE,0,,,D1331-RAINBOW,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/7p38bje01v3c68m/D1331%20Rainbow_wm.jpg?dl=0,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
D1333-LAV,D1333-LAV,,GIOVANNA APPAREL,DRES,,TRUE,COLOR,LAV,SIZE,0,,,D1333-LAV,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/qi226mk1nnjlugy/D1333%20Lavender_wm.jpg?dl=0,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
D1333-NAVY,D1333-NAVY,,GIOVANNA APPAREL,DRES,,TRUE,COLOR,NAVY,SIZE,0,,,D1333-NAVY,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/jpfvr069cz7ickn/D1333%20Navy_1_wm.jpg?dl=0,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
D1346-WHT,D1346-WHT,,GIOVANNA APPAREL,DRES,,TRUE,COLOR,WHT,SIZE,0,,,D1346-WHT,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/twk8iefx91rpke7/D1346%20White_wm.jpg?dl=0,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
D1435-LAV,D1435-LAV,,GIOVANNA APPAREL,DRES,,TRUE,COLOR,LAV,SIZE,0,,,D1435-LAV,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/otcu00zivp3dm0i/D1435%20Lavender_wm.jpg?dl=0,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
D1435-PURPLE,D1435-PURPLE,,GIOVANNA APPAREL,DRES,,TRUE,COLOR,PURPLE,SIZE,0,,,D1435-PURPLE,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/zg9dnlu5y4pmsx3/D1435%20Purple_wm.jpg?dl=0,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
D1435-SAPPHIRE,D1435-SAPPHIRE,,GIOVANNA APPAREL,DRES,,TRUE,COLOR,SAPPHIRE,SIZE,0,,,D1435-SAPPHIRE,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/9t81df9ffydu53u/D1435%20Sapphire_wm.jpg?dl=0,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
D1435-WHT,D1435-WHT,,GIOVANNA APPAREL,DRES,,TRUE,COLOR,WHT,SIZE,0,,,D1435-WHT,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/nwxx4olw1ad7ukg/D1435%20White_wm.jpg?dl=0,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
