Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,"SEO Title,SEO Description",Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
D1319-PURPLE,D1319-PURPLE,,GIOVANNA APPAREL,SUIT,GIOVANNA COLLECTION,TRUE,COLOR,PURPLE,SIZE,0,,,D1319-PURPLE,,,0,deny,manual,0,,TRUE,FALSE,,NO URL,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
D1320-RYL,D1320-RYL,,GIOVANNA APPAREL,SUIT,GIOVANNA COLLECTION,TRUE,COLOR,RYL,SIZE,0,,,D1320-RYL,,,0,deny,manual,0,,TRUE,FALSE,,NO URL,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
D1321-WHT,D1321-WHT,,GIOVANNA APPAREL,SUIT,GIOVANNA COLLECTION,TRUE,COLOR,WHT,SIZE,0,,,D1321-WHT,,,0,deny,manual,0,,TRUE,FALSE,,NO URL,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
D1323-WHT,D1323-WHT,,GIOVANNA APPAREL,SUIT,GIOVANNA COLLECTION,TRUE,COLOR,WHT,SIZE,0,,,D1323-WHT,,,0,deny,manual,0,,TRUE,FALSE,,NO URL,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
D1326P-YEL PRT,D1326P-YEL PRT,,GIOVANNA APPAREL,SUIT,GIOVANNA COLLECTION,TRUE,COLOR,YEL PRT,SIZE,0,,,D1326P-YEL PRT,,,0,deny,manual,0,,TRUE,FALSE,,NO URL,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
D1327-GREEN/YEL,D1327-GREEN/YEL,,GIOVANNA APPAREL,SUIT,GIOVANNA COLLECTION,TRUE,COLOR,GREEN/YEL,SIZE,0,,,D1327-GREEN/YEL,,,0,deny,manual,0,,TRUE,FALSE,,NO URL,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
D1329-CORAL PINK,D1329-CORAL PINK,,GIOVANNA APPAREL,SUIT,GIOVANNA COLLECTION,TRUE,COLOR,CORAL PINK,SIZE,0,,,D1329-CORAL PINK,,,0,deny,manual,0,,TRUE,FALSE,,NO URL,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
D1329-WHT,D1329-WHT,,GIOVANNA APPAREL,SUIT,GIOVANNA COLLECTION,TRUE,COLOR,WHT,SIZE,0,,,D1329-WHT,,,0,deny,manual,0,,TRUE,FALSE,,NO URL,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
D1331-RAINBOW,D1331-RAINBOW,,GIOVANNA APPAREL,SUIT,GIOVANNA COLLECTION,TRUE,COLOR,RAINBOW,SIZE,0,,,D1331-RAINBOW,,,0,deny,manual,0,,TRUE,FALSE,,NO URL,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
D1332-BLK/BLK,D1332-BLK/BLK,,GIOVANNA APPAREL,SUIT,GIOVANNA COLLECTION,TRUE,COLOR,BLK/BLK,SIZE,0,,,D1332-BLK/BLK,,,0,deny,manual,0,,TRUE,FALSE,,NO URL,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
D1332-WHT/WHT,D1332-WHT/WHT,,GIOVANNA APPAREL,SUIT,GIOVANNA COLLECTION,TRUE,COLOR,WHT/WHT,SIZE,0,,,D1332-WHT/WHT,,,0,deny,manual,0,,TRUE,FALSE,,NO URL,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
D1333-LAV,D1333-LAV,,GIOVANNA APPAREL,SUIT,GIOVANNA COLLECTION,TRUE,COLOR,LAV,SIZE,0,,,D1333-LAV,,,0,deny,manual,0,,TRUE,FALSE,,NO URL,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
D1333-NAVY,D1333-NAVY,,GIOVANNA APPAREL,SUIT,GIOVANNA COLLECTION,TRUE,COLOR,NAVY,SIZE,0,,,D1333-NAVY,,,0,deny,manual,0,,TRUE,FALSE,,NO URL,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
D1334-PURPLE,D1334-PURPLE,,GIOVANNA APPAREL,SUIT,GIOVANNA COLLECTION,TRUE,COLOR,PURPLE,SIZE,0,,,D1334-PURPLE,,,0,deny,manual,0,,TRUE,FALSE,,NO URL,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
D1341-SFM MULTI,D1341-SFM MULTI,,GIOVANNA APPAREL,SUIT,GIOVANNA COLLECTION,TRUE,COLOR,SFM MULTI,SIZE,0,,,D1341-SFM MULTI,,,0,deny,manual,0,,TRUE,FALSE,,NO URL,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
D1344-WHT 01,D1344-WHT 01,,GIOVANNA APPAREL,SUIT,GIOVANNA COLLECTION,TRUE,COLOR,WHT 01,SIZE,0,,,D1344-WHT 01,,,0,deny,manual,0,,TRUE,FALSE,,NO URL,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
D1345-SAPPHIRE,D1345-SAPPHIRE,,GIOVANNA APPAREL,SUIT,GIOVANNA COLLECTION,TRUE,COLOR,SAPPHIRE,SIZE,0,,,D1345-SAPPHIRE,,,0,deny,manual,0,,TRUE,FALSE,,NO URL,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
D1345-WHT,D1345-WHT,,GIOVANNA APPAREL,SUIT,GIOVANNA COLLECTION,TRUE,COLOR,WHT,SIZE,0,,,D1345-WHT,,,0,deny,manual,0,,TRUE,FALSE,,NO URL,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
D1346-WHT,D1346-WHT,,GIOVANNA APPAREL,SUIT,GIOVANNA COLLECTION,TRUE,COLOR,WHT,SIZE,0,,,D1346-WHT,,,0,deny,manual,0,,TRUE,FALSE,,NO URL,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
D1423B-CHAM,D1423B-CHAM,,GIOVANNA APPAREL,SUIT,GIOVANNA COLLECTION,TRUE,COLOR,CHAM,SIZE,0,,,D1423B-CHAM,,,0,deny,manual,0,,TRUE,FALSE,,NO URL,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
D1423B-LT. SILVER,D1423B-LT. SILVER,,GIOVANNA APPAREL,SUIT,GIOVANNA COLLECTION,TRUE,COLOR,LT. SILVER,SIZE,0,,,D1423B-LT. SILVER,,,0,deny,manual,0,,TRUE,FALSE,,NO URL,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
D1423-SIL,D1423-SIL,,GIOVANNA APPAREL,SUIT,GIOVANNA COLLECTION,TRUE,COLOR,SIL,SIZE,0,,,D1423-SIL,,,0,deny,manual,0,,TRUE,FALSE,,NO URL,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
D1424-BURGUNDY,D1424-BURGUNDY,,GIOVANNA APPAREL,SUIT,GIOVANNA COLLECTION,TRUE,COLOR,BURGUNDY,SIZE,0,,,D1424-BURGUNDY,,,0,deny,manual,0,,TRUE,FALSE,,NO URL,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
D1424-CHAM,D1424-CHAM,,GIOVANNA APPAREL,SUIT,GIOVANNA COLLECTION,TRUE,COLOR,CHAM,SIZE,0,,,D1424-CHAM,,,0,deny,manual,0,,TRUE,FALSE,,NO URL,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
D1424-RYL,D1424-RYL,,GIOVANNA APPAREL,SUIT,GIOVANNA COLLECTION,TRUE,COLOR,RYL,SIZE,0,,,D1424-RYL,,,0,deny,manual,0,,TRUE,FALSE,,NO URL,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
D1424-WHT,D1424-WHT,,GIOVANNA APPAREL,SUIT,GIOVANNA COLLECTION,TRUE,COLOR,WHT,SIZE,0,,,D1424-WHT,,,0,deny,manual,0,,TRUE,FALSE,,NO URL,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
D1435-LAV,D1435-LAV,,GIOVANNA APPAREL,SUIT,GIOVANNA COLLECTION,TRUE,COLOR,LAV,SIZE,0,,,D1435-LAV,,,0,deny,manual,0,,TRUE,FALSE,,NO URL,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
D1435-PURPLE,D1435-PURPLE,,GIOVANNA APPAREL,SUIT,GIOVANNA COLLECTION,TRUE,COLOR,PURPLE,SIZE,0,,,D1435-PURPLE,,,0,deny,manual,0,,TRUE,FALSE,,NO URL,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
D1435-SAPPHIRE,D1435-SAPPHIRE,,GIOVANNA APPAREL,SUIT,GIOVANNA COLLECTION,TRUE,COLOR,SAPPHIRE,SIZE,0,,,D1435-SAPPHIRE,,,0,deny,manual,0,,TRUE,FALSE,,NO URL,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
D1435-WHT,D1435-WHT,,GIOVANNA APPAREL,SUIT,GIOVANNA COLLECTION,TRUE,COLOR,WHT,SIZE,0,,,D1435-WHT,,,0,deny,manual,0,,TRUE,FALSE,,NO URL,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
D1446-PURP/BLK,D1446-PURP/BLK,,GIOVANNA APPAREL,SUIT,GIOVANNA COLLECTION,TRUE,COLOR,PURP/BLK,SIZE,0,,,D1446-PURP/BLK,,,0,deny,manual,0,,TRUE,FALSE,,NO URL,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
D1446-S.PINK/BLK,D1446-S.PINK/BLK,,GIOVANNA APPAREL,SUIT,GIOVANNA COLLECTION,TRUE,COLOR,S.PINK/BLK,SIZE,0,,,D1446-S.PINK/BLK,,,0,deny,manual,0,,TRUE,FALSE,,NO URL,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
D1446-PINK/BLACK,D1446-PINK/BLACK,,GIOVANNA APPAREL,SUIT,GIOVANNA COLLECTION,TRUE,COLOR,PINK/BLACK,SIZE,0,,,D1446-PINK/BLACK,,,0,deny,manual,0,,TRUE,FALSE,,NO URL,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
D1446-RED/BLK,D1446-RED/BLK,,GIOVANNA APPAREL,SUIT,GIOVANNA COLLECTION,TRUE,COLOR,RED/BLK,SIZE,0,,,D1446-RED/BLK,,,0,deny,manual,0,,TRUE,FALSE,,NO URL,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
D1446-W/B,D1446-W/B,,GIOVANNA APPAREL,SUIT,GIOVANNA COLLECTION,TRUE,COLOR,W/B,SIZE,0,,,D1446-W/B,,,0,deny,manual,0,,TRUE,FALSE,,NO URL,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
D1450-IVY,D1450-IVY,,GIOVANNA APPAREL,SUIT,GIOVANNA COLLECTION,TRUE,COLOR,IVY,SIZE,0,,,D1450-IVY,,,0,deny,manual,0,,TRUE,FALSE,,NO URL,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
D1450-LIME,D1450-LIME,,GIOVANNA APPAREL,SUIT,GIOVANNA COLLECTION,TRUE,COLOR,LIME,SIZE,0,,,D1450-LIME,,,0,deny,manual,0,,TRUE,FALSE,,NO URL,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
D1450-PURPLE,D1450-PURPLE,,GIOVANNA APPAREL,SUIT,GIOVANNA COLLECTION,TRUE,COLOR,PURPLE,SIZE,0,,,D1450-PURPLE,,,0,deny,manual,0,,TRUE,FALSE,,NO URL,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
D1450-RYL,D1450-RYL,,GIOVANNA APPAREL,SUIT,GIOVANNA COLLECTION,TRUE,COLOR,RYL,SIZE,0,,,D1450-RYL,,,0,deny,manual,0,,TRUE,FALSE,,NO URL,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
