Style,ATS COLOR,COLOR,SIZE,URL,INDEX
P1011,NAVY, Navy,M,https://dl.dropboxusercontent.com/s/dzwhrjbioi5x47o/p1011%20navy_wm.jpg?dl=0,0
P1011,NAVY, Navy,L,https://dl.dropboxusercontent.com/s/dzwhrjbioi5x47o/p1011%20navy_wm.jpg?dl=0,0
P1011,NAVY, Navy,XL,https://dl.dropboxusercontent.com/s/dzwhrjbioi5x47o/p1011%20navy_wm.jpg?dl=0,0
P1011,NAVY, Navy,1X,https://dl.dropboxusercontent.com/s/dzwhrjbioi5x47o/p1011%20navy_wm.jpg?dl=0,0
P1011,NAVY, Navy,2X,https://dl.dropboxusercontent.com/s/dzwhrjbioi5x47o/p1011%20navy_wm.jpg?dl=0,0
P1011,PINK, Pink,M,https://dl.dropboxusercontent.com/s/aincpaiiyluy2z0/p1011%20pink_wm.jpg?dl=0,0
P1011,PINK, Pink,L,https://dl.dropboxusercontent.com/s/aincpaiiyluy2z0/p1011%20pink_wm.jpg?dl=0,0
P1011,PINK, Pink,XL,https://dl.dropboxusercontent.com/s/aincpaiiyluy2z0/p1011%20pink_wm.jpg?dl=0,0
P1011,PINK, Pink,1X,https://dl.dropboxusercontent.com/s/aincpaiiyluy2z0/p1011%20pink_wm.jpg?dl=0,0
P1011,PINK, Pink,2X,https://dl.dropboxusercontent.com/s/aincpaiiyluy2z0/p1011%20pink_wm.jpg?dl=0,0
P1011,WHT, White,M,https://dl.dropboxusercontent.com/s/fqv205lyd3djs85/p1011%20white_wm.jpg?dl=0,0
P1011,WHT, White,L,https://dl.dropboxusercontent.com/s/fqv205lyd3djs85/p1011%20white_wm.jpg?dl=0,0
P1011,WHT, White,XL,https://dl.dropboxusercontent.com/s/fqv205lyd3djs85/p1011%20white_wm.jpg?dl=0,0
P1011,WHT, White,1X,https://dl.dropboxusercontent.com/s/fqv205lyd3djs85/p1011%20white_wm.jpg?dl=0,0
P1011,WHT, White,2X,https://dl.dropboxusercontent.com/s/fqv205lyd3djs85/p1011%20white_wm.jpg?dl=0,0
P1012,GREEN, Green,OS,https://dl.dropboxusercontent.com/s/3gjsi95p83c7y55/p1012%20green_wm.jpg?dl=0,0
P1012,RED/BLUE/YEL, Red-blue-yellow,OS,https://dl.dropboxusercontent.com/s/ugp39dm9bwtn300/p1012%20red-blue-yellow_1_wm.jpg?dl=0,1
P1012,RED/BLUE/YEL, Red-blue-yellow,OS,https://dl.dropboxusercontent.com/s/ch1xzzze7bauson/p1012%20red-blue-yellow_2_wm.jpg?dl=0,2
P1013,RAINBOW, Rainbow,M,https://dl.dropboxusercontent.com/s/bdpb48l2p8mggkp/p1013%20rainbow_wm.jpg?dl=0,0
P1013,RAINBOW, Rainbow,L,https://dl.dropboxusercontent.com/s/bdpb48l2p8mggkp/p1013%20rainbow_wm.jpg?dl=0,0
P1013,RAINBOW, Rainbow,XL,https://dl.dropboxusercontent.com/s/bdpb48l2p8mggkp/p1013%20rainbow_wm.jpg?dl=0,0
P1013,RAINBOW, Rainbow,1X,https://dl.dropboxusercontent.com/s/bdpb48l2p8mggkp/p1013%20rainbow_wm.jpg?dl=0,0
P1013,RAINBOW, Rainbow,2X,https://dl.dropboxusercontent.com/s/bdpb48l2p8mggkp/p1013%20rainbow_wm.jpg?dl=0,0
P1014,DENIM, Denim,M-1X,https://dl.dropboxusercontent.com/s/mvz23um8ic4174i/p1014%20denim_skirt%20only_wm.jpg?dl=0,Skirt Only
P1014,DENIM, Denim,2X-4X,https://dl.dropboxusercontent.com/s/mvz23um8ic4174i/p1014%20denim_skirt%20only_wm.jpg?dl=0,Skirt Only
P1016,DENIM/ORG, Denim-orange,M-1X,https://dl.dropboxusercontent.com/s/1l0mbt6n9fys8qt/p1016%20denim-orange_wm.jpg?dl=0,0
P1016,DENIM/ORG, Denim-orange,2X-4X,https://dl.dropboxusercontent.com/s/1l0mbt6n9fys8qt/p1016%20denim-orange_wm.jpg?dl=0,0
PS1701,PINK, Pink,M,https://dl.dropboxusercontent.com/s/pc905efdrp796di/ps1701%20pink_wm.jpg?dl=0,0
PS1701,PINK, Pink,L,https://dl.dropboxusercontent.com/s/pc905efdrp796di/ps1701%20pink_wm.jpg?dl=0,0
PS1701,PINK, Pink,XL,https://dl.dropboxusercontent.com/s/pc905efdrp796di/ps1701%20pink_wm.jpg?dl=0,0
PS1701,PINK, Pink,1X,https://dl.dropboxusercontent.com/s/pc905efdrp796di/ps1701%20pink_wm.jpg?dl=0,0
PS1701,PINK, Pink,2X,https://dl.dropboxusercontent.com/s/pc905efdrp796di/ps1701%20pink_wm.jpg?dl=0,0
