Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,"SEO Title,SEO Description",Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
557,557,2 PC SET,GIOVANNA APPAREL,SUIT,GIOVANNA SIGNATURE,TRUE,COLOR,BLK,SIZE,14W,,,0557W-BLK-14W,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/jhclfaorqt0cq39/0557%20red_wm.jpg?dl=0,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
557,,,,,,,COLOR,BLK,SIZE,16W,,,0557W-BLK-16W,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/xtbentegzlx04hi/0557%20white_wm.jpg?dl=0,,,,,,,,,,,,,,,,,,
557,,,,,,,COLOR,BLK,SIZE,18W,,,0557W-BLK-18W,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/owj16zaw3rumkd1/0557%20Black_wm.jpg?dl=0,,,,,,,,,,,,,,,,,,
557,,,,,,,COLOR,BLK,SIZE,20W,,,0557W-BLK-20W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
557,,,,,,,COLOR,BLK,SIZE,22W,,,0557W-BLK-22W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
557,,,,,,,COLOR,BLK,SIZE,24W,,,0557W-BLK-24W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
557,,,,,,,COLOR,BLK,SIZE,26W,,,0557W-BLK-26W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
557,,,,,,,COLOR,RED,SIZE,14W,,,0557W-RED-14W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
557,,,,,,,COLOR,RED,SIZE,16W,,,0557W-RED-16W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
557,,,,,,,COLOR,RED,SIZE,18W,,,0557W-RED-18W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
557,,,,,,,COLOR,RED,SIZE,20W,,,0557W-RED-20W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
557,,,,,,,COLOR,RED,SIZE,22W,,,0557W-RED-22W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
557,,,,,,,COLOR,RED,SIZE,24W,,,0557W-RED-24W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
557,,,,,,,COLOR,RED,SIZE,26W,,,0557W-RED-26W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
557,,,,,,,COLOR,WHT,SIZE,14W,,,0557W-WHT-14W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
557,,,,,,,COLOR,WHT,SIZE,16W,,,0557W-WHT-16W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
557,,,,,,,COLOR,WHT,SIZE,18W,,,0557W-WHT-18W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
557,,,,,,,COLOR,WHT,SIZE,20W,,,0557W-WHT-20W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
557,,,,,,,COLOR,WHT,SIZE,22W,,,0557W-WHT-22W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
557,,,,,,,COLOR,WHT,SIZE,24W,,,0557W-WHT-24W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
557,,,,,,,COLOR,WHT,SIZE,26W,,,0557W-WHT-26W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
586,586,2 PC SET,GIOVANNA APPAREL,SUIT,GIOVANNA SIGNATURE,TRUE,COLOR,BLK,SIZE,14W,,,0586W-BLK-14W,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/8t4p23wew7apvyf/0586%20black_wm.jpg?dl=0,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
586,,,,,,,COLOR,BLK,SIZE,16W,,,0586W-BLK-16W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
586,,,,,,,COLOR,BLK,SIZE,18W,,,0586W-BLK-18W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
586,,,,,,,COLOR,BLK,SIZE,20W,,,0586W-BLK-20W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
586,,,,,,,COLOR,BLK,SIZE,22W,,,0586W-BLK-22W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
586,,,,,,,COLOR,BLK,SIZE,24W,,,0586W-BLK-24W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
586,,,,,,,COLOR,BLK,SIZE,26W,,,0586W-BLK-26W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
586,,,,,,,COLOR,NAVY,SIZE,14W,,,0586W-NAVY-14W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
586,,,,,,,COLOR,NAVY,SIZE,16W,,,0586W-NAVY-16W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
586,,,,,,,COLOR,NAVY,SIZE,18W,,,0586W-NAVY-18W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
586,,,,,,,COLOR,NAVY,SIZE,20W,,,0586W-NAVY-20W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
586,,,,,,,COLOR,NAVY,SIZE,22W,,,0586W-NAVY-22W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
586,,,,,,,COLOR,NAVY,SIZE,24W,,,0586W-NAVY-24W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
650,650,3 PC SET,GIOVANNA APPAREL,SUIT,GIOVANNA SIGNATURE,TRUE,COLOR,BLK,SIZE,14W,,,0650W-BLK-14W,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/1w8g1xphks22jpo/0650%20chocolate_wm.jpg?dl=0,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
650,,,,,,,COLOR,BLK,SIZE,16W,,,0650W-BLK-16W,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/o7p1qdik6dfx3q7/0650%20black_wm.jpg?dl=0,,,,,,,,,,,,,,,,,,
650,,,,,,,COLOR,BLK,SIZE,18W,,,0650W-BLK-18W,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/pus1hghiemhztkc/0650%20white_wm.jpg?dl=0,,,,,,,,,,,,,,,,,,
650,,,,,,,COLOR,BLK,SIZE,20W,,,0650W-BLK-20W,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/lx12fbo6jhls7wq/0650%20silver_wm.jpg?dl=0,,,,,,,,,,,,,,,,,,
650,,,,,,,COLOR,BLK,SIZE,22W,,,0650W-BLK-22W,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/odqy0db4e0chcon/0650%20royal_wm.jpg?dl=0,,,,,,,,,,,,,,,,,,
650,,,,,,,COLOR,BLK,SIZE,24W,,,0650W-BLK-24W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
650,,,,,,,COLOR,BLK,SIZE,26W,,,0650W-BLK-26W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
650,,,,,,,COLOR,BLK,SIZE,28W,,,0650W-BLK-28W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
650,,,,,,,COLOR,BLK,SIZE,30W,,,0650W-BLK-30W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
650,,,,,,,COLOR,CHOCO,SIZE,14W,,,0650W-CHOCO-14W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
650,,,,,,,COLOR,CHOCO,SIZE,16W,,,0650W-CHOCO-16W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
650,,,,,,,COLOR,CHOCO,SIZE,18W,,,0650W-CHOCO-18W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
650,,,,,,,COLOR,CHOCO,SIZE,20W,,,0650W-CHOCO-20W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
650,,,,,,,COLOR,CHOCO,SIZE,22W,,,0650W-CHOCO-22W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
650,,,,,,,COLOR,CHOCO,SIZE,24W,,,0650W-CHOCO-24W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
650,,,,,,,COLOR,CHOCO,SIZE,26W,,,0650W-CHOCO-26W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
650,,,,,,,COLOR,RYL,SIZE,14W,,,0650W-RYL-14W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
650,,,,,,,COLOR,RYL,SIZE,16W,,,0650W-RYL-16W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
650,,,,,,,COLOR,RYL,SIZE,18W,,,0650W-RYL-18W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
650,,,,,,,COLOR,RYL,SIZE,20W,,,0650W-RYL-20W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
650,,,,,,,COLOR,RYL,SIZE,22W,,,0650W-RYL-22W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
650,,,,,,,COLOR,RYL,SIZE,24W,,,0650W-RYL-24W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
650,,,,,,,COLOR,RYL,SIZE,26W,,,0650W-RYL-26W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
650,,,,,,,COLOR,RYL,SIZE,28W,,,0650W-RYL-28W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
650,,,,,,,COLOR,RYL,SIZE,30W,,,0650W-RYL-30W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
650,,,,,,,COLOR,SIL,SIZE,14W,,,0650W-SIL-14W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
650,,,,,,,COLOR,SIL,SIZE,16W,,,0650W-SIL-16W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
650,,,,,,,COLOR,SIL,SIZE,18W,,,0650W-SIL-18W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
650,,,,,,,COLOR,SIL,SIZE,20W,,,0650W-SIL-20W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
650,,,,,,,COLOR,SIL,SIZE,22W,,,0650W-SIL-22W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
650,,,,,,,COLOR,SIL,SIZE,24W,,,0650W-SIL-24W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
