Style,Supplier SKU,UPC,Title,Description,Size,Color,URL
D1423,D1423-DKSILVER-10,#0,Giovanna Signature Women's 2-piece All-over Textured Crinkle with Embellishment Dress,"Feel beautiful and dignified when you attend a wedding wearing this zippered dress with a matching cropped jacket. This fully lined polyester dress featuring a crinkled texture, below-knee length, and ornamented V-neck makes a great choice for the mother of the bride.<br><br><ul><li>Lining: Fully Lined</li><li>Closure: Zipper</li><li>Sleeve-length: 3/4 Sleeve</li><li>Material: Polyester</li><li>Style: Mother of the Bride, Jacket Dress</li><li>Neck Style: V-Neck</li><li>Dress Length: Mid-Length</li><li>Care Instruction: Dry Clean</li><li>Exact Size: 10, 16, 14, 12</li><li>Exact Color: Navy, Silver</li><li>Size: 10, 18, 16, 14, 12</li><li>Color: Blue, Silver</li></ul><div><br></div><div><i><b>Item runs small</b></i></div><br><br><a href='https://www.overstock.com/Measurement-Guide/63867/static.html?nocache=true' target='_blank'>Measurement Guide </a><br><a href='https://www.overstock.com/sizing.html#modern' target='_blank'>Click here to view our Women's Sizing Guide</a><br>",10,DKSILVER,
D1423,D1423-DKSILVER-12,#0,Giovanna Signature Women's 2-piece All-over Textured Crinkle with Embellishment Dress,"Feel beautiful and dignified when you attend a wedding wearing this zippered dress with a matching cropped jacket. This fully lined polyester dress featuring a crinkled texture, below-knee length, and ornamented V-neck makes a great choice for the mother of the bride.<br><br><ul><li>Lining: Fully Lined</li><li>Closure: Zipper</li><li>Sleeve-length: 3/4 Sleeve</li><li>Material: Polyester</li><li>Style: Mother of the Bride, Jacket Dress</li><li>Neck Style: V-Neck</li><li>Dress Length: Mid-Length</li><li>Care Instruction: Dry Clean</li><li>Exact Size: 10, 16, 14, 12</li><li>Exact Color: Navy, Silver</li><li>Size: 10, 18, 16, 14, 12</li><li>Color: Blue, Silver</li></ul><div><br></div><div><i><b>Item runs small</b></i></div><br><br><a href='https://www.overstock.com/Measurement-Guide/63867/static.html?nocache=true' target='_blank'>Measurement Guide </a><br><a href='https://www.overstock.com/sizing.html#modern' target='_blank'>Click here to view our Women's Sizing Guide</a><br>",12,DKSILVER,
D1423,D1423-DKSILVER-14,#0,Giovanna Signature Women's 2-piece All-over Textured Crinkle with Embellishment Dress,"Feel beautiful and dignified when you attend a wedding wearing this zippered dress with a matching cropped jacket. This fully lined polyester dress featuring a crinkled texture, below-knee length, and ornamented V-neck makes a great choice for the mother of the bride.<br><br><ul><li>Lining: Fully Lined</li><li>Closure: Zipper</li><li>Sleeve-length: 3/4 Sleeve</li><li>Material: Polyester</li><li>Style: Mother of the Bride, Jacket Dress</li><li>Neck Style: V-Neck</li><li>Dress Length: Mid-Length</li><li>Care Instruction: Dry Clean</li><li>Exact Size: 10, 16, 14, 12</li><li>Exact Color: Navy, Silver</li><li>Size: 10, 18, 16, 14, 12</li><li>Color: Blue, Silver</li></ul><div><br></div><div><i><b>Item runs small</b></i></div><br><br><a href='https://www.overstock.com/Measurement-Guide/63867/static.html?nocache=true' target='_blank'>Measurement Guide </a><br><a href='https://www.overstock.com/sizing.html#modern' target='_blank'>Click here to view our Women's Sizing Guide</a><br>",14,DKSILVER,
D1423,D1423-DKSILVER-16,#0,Giovanna Signature Women's 2-piece All-over Textured Crinkle with Embellishment Dress,"Feel beautiful and dignified when you attend a wedding wearing this zippered dress with a matching cropped jacket. This fully lined polyester dress featuring a crinkled texture, below-knee length, and ornamented V-neck makes a great choice for the mother of the bride.<br><br><ul><li>Lining: Fully Lined</li><li>Closure: Zipper</li><li>Sleeve-length: 3/4 Sleeve</li><li>Material: Polyester</li><li>Style: Mother of the Bride, Jacket Dress</li><li>Neck Style: V-Neck</li><li>Dress Length: Mid-Length</li><li>Care Instruction: Dry Clean</li><li>Exact Size: 10, 16, 14, 12</li><li>Exact Color: Navy, Silver</li><li>Size: 10, 18, 16, 14, 12</li><li>Color: Blue, Silver</li></ul><div><br></div><div><i><b>Item runs small</b></i></div><br><br><a href='https://www.overstock.com/Measurement-Guide/63867/static.html?nocache=true' target='_blank'>Measurement Guide </a><br><a href='https://www.overstock.com/sizing.html#modern' target='_blank'>Click here to view our Women's Sizing Guide</a><br>",16,DKSILVER,
D1423,D1423-DKSILVER-18,#0,Giovanna Signature Women's 2-piece All-over Textured Crinkle with Embellishment Dress,"Feel beautiful and dignified when you attend a wedding wearing this zippered dress with a matching cropped jacket. This fully lined polyester dress featuring a crinkled texture, below-knee length, and ornamented V-neck makes a great choice for the mother of the bride.<br><br><ul><li>Lining: Fully Lined</li><li>Closure: Zipper</li><li>Sleeve-length: 3/4 Sleeve</li><li>Material: Polyester</li><li>Style: Mother of the Bride, Jacket Dress</li><li>Neck Style: V-Neck</li><li>Dress Length: Mid-Length</li><li>Care Instruction: Dry Clean</li><li>Exact Size: 10, 16, 14, 12</li><li>Exact Color: Navy, Silver</li><li>Size: 10, 18, 16, 14, 12</li><li>Color: Blue, Silver</li></ul><div><br></div><div><i><b>Item runs small</b></i></div><br><br><a href='https://www.overstock.com/Measurement-Guide/63867/static.html?nocache=true' target='_blank'>Measurement Guide </a><br><a href='https://www.overstock.com/sizing.html#modern' target='_blank'>Click here to view our Women's Sizing Guide</a><br>",18,DKSILVER,
D1423,D1423-NAVY-10,#0,Giovanna Signature Women's 2-piece All-over Textured Crinkle with Embellishment Dress,"Feel beautiful and dignified when you attend a wedding wearing this zippered dress with a matching cropped jacket. This fully lined polyester dress featuring a crinkled texture, below-knee length, and ornamented V-neck makes a great choice for the mother of the bride.<br><br><ul><li>Lining: Fully Lined</li><li>Closure: Zipper</li><li>Sleeve-length: 3/4 Sleeve</li><li>Material: Polyester</li><li>Style: Mother of the Bride, Jacket Dress</li><li>Neck Style: V-Neck</li><li>Dress Length: Mid-Length</li><li>Care Instruction: Dry Clean</li><li>Exact Size: 10, 16, 14, 12</li><li>Exact Color: Navy, Silver</li><li>Size: 10, 18, 16, 14, 12</li><li>Color: Blue, Silver</li></ul><div><br></div><div><i><b>Item runs small</b></i></div><br><br><a href='https://www.overstock.com/Measurement-Guide/63867/static.html?nocache=true' target='_blank'>Measurement Guide </a><br><a href='https://www.overstock.com/sizing.html#modern' target='_blank'>Click here to view our Women's Sizing Guide</a><br>",10,NAVY,
D1423,D1423-NAVY-12,#0,Giovanna Signature Women's 2-piece All-over Textured Crinkle with Embellishment Dress,"Feel beautiful and dignified when you attend a wedding wearing this zippered dress with a matching cropped jacket. This fully lined polyester dress featuring a crinkled texture, below-knee length, and ornamented V-neck makes a great choice for the mother of the bride.<br><br><ul><li>Lining: Fully Lined</li><li>Closure: Zipper</li><li>Sleeve-length: 3/4 Sleeve</li><li>Material: Polyester</li><li>Style: Mother of the Bride, Jacket Dress</li><li>Neck Style: V-Neck</li><li>Dress Length: Mid-Length</li><li>Care Instruction: Dry Clean</li><li>Exact Size: 10, 16, 14, 12</li><li>Exact Color: Navy, Silver</li><li>Size: 10, 18, 16, 14, 12</li><li>Color: Blue, Silver</li></ul><div><br></div><div><i><b>Item runs small</b></i></div><br><br><a href='https://www.overstock.com/Measurement-Guide/63867/static.html?nocache=true' target='_blank'>Measurement Guide </a><br><a href='https://www.overstock.com/sizing.html#modern' target='_blank'>Click here to view our Women's Sizing Guide</a><br>",12,NAVY,
D1423,D1423-NAVY-14,#0,Giovanna Signature Women's 2-piece All-over Textured Crinkle with Embellishment Dress,"Feel beautiful and dignified when you attend a wedding wearing this zippered dress with a matching cropped jacket. This fully lined polyester dress featuring a crinkled texture, below-knee length, and ornamented V-neck makes a great choice for the mother of the bride.<br><br><ul><li>Lining: Fully Lined</li><li>Closure: Zipper</li><li>Sleeve-length: 3/4 Sleeve</li><li>Material: Polyester</li><li>Style: Mother of the Bride, Jacket Dress</li><li>Neck Style: V-Neck</li><li>Dress Length: Mid-Length</li><li>Care Instruction: Dry Clean</li><li>Exact Size: 10, 16, 14, 12</li><li>Exact Color: Navy, Silver</li><li>Size: 10, 18, 16, 14, 12</li><li>Color: Blue, Silver</li></ul><div><br></div><div><i><b>Item runs small</b></i></div><br><br><a href='https://www.overstock.com/Measurement-Guide/63867/static.html?nocache=true' target='_blank'>Measurement Guide </a><br><a href='https://www.overstock.com/sizing.html#modern' target='_blank'>Click here to view our Women's Sizing Guide</a><br>",14,NAVY,
D1423,D1423-NAVY-16,#0,Giovanna Signature Women's 2-piece All-over Textured Crinkle with Embellishment Dress,"Feel beautiful and dignified when you attend a wedding wearing this zippered dress with a matching cropped jacket. This fully lined polyester dress featuring a crinkled texture, below-knee length, and ornamented V-neck makes a great choice for the mother of the bride.<br><br><ul><li>Lining: Fully Lined</li><li>Closure: Zipper</li><li>Sleeve-length: 3/4 Sleeve</li><li>Material: Polyester</li><li>Style: Mother of the Bride, Jacket Dress</li><li>Neck Style: V-Neck</li><li>Dress Length: Mid-Length</li><li>Care Instruction: Dry Clean</li><li>Exact Size: 10, 16, 14, 12</li><li>Exact Color: Navy, Silver</li><li>Size: 10, 18, 16, 14, 12</li><li>Color: Blue, Silver</li></ul><div><br></div><div><i><b>Item runs small</b></i></div><br><br><a href='https://www.overstock.com/Measurement-Guide/63867/static.html?nocache=true' target='_blank'>Measurement Guide </a><br><a href='https://www.overstock.com/sizing.html#modern' target='_blank'>Click here to view our Women's Sizing Guide</a><br>",16,NAVY,
D1423,D1423-NAVY-18,#0,Giovanna Signature Women's 2-piece All-over Textured Crinkle with Embellishment Dress,"Feel beautiful and dignified when you attend a wedding wearing this zippered dress with a matching cropped jacket. This fully lined polyester dress featuring a crinkled texture, below-knee length, and ornamented V-neck makes a great choice for the mother of the bride.<br><br><ul><li>Lining: Fully Lined</li><li>Closure: Zipper</li><li>Sleeve-length: 3/4 Sleeve</li><li>Material: Polyester</li><li>Style: Mother of the Bride, Jacket Dress</li><li>Neck Style: V-Neck</li><li>Dress Length: Mid-Length</li><li>Care Instruction: Dry Clean</li><li>Exact Size: 10, 16, 14, 12</li><li>Exact Color: Navy, Silver</li><li>Size: 10, 18, 16, 14, 12</li><li>Color: Blue, Silver</li></ul><div><br></div><div><i><b>Item runs small</b></i></div><br><br><a href='https://www.overstock.com/Measurement-Guide/63867/static.html?nocache=true' target='_blank'>Measurement Guide </a><br><a href='https://www.overstock.com/sizing.html#modern' target='_blank'>Click here to view our Women's Sizing Guide</a><br>",18,NAVY,
