Style,Supplier SKU,UPC,Title,Description,Size,Color,URL
#0650,0650-BLACK-6,#843523125061,Giovanna Signature Women's Rhinestone Brooch 3-piece Skirt Suit,"Clean lines and a rhinestone brooch add a charming touch to this three-piece skirt suit by Giovanna Signature. This set includes a collarless jacket with a rhinestone closure, a matching cami, and a modest column skirt. This suit is also machine washable for easy care.Click here to view the Giovanna Signature Collection's sizing guideColor options: Fuchsia, black, royal, silver, and whiteFit: MissyPrint: SolidCamisole sleeves: SleevelessJacket sleeves: LongWaist details: Side elastic waistbandNeckline: Round necklineLining: Fully linedSkirt closure: Back zipper with button closureJacket closure: Rhinestone brooch closureJacket features: Collarless, fully linedShell materials: 100-percent polyesterLining materials: 100-percent polyesterMachine washableModel: 0650The approximate length from the cami's top center back to the hem is 22 inches. The approximate skirt inseam is 33 inches. The approximate length from the jacket's top center back to the hem is 27.5 inches. These measurements were taken from a size 10.Measurement GuideAll measurements are approximate and may vary by size.",6,BLACK,
#0650,0650-BLACK-8,#843523125078,Giovanna Signature Women's Rhinestone Brooch 3-piece Skirt Suit,"Clean lines and a rhinestone brooch add a charming touch to this three-piece skirt suit by Giovanna Signature. This set includes a collarless jacket with a rhinestone closure, a matching cami, and a modest column skirt. This suit is also machine washable for easy care.Click here to view the Giovanna Signature Collection's sizing guideColor options: Fuchsia, black, royal, silver, and whiteFit: MissyPrint: SolidCamisole sleeves: SleevelessJacket sleeves: LongWaist details: Side elastic waistbandNeckline: Round necklineLining: Fully linedSkirt closure: Back zipper with button closureJacket closure: Rhinestone brooch closureJacket features: Collarless, fully linedShell materials: 100-percent polyesterLining materials: 100-percent polyesterMachine washableModel: 0650The approximate length from the cami's top center back to the hem is 22 inches. The approximate skirt inseam is 33 inches. The approximate length from the jacket's top center back to the hem is 27.5 inches. These measurements were taken from a size 10.Measurement GuideAll measurements are approximate and may vary by size.",8,BLACK,
#0650,0650-BLACK-10,#843523125085,Giovanna Signature Women's Rhinestone Brooch 3-piece Skirt Suit,"Clean lines and a rhinestone brooch add a charming touch to this three-piece skirt suit by Giovanna Signature. This set includes a collarless jacket with a rhinestone closure, a matching cami, and a modest column skirt. This suit is also machine washable for easy care.Click here to view the Giovanna Signature Collection's sizing guideColor options: Fuchsia, black, royal, silver, and whiteFit: MissyPrint: SolidCamisole sleeves: SleevelessJacket sleeves: LongWaist details: Side elastic waistbandNeckline: Round necklineLining: Fully linedSkirt closure: Back zipper with button closureJacket closure: Rhinestone brooch closureJacket features: Collarless, fully linedShell materials: 100-percent polyesterLining materials: 100-percent polyesterMachine washableModel: 0650The approximate length from the cami's top center back to the hem is 22 inches. The approximate skirt inseam is 33 inches. The approximate length from the jacket's top center back to the hem is 27.5 inches. These measurements were taken from a size 10.Measurement GuideAll measurements are approximate and may vary by size.",10,BLACK,
#0650,0650-BLACK-12,#843523125092,Giovanna Signature Women's Rhinestone Brooch 3-piece Skirt Suit,"Clean lines and a rhinestone brooch add a charming touch to this three-piece skirt suit by Giovanna Signature. This set includes a collarless jacket with a rhinestone closure, a matching cami, and a modest column skirt. This suit is also machine washable for easy care.Click here to view the Giovanna Signature Collection's sizing guideColor options: Fuchsia, black, royal, silver, and whiteFit: MissyPrint: SolidCamisole sleeves: SleevelessJacket sleeves: LongWaist details: Side elastic waistbandNeckline: Round necklineLining: Fully linedSkirt closure: Back zipper with button closureJacket closure: Rhinestone brooch closureJacket features: Collarless, fully linedShell materials: 100-percent polyesterLining materials: 100-percent polyesterMachine washableModel: 0650The approximate length from the cami's top center back to the hem is 22 inches. The approximate skirt inseam is 33 inches. The approximate length from the jacket's top center back to the hem is 27.5 inches. These measurements were taken from a size 10.Measurement GuideAll measurements are approximate and may vary by size.",12,BLACK,
#0650,0650-BLACK-14,#843523125108,Giovanna Signature Women's Rhinestone Brooch 3-piece Skirt Suit,"Clean lines and a rhinestone brooch add a charming touch to this three-piece skirt suit by Giovanna Signature. This set includes a collarless jacket with a rhinestone closure, a matching cami, and a modest column skirt. This suit is also machine washable for easy care.Click here to view the Giovanna Signature Collection's sizing guideColor options: Fuchsia, black, royal, silver, and whiteFit: MissyPrint: SolidCamisole sleeves: SleevelessJacket sleeves: LongWaist details: Side elastic waistbandNeckline: Round necklineLining: Fully linedSkirt closure: Back zipper with button closureJacket closure: Rhinestone brooch closureJacket features: Collarless, fully linedShell materials: 100-percent polyesterLining materials: 100-percent polyesterMachine washableModel: 0650The approximate length from the cami's top center back to the hem is 22 inches. The approximate skirt inseam is 33 inches. The approximate length from the jacket's top center back to the hem is 27.5 inches. These measurements were taken from a size 10.Measurement GuideAll measurements are approximate and may vary by size.",14,BLACK,
#0650,0650-BLACK-16,#843523125115,Giovanna Signature Women's Rhinestone Brooch 3-piece Skirt Suit,"Clean lines and a rhinestone brooch add a charming touch to this three-piece skirt suit by Giovanna Signature. This set includes a collarless jacket with a rhinestone closure, a matching cami, and a modest column skirt. This suit is also machine washable for easy care.Click here to view the Giovanna Signature Collection's sizing guideColor options: Fuchsia, black, royal, silver, and whiteFit: MissyPrint: SolidCamisole sleeves: SleevelessJacket sleeves: LongWaist details: Side elastic waistbandNeckline: Round necklineLining: Fully linedSkirt closure: Back zipper with button closureJacket closure: Rhinestone brooch closureJacket features: Collarless, fully linedShell materials: 100-percent polyesterLining materials: 100-percent polyesterMachine washableModel: 0650The approximate length from the cami's top center back to the hem is 22 inches. The approximate skirt inseam is 33 inches. The approximate length from the jacket's top center back to the hem is 27.5 inches. These measurements were taken from a size 10.Measurement GuideAll measurements are approximate and may vary by size.",16,BLACK,
#0650,0650-BLACK-18,#843523125122,Giovanna Signature Women's Rhinestone Brooch 3-piece Skirt Suit,"Clean lines and a rhinestone brooch add a charming touch to this three-piece skirt suit by Giovanna Signature. This set includes a collarless jacket with a rhinestone closure, a matching cami, and a modest column skirt. This suit is also machine washable for easy care.Click here to view the Giovanna Signature Collection's sizing guideColor options: Fuchsia, black, royal, silver, and whiteFit: MissyPrint: SolidCamisole sleeves: SleevelessJacket sleeves: LongWaist details: Side elastic waistbandNeckline: Round necklineLining: Fully linedSkirt closure: Back zipper with button closureJacket closure: Rhinestone brooch closureJacket features: Collarless, fully linedShell materials: 100-percent polyesterLining materials: 100-percent polyesterMachine washableModel: 0650The approximate length from the cami's top center back to the hem is 22 inches. The approximate skirt inseam is 33 inches. The approximate length from the jacket's top center back to the hem is 27.5 inches. These measurements were taken from a size 10.Measurement GuideAll measurements are approximate and may vary by size.",18,BLACK,
#0650,0650-BLK #1869-6,,Giovanna Signature Women's Rhinestone Brooch 3-piece Skirt Suit,"Clean lines and a rhinestone brooch add a charming touch to this three-piece skirt suit by Giovanna Signature. This set includes a collarless jacket with a rhinestone closure, a matching cami, and a modest column skirt. This suit is also machine washable for easy care.Click here to view the Giovanna Signature Collection's sizing guideColor options: Fuchsia, black, royal, silver, and whiteFit: MissyPrint: SolidCamisole sleeves: SleevelessJacket sleeves: LongWaist details: Side elastic waistbandNeckline: Round necklineLining: Fully linedSkirt closure: Back zipper with button closureJacket closure: Rhinestone brooch closureJacket features: Collarless, fully linedShell materials: 100-percent polyesterLining materials: 100-percent polyesterMachine washableModel: 0650The approximate length from the cami's top center back to the hem is 22 inches. The approximate skirt inseam is 33 inches. The approximate length from the jacket's top center back to the hem is 27.5 inches. These measurements were taken from a size 10.Measurement GuideAll measurements are approximate and may vary by size.",6,BLK #1869,
#0650,0650-BLK #1869-8,,Giovanna Signature Women's Rhinestone Brooch 3-piece Skirt Suit,"Clean lines and a rhinestone brooch add a charming touch to this three-piece skirt suit by Giovanna Signature. This set includes a collarless jacket with a rhinestone closure, a matching cami, and a modest column skirt. This suit is also machine washable for easy care.Click here to view the Giovanna Signature Collection's sizing guideColor options: Fuchsia, black, royal, silver, and whiteFit: MissyPrint: SolidCamisole sleeves: SleevelessJacket sleeves: LongWaist details: Side elastic waistbandNeckline: Round necklineLining: Fully linedSkirt closure: Back zipper with button closureJacket closure: Rhinestone brooch closureJacket features: Collarless, fully linedShell materials: 100-percent polyesterLining materials: 100-percent polyesterMachine washableModel: 0650The approximate length from the cami's top center back to the hem is 22 inches. The approximate skirt inseam is 33 inches. The approximate length from the jacket's top center back to the hem is 27.5 inches. These measurements were taken from a size 10.Measurement GuideAll measurements are approximate and may vary by size.",8,BLK #1869,
#0650,0650-BLK #1869-10,,Giovanna Signature Women's Rhinestone Brooch 3-piece Skirt Suit,"Clean lines and a rhinestone brooch add a charming touch to this three-piece skirt suit by Giovanna Signature. This set includes a collarless jacket with a rhinestone closure, a matching cami, and a modest column skirt. This suit is also machine washable for easy care.Click here to view the Giovanna Signature Collection's sizing guideColor options: Fuchsia, black, royal, silver, and whiteFit: MissyPrint: SolidCamisole sleeves: SleevelessJacket sleeves: LongWaist details: Side elastic waistbandNeckline: Round necklineLining: Fully linedSkirt closure: Back zipper with button closureJacket closure: Rhinestone brooch closureJacket features: Collarless, fully linedShell materials: 100-percent polyesterLining materials: 100-percent polyesterMachine washableModel: 0650The approximate length from the cami's top center back to the hem is 22 inches. The approximate skirt inseam is 33 inches. The approximate length from the jacket's top center back to the hem is 27.5 inches. These measurements were taken from a size 10.Measurement GuideAll measurements are approximate and may vary by size.",10,BLK #1869,
