Style,Sale,First on site
0652,1,20181211
0653,2,20181211
0707,1,20181212
0709,1,20181103
0826,-1,20181022
0903,2,20181031
0910,-1,20181022
0919,N/A just on site,20181212
0920,1,20181212
0921,N/A just on site,20181218
D1337,1,20181109
D1338,1,20181109
D1423B,N/A just on site,20181201
D1455,-1,20181024
D1458,1,20181113
D1473,-1,20181108
D1498,-1,20181109
G0844,N/A just on site,20181208
G1007,1,20181101
G1067,-1,20181106
G1068,1,20181106
G1080,-1,20181113
G1081,-1,20181105
G1082,N/A just on site,20181203
G1083,N/A FOS not updated,N/A
G1084,N/A FOS not updated,N/A
G1085,N/A FOS not updated,N/A
H0907/08,N/A just on site,20181204
H0910,1,20181031
HG1062/66,-1,20181024
HG1081,1,20181108
HM1020,N/A just on site,20181204
