Style,Sale,First on site,Last sale
'0652,1,20181211,20190122
'0653,3,20181211,20190108
'0707,3,20181212,20190111
'0709,3,20181103,20181210
'0826,3,20181022,20190118
'0903,5,20181031,20190122
'0910,-1,20181022,20181129
'0919,N/A just on site,20181212,N/A
'0920,1,20181212,20190128
'0921,N/A just on site,20181218,N/A
'D1337,2,20181109,20190108
'D1338,2,20181109,20190122
'D1423B,-1,20181201,N/A
'D1455,-1,20181024,N/A
'D1458,1,20181113,20190107
'D1473,1,20181108,20190107
'D1498,-1,20181109,N/A
'G0844,1,20181208,20190124
'G1007,1,20181101,20181220
'G1067,-1,20181106,20181120
'G1068,4,20181106,20190124
'G1080,-1,20181113,N/A
'G1081,-1,20181105,20181120
'G1082,N/A just on site,20181203,N/A
'G1083,N/A FOS not updated,N/A,N/A
'G1084,N/A FOS not updated,N/A,N/A
'G1085,N/A FOS not updated,N/A,N/A
'H0907/08,N/A just on site,20181204,N/A
'H0910,1,20181031,20181212
'HG1062/66,-1,20181024,N/A
'HG1081,1,20181108,20190114
'HM1020,N/A just on site,20181204,N/A
