Style,Sale in 60 days,Total Sale,Sale Months,Sale/Month,First on site,Last sale
'0910,-1,1,3.3,0.3,20181022,20181129
'D1423B,-1,0,2,0,20181201,N/A
'D1455,-1,0,3.23,0,20181024,N/A
'D1498,-1,0,2.73,0,20181109,N/A
'G1067,-1,2,2.83,0.71,20181106,20181120
'G1080,-1,0,2.6,0,20181113,N/A
'G1081,-1,3,2.87,1.05,20181105,20181120
'HG1062/66,-1,0,3.23,0,20181024,N/A
'0652,1,1,1.67,0.6,20181211,20190122
'0920,1,1,1.63,0.61,20181212,20190128
'D1458,1,1,2.6,0.38,20181113,20190107
'D1473,1,1,2.77,0.36,20181108,20190107
'G0844,1,1,1.77,0.56,20181208,20190124
'G1007,1,1,3,0.33,20181101,20181220
'H0910,1,2,3,0.67,20181031,20181212
'HG1081,1,1,2.77,0.36,20181108,20190114
'D1337,2,2,2.73,0.73,20181109,20190108
'D1338,2,2,2.73,0.73,20181109,20190122
'0653,3,3,1.67,1.8,20181211,20190108
'0707,3,3,1.63,1.84,20181212,20190111
'0709,3,8,2.93,2.73,20181103,20181210
'0826,3,6,3.3,1.82,20181022,20190118
'G1068,4,4,2.83,1.41,20181106,20190124
'0903,5,5,3,1.67,20181031,20190122
'G1083,N/A FOS not updated,0,0,0,N/A,N/A
'G1084,N/A FOS not updated,0,0,0,N/A,N/A
'G1085,N/A FOS not updated,0,0,0,N/A,N/A
'0919,N/A just on site,0,1.63,0,20181212,N/A
'0921,N/A just on site,0,1.43,0,20181218,N/A
'G1082,N/A just on site,0,1.93,0,20181203,N/A
'H0907/08,N/A just on site,0,1.9,0,20181204,N/A
'HM1020,N/A just on site,0,1.9,0,20181204,N/A
