Style,Sale in 60 days,Total Sale,Sale Months,Sale/Month,First on site,Last sale,Update Invt.,ATS,,,,
'0586,-1,288,57,5.03,20140422,20180212,Y,N,,,,
'HR1031,-1,60,23,2.58,20170223,20181112,Y,N,,,,
'HR1039,-1,40,29,1.36,20160818,20180416,Y,N,,,,
'HR1036,-1,38,29,1.29,20160818,20180608,Y,N,,,,
'HR1020,-1,61,50,1.21,20141118,20180912,Y,N,,,,
'HM951,-1,26,26,1.02,20161215,20180504,Y,N,,,,
'HM953,-1,15,17,0.89,20170905,20181120,Y,N,,,,
'HM962,-1,6,11,0.54,20180225,20180719,Y,N,,,,
'HM959,-1,5,11,0.45,20180225,20180928,Y,N,,,,
'HM944,-1,11,29,0.37,20160818,20180508,Y,N,,,,
'HD1454,-1,8,22,0.36,20170327,20170731,Y,N,,,,
'HG1040,-1,4,11,0.36,20180225,20180712,Y,N,,,,
'HM947,-1,8,24,0.33,20170123,20170608,Y,N,,,,
'HM960,-1,3,11,0.27,20180225,20180611,Y,N,,,,
'HD1468/69,-1,2,8,0.25,20180530,20180829,Y,N,,,,
'D1459,-1,4,18,0.22,20170729,20180611,Y,N,,,,
'HM954,-1,1,8,0.12,20180530,20180423,Y,N,,,,
'HR1052,-1,1,11,0.09,20180225,20181003,Y,N,,,,
'HM956,-1,1,17,0.06,20170905,20180420,Y,N,,,,
'D1497,-1,0,10.16,0,20180326,N/A,Y,N,,,,
'D1446,-1,122,35,3.44,20160217,20181001,Y,Y,,,,
'D1343,-1,19,9,2.22,20180514,20180906,Y,Y,,,,
'HR1038,-1,56,29,1.9,20160818,20181108,Y,Y,,,,
'HM948,-1,46,26,1.8,20161215,20181031,Y,Y,,,,
'HM957,-1,16,12,1.33,20180129,20181108,Y,Y,,,,
'G1060,-1,9,8,1.09,20180524,20181009,Y,Y,,,,
'G1062,-1,4,4,0.95,20180925,20181107,Y,Y,,,,
'D1451,-1,26,28,0.93,20161004,20181113,Y,Y,,,,
'HM964,-1,10,11,0.89,20180225,20180813,Y,Y,,,,
'G1059,-1,1,5,0.19,20180825,20181029,Y,Y,,,,
'D1495,-1,0,10.16,0,20180326,N/A,Y,Y,,,,
'0654,1,398,57,7.01,20140507,20190104,Y,N,,,,
'HR1030,1,33,50,0.67,20141216,20190114,Y,N,,,,
'0822,1,13,8,1.61,20180529,20190104,Y,Y,,,,
'HM961,1,10,11,0.89,20180225,20181217,Y,Y,,,,
'G1066,1,4,5,0.78,20180827,20190122,Y,Y,,,,
'HR1037,1,21,29,0.71,20160818,20181214,Y,Y,,,,
'0655,3,188,33,5.74,20160509,20190111,Y,Y,,,,
'0818,3,17,8,2.13,20180602,20190131,Y,Y,,,,
'D1342,4,19,4,5.09,20181009,20190128,Y,Y,,,,
'0711,4,17,4,4.51,20181008,20190131,Y,Y,,,,
'HM958,4,15,11,1.34,20180225,20190107,Y,Y,,,,
'0867,5,175,30,5.84,20160802,20190122,Y,Y,,,,
'0907,5,13,5,2.48,20180824,20190102,Y,Y,,,,
'G1007,6,254,40,6.27,20150916,20190124,Y,Y,,,,
'0908,6,18,5,3.44,20180824,20190124,Y,Y,,,,
'G1051,10,18,4,4.78,20181008,20190116,Y,Y,,,,
'0650,13,270,42,6.45,20150805,20190130,Y,Y,,,,
'G1088,13,30,5,5.73,20180824,20190114,Y,Y,,,,
'G1011,16,25,4,6.76,20181010,20190128,Y,Y,,,,
'0918,19,36,5,6.88,20180824,20190128,Y,Y,,,,
'0823,20,376,32,11.75,20160531,20190124,Y,Y,,,,
'0708,25,33,4,8.76,20181008,20190128,Y,Y,,,,
'0710,26,653,67,9.71,20130624,20190131,Y,Y,,,,
'0824,30,321,29,10.91,20160818,20190131,Y,Y,,,,
'0711A,N/A FOS not updated,14,0,0,N/A,20180723,Y,N,,,,
'G1001,-1,291,46,6.29,20150323,20180510,N,N,,,,
'0301,-1,322,54,5.96,20140731,20180105,N,N,,,,
'G1003,-1,317,54,5.88,20140804,20171207,N,N,,,,
'G1010,-1,218,40,5.47,20151005,20180202,N,N,,,,
'0557,-1,204,40,5.12,20151005,20180507,N,N,,,,
'G1029,-1,130,28,4.66,20161004,20180117,N,N,,,,
'S0301,-1,128,30,4.31,20160811,20180723,N,N,,,,
'0651,-1,222,57,3.91,20140507,20170710,N,N,,,,
'G1039,-1,63,18,3.49,20170729,20181002,N,N,,,,
'G1022,-1,118,34,3.43,20160318,20170501,N,N,,,,
'D1444,-1,85,29,2.95,20160908,20180228,N,N,,,,
'0582,-1,153,65,2.37,20130913,20170202,N,N,,,,
'0879,-1,50,23,2.19,20170306,20171023,N,N,,,,
'G1023,-1,74,34,2.15,20160318,20170505,N,N,,,,
'D1437,-1,84,40,2.11,20151008,20170303,N,N,,,,
'HG1029/30,-1,43,22,1.93,20170323,20180321,N,N,,,,
'G0810,-1,67,35,1.93,20160308,20170508,N,N,,,,
'0871,-1,55,30,1.85,20160811,20170824,N,N,,,,
'0895,-1,33,18,1.83,20170729,20180611,N,N,,,,
'0583,-1,115,65,1.77,20130829,20150714,N,N,,,,
'G1042,-1,32,18,1.77,20170729,20181009,N,N,,,,
'G1031,-1,41,24,1.74,20170214,20180308,N,N,,,,
'D1472,-1,28,17,1.66,20170905,20180809,N,N,,,,
'G1016,-1,65,39,1.66,20151023,20170518,N,N,,,,
'G1006,-1,89,54,1.64,20140724,20160428,N,N,,,,
'G1032,-1,38,24,1.56,20170119,20180608,N,N,,,,
'G1002,-1,77,54,1.43,20140731,20160314,N,N,,,,
'0864,-1,41,29,1.4,20160822,20170727,N,N,,,,
'G1014,-1,54,39,1.4,20151111,20170213,N,N,,,,
'0869,-1,30,22,1.37,20170403,20170516,N,N,,,,
'G1047,-1,16,12,1.33,20180129,20180906,N,N,,,,
'S0712B,-1,22,17,1.33,20170913,20180301,N,N,,,,
'G1009,-1,50,44,1.14,20150605,20160607,N,N,,,,
'G1028,-1,32,30,1.08,20160811,20170724,N,N,,,,
'0813,-1,31,29,1.05,20160818,20170308,N,N,,,,
'D1454,-1,24,23,1.03,20170222,20170809,N,N,,,,
'G1026,-1,36,36,1.01,20160211,20180507,N,N,,,,
'0607,-1,50,57,0.87,20140422,20150918,N,N,,,,
'HM936,-1,25,29,0.85,20160818,20170519,N,N,,,,
'0516,-1,55,67,0.82,20130624,20150107,N,N,,,,
'G1048,-1,10,12,0.82,20180125,20180809,N,N,,,,
'0811,-1,29,37,0.79,20160105,20170213,N,N,,,,
'0510,-1,51,68,0.75,20130603,20141202,N,N,,,,
'HR1035,-1,22,29,0.75,20160818,20170905,N,N,,,,
'H0832/35,-1,18,24,0.74,20170124,20180110,N,N,,,,
'0829,-1,17,24,0.7,20170120,20170705,N,N,,,,
'G1013,-1,27,38,0.7,20151119,20170523,N,N,,,,
'0831,-1,24,36,0.68,20160216,20171020,N,N,,,,
'HG1032,-1,15,22,0.67,20170323,20180329,N,N,,,,
'0806,-1,26,40,0.65,20151008,20160324,N,N,,,,
'HG0810/22,-1,16,25,0.64,20170104,20170911,N,N,,,,
'G1024,-1,22,35,0.63,20160307,20160722,N,N,,,,
