code,color,descript,stdcost,price,division,category,season,user4,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,size1,size2,size3,size4,size5,size6,size7,size8,size9,size10,size11,size12,sku,cost,grp,warehouse,memo,qty1,qty2,qty3,qty4,qty5,qty6,qty7,qty8,qty9,qty10,qty11,qty12,onhand,onorder,wip,pick,alloc,available,is_actual,active,ats1,ats2,ats3,ats4,ats5,ats6,ats7,ats8,ats9,ats10,ats11,ats12,nowip_ats1,nowip_ats2,nowip_ats3,nowip_ats4,nowip_ats5,nowip_ats6,nowip_ats7,nowip_ats8,nowip_ats9,nowip_ats10,nowip_ats11,nowip_ats12,nowip_total,descript
0557W,BLK,2 PC SET,,39.0000,W3,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,,,,,0,GIO,00,,0,0,0,0,0,0,0,4,9,0,0,0,13,0,0,0,0,13.0000,,1,0,0,0,0,0,0,0,4.0000,9.0000,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,13,BLACK
0557W,RED,2 PC SET,,39.0000,W3,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,,,,,0,GIO,00,,0,0,0,0,0,0,2,9,9,0,0,0,20,0,0,0,0,20.0000,,1,0,0,0,0,0,0,2.0000,9.0000,9.0000,0,0,0,0,0,0,0,0,0,2,9,9,0,0,0,20,RED
0557W,WHT,2 PC SET,,39.0000,W3,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,,,,,0,GIO,00,,0,0,0,0,0,0,0,2,5,0,0,0,7,0,0,0,0,7.0000,,1,0,0,0,0,0,0,0,2.0000,5.0000,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,7,WHITE
0582,SIL,2 PC WASHABLE SUIT,,39.0000,M1,SUIT,ALL,N,,,,,,,,,,,,,,10,12,14,16,18,,,,,,,,0,EYS,00,,0,0,2,0,2,0,0,0,0,0,0,0,4,0,0,0,0,4.0000,,1,0,0,2.0000,0,2.0000,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,4,SILVER
0582W,SIL,2 PC WASHABLE SUIT,,39.0000,W8,SUIT,ALL,N,,,,,,,,,,,,,,,,16W,18W,20W,22W,,,,,,,0,EYS,00,,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,2.0000,,1,0,0,0,1.0000,1.0000,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,SILVER
0586,BLK,2pcs WASHABLE,,39.0000,M5,SUIT,CO,N,,,,,,,,,,,,,8,10,12,14,16,18,,,,,,,,0,GIO,00,,0,8,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10.0000,,1,0,8.0000,2.0000,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,10,BLACK
0650,BLK,3 PC SET Washable,,42.0000,M7,SUIT,ALL,N,,,,,,,,,,,,,6,8,10,12,14,16,18,,,,,,,0,GIO,00,,0,12,12,13,0,0,2,0,0,0,0,0,39,0,0,0,0,39.0000,,1,0,12.0000,12.0000,13.0000,0,0,2.0000,0,0,0,0,0,0,12,12,13,0,0,2,0,0,0,0,0,39,BLACK
0650,CHOCO,3 PC SET Washable,,42.0000,M7,SUIT,ALL,N,,,,,,,,,,,,,6,8,10,12,14,16,18,,,,,,,0,GIO,00,,0,7,7,23,23,23,28,0,0,0,0,0,111,0,0,0,0,111.0000,,1,0,7.0000,7.0000,23.0000,23.0000,23.0000,28.0000,0,0,0,0,0,0,7,7,23,23,23,28,0,0,0,0,0,111,CHOCOLATE
0650,RYL,3 PC SET Washable,,42.0000,M7,SUIT,ALL,N,,,,,,,,,,,,,6,8,10,12,14,16,18,,,,,,,0,GIO,00,,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3.0000,,1,3.0000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,ROYAL
0650,SIL,3 PC SET Washable,,42.0000,M7,SUIT,ALL,N,,,,,,,,,,,,,6,8,10,12,14,16,18,,,,,,,0,GIO,00,,0,5,8,9,8,15,17,0,0,0,0,0,62,0,0,0,0,62.0000,,1,0,5.0000,8.0000,9.0000,8.0000,15.0000,17.0000,0,0,0,0,0,0,5,8,9,8,15,17,0,0,0,0,0,62,SILVER
0650,WHT,3 PC SET Washable,,42.0000,M7,SUIT,ALL,N,,,,,,,,,,,,,6,8,10,12,14,16,18,,,,,,,0,GIO,00,,0,0,0,0,1,1,13,0,0,0,0,0,15,0,0,0,0,15.0000,,1,0,0,0,0,1.0000,1.0000,13.0000,0,0,0,0,0,0,0,0,0,1,1,13,0,0,0,0,0,15,WHITE
0650W,BLK,3 PC SET,,42.0000,W12,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,28W,30W,,,0,GIO,00,,0,0,3,1,1,0,0,13,15,4,9,0,46,0,0,0,0,46.0000,,1,0,0,3.0000,1.0000,1.0000,0,0,13.0000,15.0000,4.0000,9.0000,0,0,0,3,1,1,0,0,13,15,4,9,0,46,BLACK
0650W,CHOCO,3 PC SET,,42.0000,W3,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,,,,,0,GIO,00,,0,0,14,17,21,18,20,18,14,0,0,0,122,0,0,0,0,122.0000,,1,0,0,14.0000,17.0000,21.0000,18.0000,20.0000,18.0000,14.0000,0,0,0,0,0,14,17,21,18,20,18,14,0,0,0,122,CHOCOLATE
0650W,RYL,3 PC SET,,42.0000,W12,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,28W,30W,,,0,GIO,00,,0,0,0,0,0,0,12,24,24,4,4,0,68,0,0,0,0,68.0000,,1,0,0,0,0,0,0,12.0000,24.0000,24.0000,4.0000,4.0000,0,0,0,0,0,0,0,12,24,24,4,4,0,68,ROYAL
0650W,SIL,3 PC SET,,42.0000,W3,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,,,,,0,GIO,00,,0,0,5,15,6,9,7,18,11,0,0,0,71,0,0,0,0,71.0000,,1,0,0,5.0000,15.0000,6.0000,9.0000,7.0000,18.0000,11.0000,0,0,0,0,0,5,15,6,9,7,18,11,0,0,0,71,SILVER
