code,color,royaltor,descript,stdcost,price,division,category,season,user4,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,size1,size2,size3,size4,size5,size6,size7,size8,size9,size10,size11,size12,sku,cost,grp,warehouse,memo,qty1,qty2,qty3,qty4,qty5,qty6,qty7,qty8,qty9,qty10,qty11,qty12,onhand,onorder,wip,pick,alloc,available,is_actual,active,ats1,ats2,ats3,ats4,ats5,ats6,ats7,ats8,ats9,ats10,ats11,ats12,descript
0650,BLK,,3 PC SET Washable,,42.0000,M7,SUIT,ALL,N,,,,,,,,,,,,,6,8,10,12,14,16,18,,,,,,,0,GIO,00,,0,11,9,7,0,0,0,0,0,0,0,0,27,0,0,0,0,27.0000,,1,0,11.0000,9.0000,7.0000,0,0,0,0,0,0,0,0,BLACK
0650,BLK #1869,,3 PC SET Washable,,42.0000,M7,SUIT,ALL,N,,,,,,,,,,,,,6,8,10,12,14,16,18,,,,,,,0,GIO,00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.0000,0,0,142.0000,,1,5.0000,5.0000,10.0000,20.0000,36.0000,36.0000,30.0000,0,0,0,0,0,BLACK
0650,CHOCO,,3 PC SET Washable,,42.0000,M7,SUIT,ALL,N,,,,,,,,,,,,,6,8,10,12,14,16,18,,,,,,,0,GIO,00,,0,6,6,18,17,20,24,0,0,0,0,0,91,0,0,0,0,91.0000,,1,0,6.0000,6.0000,18.0000,17.0000,20.0000,24.0000,0,0,0,0,0,CHOCOLATE
0650,RYL,,3 PC SET Washable,,42.0000,M7,SUIT,ALL,N,,,,,,,,,,,,,6,8,10,12,14,16,18,,,,,,,0,GIO,00,,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2.0000,,1,2.0000,0,0,0,0,0,0,0,0,0,0,0,ROYAL
0650,SIL,,3 PC SET Washable,,42.0000,M7,SUIT,ALL,N,,,,,,,,,,,,,6,8,10,12,14,16,18,,,,,,,0,GIO,00,,0,5,8,9,7,14,17,0,0,0,0,0,60,0,0,0,0,60.0000,,1,0,5.0000,8.0000,9.0000,7.0000,14.0000,17.0000,0,0,0,0,0,SILVER
0650,WHT,,3 PC SET Washable,,42.0000,M7,SUIT,ALL,N,,,,,,,,,,,,,6,8,10,12,14,16,18,,,,,,,0,GIO,00,,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,8.0000,,1,0,0,0,0,0,0,8.0000,0,0,0,0,0,WHITE
0650,WHT #1869,,3 PC SET Washable,,42.0000,M7,SUIT,ALL,N,,,,,,,,,,,,,6,8,10,12,14,16,18,,,,,,,0,GIO,00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.0000,0,0,175.0000,,1,6.0000,12.0000,25.0000,30.0000,41.0000,40.0000,21.0000,0,0,0,0,0,WHITE
0650W,BLK,,3 PC SET,,42.0000,W12,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,28W,30W,,,0,GIO,00,,0,0,0,0,0,0,0,13,15,5,8,0,41,0,0,0,0,41.0000,,1,0,0,0,0,0,0,0,13.0000,15.0000,5.0000,8.0000,0,BLACK
0650W,BLK #1869,,3 PC SET,,42.0000,W3,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,,,,,0,GIO,00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.0000,0,0,145.0000,,1,0,0,16.0000,26.0000,25.0000,26.0000,26.0000,16.0000,10.0000,0,0,0,BLACK
0650W,CHOCO,,3 PC SET,,42.0000,W3,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,,,,,0,GIO,00,,0,0,11,14,19,15,18,16,12,0,0,0,105,0,0,0,0,105.0000,,1,0,0,11.0000,14.0000,19.0000,15.0000,18.0000,16.0000,12.0000,0,0,0,CHOCOLATE
0650W,RYL,,3 PC SET,,42.0000,W12,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,28W,30W,,,0,GIO,00,,0,0,0,0,0,0,8,20,23,3,2,0,56,0,0,0,0,56.0000,,1,0,0,0,0,0,0,8.0000,20.0000,23.0000,3.0000,2.0000,0,ROYAL
0650W,SIL,,3 PC SET,,42.0000,W3,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,,,,,0,GIO,00,,0,0,8,15,5,9,7,17,10,0,0,0,71,0,0,0,0,71.0000,,1,0,0,8.0000,15.0000,5.0000,9.0000,7.0000,17.0000,10.0000,0,0,0,SILVER
0650W,WHT,,3 PC SET,,42.0000,W12,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,28W,30W,,,0,GIO,00,,0,0,0,0,0,0,10,21,12,4,5,0,52,0,0,0,0,52.0000,,1,0,0,0,0,0,0,10.0000,21.0000,12.0000,4.0000,5.0000,0,WHITE
0650W,WHT #1869,,3 PC SET,,42.0000,W3,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,,,,,0,GIO,00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.0000,0,0,165.0000,,1,0,0,16.0000,30.0000,36.0000,36.0000,21.0000,15.0000,11.0000,0,0,0,WHITE
0652,BLK,,3 PC WASHABLE 0557,,45.0000,M5,SUIT,ALL,N,,,,,,,,,,,,,8,10,12,14,16,18,,,,,,,,0,GIO,00,,0,0,0,0,0,0,0,0,0,0,0,0,0,7,117.0000,0,0,110.0000,,1,0,11.0000,24.0000,28.0000,28.0000,19.0000,0,0,0,0,0,0,BLACK
