OS CODE,WINFA CODE,COLOR,SIZE,,,,
HR1020-Blk,HM1020,BLK,,,,,
HR1020-Pur,HR1020,PURPLE,,,,,
HR1020-Red,,,,,,,
HR1020-Sil,HR1020,SIL,,,,,
HR1020-Wht,HM1020,WHT,,,,,
HR1030-Blk,HR1030,BLK,,,,,
HR1030-Choco,,,,,,,
HR1030-Fuchsia,,,,,,,
HR1030-Navy,HR1030,NAVY,,,,,
HR1030-Ryl,,,,,,,
HR1030-White,,,,,,,
HR1031-Black,,,,,,,
HR1031-Champ,HR1031,CHAM,,,,,
HR1031-Chocolate,,,,,,,
HR1031-Green,HR1031,GREEN,,,,,
HR1031-Purple,,,,,,,
HR1031-Royal,,,,,,,
HR1031-Silver,HR1031,SIL,,,,,
HR1031-Turq,HR1031,TURQ,,,,,
HR1031-White,HR1031,WHT,,,,,
HR1031-Wine,,,,,,,
HR1035-Black,,,,,,,
HR1035-Chocolate,,,,,,,
HR1035-Purple,,,,,,,
HR1035-Red,,,,,,,
HR1035-Royal,,,,,,,
HR1035-White,,,,,,,
HR1036-Black,,,,,,,
HR1036-Chocolate,,,,,,,
HR1036-Purple,HR1036,PURPLE,,,,,
HR1036-Silver,,,,,,,
HR1037-Black,,,,,,,
HR1037-Champ,,,,,,,
HR1037-Navy,,,,,,,
HR1037-Red,HR1037,RED,,,,,
HR1037-Silver,,,,,,,
HR1037-White,,,,,,,
HR1038-Black/White,,,,,,,
HR1038-Cham/Choco,HR1038,CHAMP/CHOCO,,,,,
HR1038-Sil/Dk. Sil,HR1038,SIL/ST,,,,,
HR1038-White/Black,HR1038,W/B,,,,,
HR1039-Black,,,,,,,
HR1039-IceBlue,,,,,,,
HR1039-Ivory,,,,,,,
HR1039-Pink,HR1039,PINK,,,,,
HR1039-Purple,,,,,,,
HR1039-Red,,,,,,,
HR1039-Royal,HR1039,RYL,,,,,
HR1039-White,,,,,,,
HR1040-Emerald-wht,,,,,,,
HR1040-Navy-wht,,,,,,,
HR1041-Blk/wht,,,,,,,
HR1041-Emer/gold,,,,,,,
HR1042-Emer/pink,,,,,,,
HR1043-Black,,,,,,,
HR1043-Ice Blue,,,,,,,
HR1043-White,,,,,,,
HR1044-Blk/gold,,,,,,,
HR1044-Blk/orgred,,,,,,,
HR1045-Hot Pink,,,,,,,
HR1045-Ice Blue,,,,,,,
HR1045-Ivory,,,,,,,
HR1047-Fuchsia,,,,,,,
HR1048-Blue,,,,,,,
HR1051-Wht/blue,,,,,,,
HR1051-Wht/gold,,,,,,,
HR1052-Black/wht,HR1052,BLACK/WHT,,,,,
H0723-Black,,,,,,,
H0723-White,,,,,,,
H0812/13-Black,,,,,,,
H0812/13-Red,,,,,,,
H0829-Navy/wht,,,,,,,
H0832/35-Lavender,,,,,,,
H0832/35-P. Green,,,,,,,
H0843-Brt Yellow,,,,,,,
H0847-Champagne,,,,,,,
H0852-Pink/Black,,,,,,,
H0861-Navy,,,,,,,
H0861-White,,,,,,,
HD1454-Silver,HD1454,SIL,,,,,
HD1468/69-Gold/blk,HD1468/69,GLD/BLK,,,,,
HD1468/69-Red/blk,,,,,,,
HD1468/69-White,,,,,,,
HG0810/22-Navy/Wht,,,,,,,
HG0810/22-Wht/Blue,,,,,,,
HG0810/22-Wht/Lime,,,,,,,
HG0810/22-Wht/Pink,,,,,,,
HG1023/24 White/Pink,,,,,,,
HG1029/30-Blue,,,,,,,
HG1029/30-Offwht,,,,,,,
HG1029/30-Peach,,,,,,,
HG1032-Blk/sil,,,,,,,
HG1037/39-Emrd/Wht,,,,,,,
HG1037/39-Gold/Wht,,,,,,,
HG1040-Peacock,HG1040,PEACOCK,,,,,
HG1040-Violet,HG1040,VIOLET,,,,,
HM935B-Black,,,,,,,
HM935-Black,,,,,,,
HM935B-Navy,,,,,,,
HM935B-White,,,,,,,
HM935-Champ,,,,,,,
HM935-Navy,,,,,,,
HM935-Silver,,,,,,,
HM935-White,,,,,,,
HM936-Black,,,,,,,
HM936-Cranberry,,,,,,,
HM936-Purple,,,,,,,
HM944-Black,HM944,BLK,,,,,
HM944-Champagne,HM944,CHAM,,,,,
HM944-Ice Blue,,,,,,,
HM944-White,HM944,WHT,,,,,
HM947-Black,HM947,BLK,,,,,
HM947-Soft Pink,,,,,,,
HM947-White,,,,,,,
HM948-Black,,,,,,,
HM948-Champ,HM948,CHAM,,,,,
HM948-Lilac,HM948,LILAC,,,,,
HM948-Navy,,,,,,,
HM948-Pastel Green,HM948,PASTEL GRN,,,,,
HM948-Pink,,,,,,,
HM948-White,,,,,,,
HM951-Black,HM951,BLK,,,,,
HM951-Champ,,,,,,,
HM951-Lavender,,,,,,,
HM951-White,,,,,,,
HM951-White/blue,HM951,WHT/BLUE,,,,,
HM951-White/navy,HM951,W/N,,,,,
HM951-White/pink,,,,,,,
HM952,,,,,,,
HM952-Black,,,,,,,
HM952-Ice Blue,,,,,,,
HM952-Lilac,,,,,,,
HM952-Pink,,,,,,,
HM952-White,,,,,,,
HM952-Yellow,,,,,,,
HM953-Red,HM953,RED,,,,,
HM953-Rose,HM953,ROSE,,,,,
HM953-Sapphire,HM953,SAPPHIRE,,,,,
HM953-Silver,HM953,SIL,,,,,
HM953-White,HM953,WHT,,,,,
HM954-Black,HM954,BLK,,,,,
HM954-Ice Blue,HM954,ICE BLUE,,,,,
HM954-Pink,HM954,PINK,,,,,
HM954-White,HM954,WHT,,,,,
HM956-Black,,,,,,,
HM956-Peacock,HM956,PEACOCK,,,,,
HM956-White,,,,,,,
HM957-Purple,HM957,PURPLE,,,,,
HM957-Red,HM957,RED,,,,,
HM957-Sapphire,HM957,SAPPHIRE,,,,,
HM957-White,,,,,,,
HM958-Blue,HM958,BLUE,,,,,
HM958-Peacock,HM958,PEACOCK,,,,,
HM958-Pink,HM958,PINK,,,,,
