Supplier Sku,Quantity,Warehouse Name
HR1020-Blk,3,Waitex
HR1020-Pur,3,Waitex
HR1020-Sil,2,Waitex
HR1020-Wht,3,Waitex
HR1030-Blk,2,Waitex
HR1030-Navy,3,Waitex
HR1031-Champ,1,Waitex
HR1031-Green,3,Waitex
HR1031-Silver,3,Waitex
HR1031-Turq,3,Waitex
HR1031-White,3,Waitex
HR1036-Purple,1,Waitex
HR1038-Cham/Choco,3,Waitex
HR1038-Sil/Dk. Sil,3,Waitex
HR1038-White/Black,3,Waitex
HR1039-Pink,1,Waitex
HR1052-Black/wht,3,Waitex
HD1454-Silver,1,Waitex
HD1468/69-Gold/blk,3,Waitex
HG1040-Peacock,3,Waitex
HG1040-Violet,3,Waitex
HM944-Black,3,Waitex
HM944-Champagne,3,Waitex
HM944-White,3,Waitex
HM947-Black,1,Waitex
HM948-Champ,2,Waitex
HM948-Lilac,3,Waitex
HM948-Pastel Green,3,Waitex
HM951-Black,1,Waitex
HM951-White/blue,0,Waitex
HM951-White/navy,3,Waitex
HM953-Rose,3,Waitex
HM953-Sapphire,3,Waitex
HM953-Silver,1,Waitex
HM954-Black,1,Waitex
HM954-Ice Blue,2,Waitex
HM954-Pink,3,Waitex
HM956-Peacock,3,Waitex
HM957-Purple,3,Waitex
HM957-Red,3,Waitex
HM957-Sapphire,3,Waitex
HM958-Blue,3,Waitex
HM958-Peacock,3,Waitex
HM958-Pink,3,Waitex
HM959-Animal,3,Waitex
HM960-Black,3,Waitex
HM960-Blue,3,Waitex
HM960-Mauve,3,Waitex
HM960-Pink,3,Waitex
HM960-White,3,Waitex
HM961-Lavender,3,Waitex
HM961-Navy,3,Waitex
HM961-Yellow,3,Waitex
HM962-Rose Pink,3,Waitex
HM964-Lime,3,Waitex
HM964-White,3,Waitex
G1001-Black-10,2,Waitex
G1001-Black-12,0,Waitex
G1001-Black-14,0,Waitex
G1001-Black-16,0,Waitex
G1001-Black-18,2,Waitex
G1001-Silver-10,3,Waitex
G1001-Silver-12,2,Waitex
G1001-Silver-14,0,Waitex
G1001-Silver-16,0,Waitex
G1001-Silver-18,2,Waitex
G1001W-Black-14W,0,Waitex
G1001W-Black-16W,1,Waitex
G1001W-Black-18W,2,Waitex
G1001W-Black-20W,0,Waitex
G1001W-Black-22W,0,Waitex
G1001W-Black-24W,0,Waitex
G1001-White-10,1,Waitex
G1001-White-12,2,Waitex
G1001-White-14,0,Waitex
G1001-White-16,0,Waitex
G1001-White-18,0,Waitex
G1001W-Silver-14W,1,Waitex
G1001W-Silver-16W,1,Waitex
G1001W-Silver-18W,0,Waitex
G1001W-Silver-20W,2,Waitex
