IN,Supplier Sku,YES,Quantity,Blank,Blank,Blank,Blank,Decription,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,SKU,JCPENNEY
IN,0557-BLACK-10,Yes,2,,,,,EMBLSHD SKRT ST,,,,,,,,,,,,,,69928640067,JCPENNEY
IN,0557-BLACK-12,Yes,0,,,,,EMBLSHD SKRT ST,,,,,,,,,,,,,,69928640075,JCPENNEY
IN,0557-BLACK-14,Yes,0,,,,,EMBLSHD SKRT ST,,,,,,,,,,,,,,69928640083,JCPENNEY
IN,0557-BLACK-16,Yes,0,,,,,EMBLSHD SKRT ST,,,,,,,,,,,,,,69928640091,JCPENNEY
IN,0557-BLACK-18,Yes,1,,,,,EMBLSHD SKRT ST,,,,,,,,,,,,,,69928640109,JCPENNEY
IN,0557-RED-10,Yes,1,,,,,EMBLSHD SKRT ST,,,,,,,,,,,,,,69928640265,JCPENNEY
IN,0557-RED-12,Yes,0,,,,,EMBLSHD SKRT ST,,,,,,,,,,,,,,69928640273,JCPENNEY
IN,0557-RED-14,Yes,0,,,,,EMBLSHD SKRT ST,,,,,,,,,,,,,,69928640281,JCPENNEY
IN,0557-RED-16,Yes,0,,,,,EMBLSHD SKRT ST,,,,,,,,,,,,,,69928640299,JCPENNEY
IN,0557-RED-18,Yes,0,,,,,EMBLSHD SKRT ST,,,,,,,,,,,,,,69928640307,JCPENNEY
IN,0557-RED-8,Yes,0,,,,,EMBLSHD SKRT ST,,,,,,,,,,,,,,69928640257,JCPENNEY
IN,0557W-BLACK-14W,Yes,0,,,,,EMBLSHD SKRT ST,,,,,,,,,,,,,,87602660018,JCPENNEY
IN,0557W-BLACK-16W,Yes,0,,,,,EMBLSHD SKRT ST,,,,,,,,,,,,,,87602660026,JCPENNEY
IN,0557W-BLACK-18W,Yes,0,,,,,EMBLSHD SKRT ST,,,,,,,,,,,,,,87602660034,JCPENNEY
IN,0557W-BLACK-20W,Yes,0,,,,,EMBLSHD SKRT ST,,,,,,,,,,,,,,87602660042,JCPENNEY
IN,0557W-BLACK-22W,Yes,2,,,,,EMBLSHD SKRT ST,,,,,,,,,,,,,,87602660059,JCPENNEY
IN,0557W-BLACK-24W,Yes,3,,,,,EMBLSHD SKRT ST,,,,,,,,,,,,,,87602660067,JCPENNEY
IN,0557W-BLACK-26W,Yes,3,,,,,EMBLSHD SKRT ST,,,,,,,,,,,,,,87602660075,JCPENNEY
IN,0557-WHITE-10,Yes,0,,,,,EMBLSHD SKRT ST,,,,,,,,,,,,,,69928640463,JCPENNEY
IN,0557-WHITE-12,Yes,0,,,,,EMBLSHD SKRT ST,,,,,,,,,,,,,,69928640471,JCPENNEY
IN,0557-WHITE-14,Yes,0,,,,,EMBLSHD SKRT ST,,,,,,,,,,,,,,69928640489,JCPENNEY
IN,0557-WHITE-16,Yes,0,,,,,EMBLSHD SKRT ST,,,,,,,,,,,,,,69928640497,JCPENNEY
IN,0557-WHITE-18,Yes,0,,,,,EMBLSHD SKRT ST,,,,,,,,,,,,,,69928640505,JCPENNEY
IN,0557W-RED-14W,Yes,0,,,,,EMBLSHD SKRT ST,,,,,,,,,,,,,,87602660216,JCPENNEY
IN,0557W-RED-16W,Yes,0,,,,,EMBLSHD SKRT ST,,,,,,,,,,,,,,87602660224,JCPENNEY
IN,0557W-RED-18W,Yes,0,,,,,EMBLSHD SKRT ST,,,,,,,,,,,,,,87602660232,JCPENNEY
IN,0557W-RED-20W,Yes,2,,,,,EMBLSHD SKRT ST,,,,,,,,,,,,,,87602660240,JCPENNEY
IN,0557W-RED-22W,Yes,2,,,,,EMBLSHD SKRT ST,,,,,,,,,,,,,,87602660257,JCPENNEY
IN,0557W-RED-24W,Yes,3,,,,,EMBLSHD SKRT ST,,,,,,,,,,,,,,87602660265,JCPENNEY
