Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,"SEO Title,SEO Description",Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
0710,0710,,GIOVANNA APPAREL,SUIT,GIOVANNA SIGNATURE,TRUE,COLOR,BLK#1809,SIZE,8,,,0710-BLK#1809-8,,shopify,0,deny,manual,,,TRUE,FALSE,,,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
0710,,,,,,,COLOR,BLK#1809,SIZE,10,,,0710-BLK#1809-10,,shopify,0,deny,manual,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
0710,,,,,,,COLOR,BLK#1809,SIZE,12,,,0710-BLK#1809-12,,shopify,0,deny,manual,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
0710,,,,,,,COLOR,BLK#1809,SIZE,14,,,0710-BLK#1809-14,,shopify,0,deny,manual,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
0710,,,,,,,COLOR,BLK#1809,SIZE,16,,,0710-BLK#1809-16,,shopify,0,deny,manual,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
0710,,,,,,,COLOR,BLK#1809,SIZE,18,,,0710-BLK#1809-18,,shopify,0,deny,manual,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
0710,,,,,,,COLOR,CHOCO#1809,SIZE,8,,,0710-CHOCO#1809-8,,shopify,0,deny,manual,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
0710,,,,,,,COLOR,CHOCO#1809,SIZE,10,,,0710-CHOCO#1809-10,,shopify,0,deny,manual,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
0710,,,,,,,COLOR,CHOCO#1809,SIZE,12,,,0710-CHOCO#1809-12,,shopify,0,deny,manual,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
0710,,,,,,,COLOR,CHOCO#1809,SIZE,14,,,0710-CHOCO#1809-14,,shopify,0,deny,manual,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
0710,,,,,,,COLOR,CHOCO#1809,SIZE,16,,,0710-CHOCO#1809-16,,shopify,0,deny,manual,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
0710,,,,,,,COLOR,CHOCO#1809,SIZE,18,,,0710-CHOCO#1809-18,,shopify,0,deny,manual,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
0710,,,,,,,COLOR,IVY,SIZE,8,,,0710-IVY-8,,shopify,0,deny,manual,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
0710,,,,,,,COLOR,IVY,SIZE,10,,,0710-IVY-10,,shopify,0,deny,manual,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
0710,,,,,,,COLOR,IVY,SIZE,12,,,0710-IVY-12,,shopify,0,deny,manual,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
0710,,,,,,,COLOR,IVY,SIZE,14,,,0710-IVY-14,,shopify,0,deny,manual,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
0710,,,,,,,COLOR,IVY,SIZE,16,,,0710-IVY-16,,shopify,0,deny,manual,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
0710,,,,,,,COLOR,IVY,SIZE,18,,,0710-IVY-18,,shopify,0,deny,manual,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
0710,,,,,,,COLOR,IVY #1834,SIZE,8,,,0710-IVY #1834-8,,shopify,0,deny,manual,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
0710,,,,,,,COLOR,IVY #1834,SIZE,10,,,0710-IVY #1834-10,,shopify,0,deny,manual,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
0710,,,,,,,COLOR,IVY #1834,SIZE,12,,,0710-IVY #1834-12,,shopify,0,deny,manual,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
0710,,,,,,,COLOR,IVY #1834,SIZE,14,,,0710-IVY #1834-14,,shopify,0,deny,manual,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
0710,,,,,,,COLOR,IVY #1834,SIZE,16,,,0710-IVY #1834-16,,shopify,0,deny,manual,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
0710,,,,,,,COLOR,IVY #1834,SIZE,18,,,0710-IVY #1834-18,,shopify,0,deny,manual,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
0710,,,,,,,COLOR,NAVY,SIZE,8,,,0710-NAVY-8,,shopify,0,deny,manual,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
0710,,,,,,,COLOR,NAVY,SIZE,10,,,0710-NAVY-10,,shopify,0,deny,manual,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
0710,,,,,,,COLOR,NAVY,SIZE,12,,,0710-NAVY-12,,shopify,0,deny,manual,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
0710,,,,,,,COLOR,NAVY,SIZE,14,,,0710-NAVY-14,,shopify,0,deny,manual,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
