Name,Address,City,State,Zip
Atlanta North School of Sda,5123 Chamblee Dunwoody Rd,Dunwoody,GA,30338
Dunwoody Baptist Church,1445 Mt Vernon Rd,Dunwoody,GA,30338
All Saints Catholic Church,2443 Mt Vernon Rd,Dunwoody,GA,30338
Dunwoody United Methodist Chr,1548 Mt Vernon Rd,Dunwoody,GA,30338
North Atlanta Church of Christ,5676 Roberts Dr,Dunwoody,GA,30338
Calvary Assembly of God,5067 Chamblee Dunwoody Rd,Dunwoody,GA,30338
St Luke's Presbyterian Church,1978 Mt Vernon Rd,Dunwoody,GA,30338
Belvedere Seventh Day Advntst,3567 Covington Hwy,Decatur,GA,30032
Bethel Original Free Will Bpts,1890 2nd Ave,Decatur,GA,30032
Briarlake Baptist Church,3715 Lavista Rd,Decatur,GA,30033
Clairmont Hills Baptist Church,1995 Clairmont Rd,Decatur,GA,30033
Columbia Drive Baptist Church,862 Columbia Dr,Decatur,GA,30030
Decatur Heights Baptist Church,735 Sycamore Dr,Decatur,GA,30030
First Baptist Church,1483 W Highway 78,Villa Rica,GA,30180
Greater Friendship Baptist Chr,115 W Bolton St,Savannah,GA,31401
Greenforest Baptist Church,3250 Rainbow Dr,Decatur,GA,30034
Little Friendship Missionary,PO Box 1862,Decatur,GA,30031
Mt Patmos Baptist Church,PO Box 371455,Decatur,GA,30037
Oakhurst Baptist Church,222 E Lake Dr,Decatur,GA,30030
Peace Baptist Church,1399 Austin Dr,Decatur,GA,30032
Primera Iglesia Bautista,3532 Covington Hwy,Decatur,GA,30032
Riverside Baptist Church,2310 Causton Bluff Rd,Savannah,GA,31404
Scott Boulevard Baptist Church,2532 N Decatur Rd,Decatur,GA,30033
Solid Rock Missionary Baptist,5338 Covington Hwy,Decatur,GA,30035
Thankful Baptist Church,820 Martin Luther King Jr Blvd,Savannah,GA,31415
Valley Brook Baptist Church,1198 N Valley Brook Rd,Decatur,GA,30033
St Thomas More Church,636 W Ponce de Leon Ave,Decatur,GA,30030
First Christian Church Decatur,601 W Ponce de Leon Ave,Decatur,GA,30030
Hillcrest Church of Christ,1939 Snapfinger Rd,Decatur,GA,30035
Church of the Holy Cross,2005 S Columbia Pl,Decatur,GA,30032
Holy Trinity Parish-Episcopal,515 E Ponce de Leon Ave,Decatur,GA,30030
Lutheran Church of the Messiah,465 Clairemont Ave,Decatur,GA,30030
Peace Lutheran Church,1679 Columbia Dr,Decatur,GA,30032
