Name,Address,City,State,Zip
Seventh Day Adventist Church,3506 La Salle St,New Orleans,LA,70115
Asia Baptist Church,1400 Sere St,New Orleans,LA,70122
Austerlitz Street Baptist Chr,819 Austerlitz St,New Orleans,LA,70115
Battle Ground Baptist Church,2241 Flood St,New Orleans,LA,70117
Beulah Baptist Church,PO Box 356,Cheneyville,LA,71325
Bibleway Missionary Baptist,3201 Orleans Ave,New Orleans,LA,70119
Branch Bell Baptist Church,1231 Saint Maurice Ave,New Orleans,LA,70117
Calvary Southern Baptist Chr,2401 General Degaulle Dr,New Orleans,LA,70114
Carrollton Avenue Baptist Chr,2528 S Carrollton Ave,New Orleans,LA,70118
Carver Desire Baptist Church,3301 Montegut St,New Orleans,LA,70126
Christian Bible Fellowship,1300 Alvar St,New Orleans,LA,70117
Christian Unity Baptist Church,1700 Conti St,New Orleans,LA,70112
Darryl S Brister Ministries,2140 Mirabeau Ave,New Orleans,LA,70122
Elysian Fields Avenue Baptist,3515 Elysian Fields Ave,New Orleans,LA,70122
Fellowship Missionary Baptist,2101 Prytania St,New Orleans,LA,70130
Fifth African Baptist Church,2616 Louisiana Ave,New Orleans,LA,70115
First Baptist Church,PO Box 220,Starks,LA,70661
First Baptist Church Algiers,501 Opelousas Ave,New Orleans,LA,70114
First Emanuel Baptist Church,1829 Carondelet St,New Orleans,LA,70130
First Free Mission Baptist Chr,426 Lamarque St,New Orleans,LA,70114
First St Luke Baptist Church,4126 Thalia St,New Orleans,LA,70125
First United Baptist Church,131 S Jefferson Davis Pky,New Orleans,LA,70119
Franklin Avenue Baptist Church,2515 Franklin Ave,New Orleans,LA,70117
Gentilly Baptist Church,5141 Franklin Ave,New Orleans,LA,70122
Gloryland Mt Gillion Baptist,1515 Oretha C Haley Blvd,New Orleans,LA,70113
Greater Antioch Full Gospel,818 6th St,New Orleans,LA,70115
Greater Asia Baptist Church,3708 Saint Bernard Ave,New Orleans,LA,70122
Greater Liberty Baptist Chr,1230 Desire St,New Orleans,LA,70117
Greater Little Rock Baptist,4314 America St,New Orleans,LA,70126
Greater Macedonia Baptist Chr,2711 Danneel St,New Orleans,LA,70113
Greater New Home Baptist Chr,1735 Delery St,New Orleans,LA,70117
Greater Providence Baptist Chr,623 Newton St,New Orleans,LA,70114
Greater St Mary Baptist Church,1401 Moeling St,Lake Charles,LA,70601
Household of Faith,10469 Airline Hwy,Gonzales,LA,70737
James Chapel Baptist Church,4228 Thalia St,New Orleans,LA,70125
Lake Forest Baptist Church,8821 Morrison Rd,New Orleans,LA,70127
Lakeview Baptist Church,4520 Tacoma Blvd,Shreveport,LA,71107
Lion of Judah Missionary Bapt,1996 Florida Ave,New Orleans,LA,70119
Mount Tabor Baptist Church,4128 Franklin Ave,New Orleans,LA,70122
Mount Zion Baptist Church,17683 Highway 933,Prairieville,LA,70769
Mt Moriah Baptist Chr Hall,2407 Louisa St,New Orleans,LA,70117
Mt Moriah Missionary Baptist,147 Millaudon St,New Orleans,LA,70118
Mt Zion Community Baptist Ch,1922 Alabo St,New Orleans,LA,70117
Nazarene Baptist Church,1830 Robin St,Baton Rouge,LA,70807
New Birth Baptist Church,3320 Louisa St,New Orleans,LA,70126
New Home Missionary Baptist,PO Box 13927,New Orleans,LA,70185
New Zion Baptist Church,PO Box 1164,Gramercy,LA,70052
Oak Park Baptist Church,1110 Kabel Dr,New Orleans,LA,70131
Old Zion Baptist Church,430 N Johnson St,New Orleans,LA,70112
