Name,Address,City,State,Zip
Gulf Coast Seventh Day Advntst,13301 Old Highway 67,Biloxi,MS,39532
Bay Vista Baptist Church,2485 Pass Rd,Biloxi,MS,39531
Emmanuel Baptist Church,401 Holcomb Blvd,Ocean Springs,MS,39564
First Missionary Baptist Chr,658 Esters Blvd,Biloxi,MS,39530
Lemoyne Boulevard Baptist Chr,15005 Lemoyne Blvd,Biloxi,MS,39532
Lighthouse Baptist Church,7226 Gorenflo Rd,Biloxi,MS,39532
Main Street Baptist Church,11 Main Street Blvd,Hattiesburg,MS,39402
Temple Baptist Church,15120 Highway 613,Moss Point,MS,39562
Trinity Baptist Church,7200 Swinnea Rd,Southaven,MS,38671
Woolmarket Baptist Church,12816 Lorraine Rd,Biloxi,MS,39532
Nativity of Bvm Cathedral,PO Box 367,Biloxi,MS,39533
Our Lady of Fatima Church,2090 Pass Rd,Biloxi,MS,39531
St Mary's Catholic Church,8343 Woolmarket Rd,Biloxi,MS,39532
St Michael's Church,177 1st St,Biloxi,MS,39530
Episcopal Church of Redeemer,610 Water St,Biloxi,MS,39530
Beth Israel Congregation,5315 Old Canton Rd,Jackson,MS,39211
Bethel Lutheran Church,2521 Pass Rd,Biloxi,MS,39531
Lutheran Church of the Good,2004 Pass Rd,Biloxi,MS,39531
Beauvoir United Methodist Chr,2113 Pass Rd,Biloxi,MS,39531
Coalville United Methodist Chr,12556 Lorraine Rd,Biloxi,MS,39532
First United Methodist Church,208 Pine St,Long Beach,MS,39560
St Paul United Methodist Chr,3724 Davis Ave,Moss Point,MS,39563
Abudant Life Evangelistic Ctr,PO Box 8059,Biloxi,MS,39535
First Pentecostal Church,PO Box 7085,Biloxi,MS,39540
Greater Grace Apostolic,PO Box 4409,Biloxi,MS,39535
First Presbyterian Church,1455 McIngvale Rd,Hernando,MS,38632
Catholic Diocese Of Biloxi,1790 Popps Ferry Rd,Biloxi,MS,39532
Faith Tabernacle Of Praise,336 Rodenberg Ave,Biloxi,MS,39531
Northside Assembly Of God Church,14901 Lemoyne Blvd,Biloxi,MS,39532
Abundant Life Evangelistic Center,200 N 40th Ave,Hattiesburg,MS,39401
Amazing Grace Ministries,1783 Pass Rd,Biloxi,MS,39531
Apostolic Lighthouse United,263 Iberville Dr,Biloxi,MS,39531
Back Bay Mission,308 Iroquois St,Biloxi,MS,39530
Back Bay Mission United Church,1012 Division St,Biloxi,MS,39530
Alta Woods Baptist Church,168 Colonial Dr,Jackson,MS,39204
Black's Chapel Church,3425 Robinson St,Jackson,MS,39209
Briarwood Drive Baptist Church,245 Briarwood Dr,Jackson,MS,39206
Calvary Baptist Church,1123 Highway 42,Petal,MS,39465
Center for Family Life,1000 W Ridgeway St,Jackson,MS,39213
Cherry Grove Baptist Church,1296 Martin Luther King Jr Dr,Jackson,MS,39203
China Grove Baptist Church,457 Forest Ave,Jackson,MS,39206
College Hill Baptist Church,1600 Florence Ave,Jackson,MS,39204
Colonial Heights Baptist Chr,5708 Old Canton Rd,Jackson,MS,39211
Creston Hills Baptist Church,PO Box 6591,Jackson,MS,39282
Farish Street Baptist Church,619 N Farish St,Jackson,MS,39202
Fellowship Baptist Church,3823 S Siwell Rd,Jackson,MS,39212
First Baptist Church,PO Box 340,Brooklyn,MS,39425
Greater Clark Street Bapt Chr,415 N Gallatin St,Jackson,MS,39203
Greater Fairview Baptist Chr,2545 Newport St,Jackson,MS,39213
Greater Mt Calvary Baptist Chr,1400 Robinson Rd,Jackson,MS,39203
Greater Mt Mariah Mb Church,3672 Medgar Evers Blvd,Jackson,MS,39213
Greater New Jerusalem Mb Chr,4450 Raymond Rd,Jackson,MS,39212
Greater Pearlie Grove Baptist,1110 Grand Ave,Jackson,MS,39203
Greater St James Missionary,PO Box 59291,Jackson,MS,39284
Greater Tree of Life Baptist,3102 Monticello Dr,Jackson,MS,39212
Griffith Memorial Baptist Chr,5275 Terry Rd,Jackson,MS,39212
Highland Baptist Church,8400 Firetower Rd,Pass Christian,MS,39571
Jackson Primitive Baptist Chr,861 McCluer Rd,Jackson,MS,39212
Jordan Grove Baptist Church,4104 Sunset Dr,Jackson,MS,39213
Lakeshore Baptist Church,4207 Rainey Rd,Jackson,MS,39212
Mc Dowell Road Baptist Church,1020 W McDowell Rd,Jackson,MS,39204
Midway Baptist Church,5609 Clinton Blvd,Jackson,MS,39209
Morning Star Baptist Church,PO Box 1318,Gulfport,MS,39502
Mount Galilee Baptist Church,300 Julienne St,Jackson,MS,39201
Mount Helm Baptist Church,300 E Church St,Jackson,MS,39202
Mt Alban Baptist Church,1107 Craft St,Jackson,MS,39209
Mt Nebo Baptist Church,1245 Tunica St,Jackson,MS,39209
New Bethel Baptist Church,450 Culbertson Ave,Jackson,MS,39209
New Canney Creek Mb Church,815 McCluer Rd,Jackson,MS,39212
New Hope Baptist Church,17430 Landon Rd,Gulfport,MS,39503
New Hope Mssnry Baptist Church,267 Gallilee St,Jackson,MS,39201
New Jerusalem Baptist Church,PO Box 759,Gulfport,MS,39502
Northminster Baptist Church,3955 Ridgewood Rd,Jackson,MS,39211
Oak Forest Baptist Church,2875 Oak Forest Dr,Jackson,MS,39212
Parkhill Baptist Church,4862 S McRaven Rd,Jackson,MS,39204
Pear Orchard Baptist Church,5725 Pear Orchard Rd,Jackson,MS,39211
Pocahontas Baptist Church,4200 Kickapoo Rd,Jackson,MS,39209
Raymond Road Baptist Church,4622 Raymond Rd,Jackson,MS,39212
Southern Hills Baptist Church,3895 Henderson Rd,Jackson,MS,39272
Southside Baptist Church,800 Raymond Rd,Jackson,MS,39204
Spirit Word Fellowship Mb Chr,301 Claiborne Ave,Jackson,MS,39209
St Matthews Mb Church,3660 Fontaine Ave,Jackson,MS,39213
Tabernacle of Praise,PO Box 11009,Jackson,MS,39283
True Vine Baptist Church,1133 Pleasant Ave,Jackson,MS,39203
White Oak Baptist Church,507 N Park Dr,Jackson,MS,39206
Woodland Hills Baptist Church,PO Box 4227,Jackson,MS,39296
Zion Traveler Baptist Church,3913 Skyline Dr,Jackson,MS,39213
Holy Ghost Catholic Church,1151 Cloister St,Jackson,MS,39202
St Peter's Catholic Cathedral,PO Box 57,Jackson,MS,39205
St Richard Catholic Church,PO Box 16547,Jackson,MS,39236
Capitol Street Church-Christ,1917 W Capitol St,Jackson,MS,39209
Hanging Moss Church of Christ,5225 Hanging Moss Rd,Jackson,MS,39206
Meadowbrook Church of Christ,4261 I-55 N,Jackson,MS,39206
Parkview Church of Christ,5200 Clinton Blvd,Jackson,MS,39209
Siwell Road Church of Christ,4075 S Siwell Rd,Jackson,MS,39212
St Andrew's Episcopal Cthdrl,PO Box 1366,Jackson,MS,39215
St James Episcopal Church,PO Box 4463,Jackson,MS,39296
St Philip's Episcopal Church,5400 Old Canton Rd,Jackson,MS,39211
Emmanuel Church-the Nazarene,3775 Terry Rd,Jackson,MS,39212
Ascension Lutheran Church,6481 Old Canton Rd,Jackson,MS,39211
Our Redeemer Lutheran Church,1745 Clinton Raymond Rd,Clinton,MS,39056
Alta Woods United Methodist,109 Alta Woods Blvd,Jackson,MS,39204
Anderson United Methodist Chr,6205 Hanging Moss Rd,Jackson,MS,39206
Briarwood United Methodist Chr,320 Briarwood Dr,Jackson,MS,39206
Cathedral Ame Zion Church,428 W Northside Dr,Jackson,MS,39206
Christ United Methodist Church,5301 Old Canton Rd,Jackson,MS,39211
Lakeshore Congregational Meth,418 Lakeshore Rd,Jackson,MS,39212
Leavell Woods United Methodist,3302 Terry Rd,Jackson,MS,39212
Pearl St Ame Church,PO Box 63,Jackson,MS,39205
Pearl United Methodist Church,226 S Pearson Rd,Jackson,MS,39208
St Luke's United Methodist Chr,PO Box 4828,Jackson,MS,39296
Wells Church-United Methodist,2019 Bailey Ave,Jackson,MS,39213
Abundant Life Bible Fellowship,485 W Northside Dr,Jackson,MS,39206
Agape Fellowship Church,4240 Carter Cir,Jackson,MS,39209
Faith Community Fellowship Chr,PO Box 11252,Jackson,MS,39283
Harvest Family Church,6699 S Siwell Rd,Jackson,MS,39212
Jackson Revival Ctr Church,519 W Silas Brown St,Jackson,MS,39204
New Horizon Baptist Church,2650 Belvedere Dr,Jackson,MS,39212
New Mt Calvary Christian Ctr,PO Box 22677,Jackson,MS,39225
Word of Faith Christian Ctr,2111 Country Club Rd,Hattiesburg,MS,39401
Word of Truth Church,4491 W Northside Dr,Jackson,MS,39209
Amazing Church-God in Christ,PO Box 10205,Jackson,MS,39289
Elton Woods Church of God,5227 Sycamore Dr,Jackson,MS,39212
Emmanuel Apostolic Tabernacle,608 W Porter St,Jackson,MS,39204
Greater Bethlehem Temple Chr,PO Box 20673,Jackson,MS,39289
Southside Assembly of God,665 Raymond Rd,Jackson,MS,39204
Victory Cathedral,220 Moss Ave,Jackson,MS,39209
Alta Woods Presbyterian Church,110 Alta Woods Blvd,Jackson,MS,39204
Briarwood Presbyterian Church,620 Briarwood Dr,Jackson,MS,39211
Covenant Presbyterian Church,4000 Ridgewood Rd,Jackson,MS,39211
Fondren Presbyterian Church,PO Box 55434,Jackson,MS,39296
Trinity Presbyterian Church,640 E Northside Dr,Jackson,MS,39206
First Assembly Of God,2448 Highway 15 N,Pontotoc,MS,38863
Timberlawn Church Of Christ,170 Timberlawn Rd,Jackson,MS,39212
New Life Cathedral Of Worship,28172 Highway 28,Hazlehurst,MS,39083
Church Of God Of Prophecy,1811 E Canal St,Picayune,MS,39466
House Of Yisrael Of Mississippi,1080 Pecan Park Cir,Jackson,MS,39209
Emmanuel College Of Ministries,627 W Porter St,Jackson,MS,39204
Deaf Assembly Of God,1942 PO Box,Jackson,MS,0
Total Praise ,120 Cedar Ln,Jackson,MS,39212
Higher Ground Family Worship,3520 Forest Hill Rd,Jackson,MS,39212
Old Ship Of Zion Church,2570 Bailey Ave,Jackson,MS,39213
Word Of Life Church Of God,5465 Robinson Road Ext,Jackson,MS,39204
New Mt Calvary Christian Center,6300 Yarbrough St,Jackson,MS,39209
Shiloh Mb Church,1311 Dewey St,Jackson,MS,39209
Mcraven Hill Christian Fellowship,1036 S McRaven Rd,Jackson,MS,39209
Trinity Lutheran Church,6401 Highway 18 W,Jackson,MS,39209
Hardy Grove Mb Church,5719 Fairchild St,Jackson,MS,39209
Word Of Life Church,6339 Highway 18 W,Jackson,MS,39209
Greater Northside Baptist Chr,1553 Wiggins Rd,Jackson,MS,39209
Mt Zion Church Of Christ,5510 Turner St,Jackson,MS,39209
New Travelers Rest Baptist Chr,1440 Peach Pl,Jackson,MS,39209
Abundant Spirit Ministries,6045 Highway 18 W,Jackson,MS,39209
New Mc Raven Hill Baptist Chr,1530 Pear St,Jackson,MS,39209
Hill Joe K Rev,276 Parks Rd,Jackson,MS,39212
Jehovah's Witnesses,1304 Raymond Rd,Jackson,MS,39204
Church-philadelphia Ministries,257 Maddox Rd,Jackson,MS,39212
Hudson David Rev,5077 Cabaniss Cir,Jackson,MS,39209
Bethesda Pentecostal Church,4475 Raymond Rd,Jackson,MS,39212
Mt Olive Church Of Christ,4152 Raymond Rd,Jackson,MS,39212
Christ Savior Anglican Church,135 Loden Pl,Jackson,MS,39209
Bss Hindu Temple,2390 Greenway Dr,Jackson,MS,39204
New Hopewell Baptist Church,5535 Clinton Blvd,Jackson,MS,39209
Church-god At Westhaven Blvd,5010 South Dr,Jackson,MS,39209
Ray's Chapel Missionary Bapt,220 Magnolia Rd,Jackson,MS,39209
Abounding Grace ,1107 Westhaven Blvd,Jackson,MS,39209
Ideal Family Church,1401 Westhaven Blvd,Jackson,MS,39209
Greater Mt Olive Baptist Chr,2655 Raymond Rd,Jackson,MS,39212
Westhaven Baptist Church Bma,1613 Westhaven Blvd,Jackson,MS,39209
Middle Brook After School,115 Maddox Rd,Jackson,MS,39212
Spreading Light-gospel,2147 Henry Hill Dr,Jackson,MS,39204
T C Limousine Service,2524 Raymond Rd,Jackson,MS,39212
Truth Deliverance Ministries,1420 Whiting Rd,Jackson,MS,39209
Forest Hill United Methodist,2504 Raymond Rd,Jackson,MS,39212
New Fellowship Church,1560 Whiting Rd,Jackson,MS,39209
Grace Baptist Church,5331 Clinton Blvd,Jackson,MS,39209
Pleasant Gift Missionary Bapt,203 East Ln,Jackson,MS,39209
Triumph Church ,5302 Queen Mary Ln,Jackson,MS,39209
