Name,Address,City,State,Zip
Advent Christian General Hdqrs,14601 Albemarle Rd,Charlotte,NC,28227
Berean Seventh Day Adventist,1801 Double Oaks Rd,Charlotte,NC,28206
Northeast Seventh-Day Advntst,827 Tom Hunter Rd,Charlotte,NC,28213
Sharon Seventh-Day Church,920 N Sharon Amity Rd,Charlotte,NC,28211
Arlington Baptist Church,1500 Bethlehem Rd,Rocky Mount,NC,27803
Berryhill Baptist Church,9801 Walkers Ferry Rd,Charlotte,NC,28214
Calvary Baptist Church,423 N 23rd St,Wilmington,NC,28405
Candlewyck Baptist Church,7200 Providence Rd,Charlotte,NC,28226
Chapman Memorial Baptist Chr,608 Valleydale Rd,Charlotte,NC,28214
Chappell Meml Baptist Church,110 Bradford Dr,Charlotte,NC,28208
Cornerstone Baptist Church,PO Box 29,Cleveland,NC,27013
Derita Baptist Church,2835 W Sugar Creek Rd,Charlotte,NC,28262
Durham Memorial Baptist Church,133 Robbins Rd,Durham,NC,27703
East Baptist Church,114 N Church St,Gastonia,NC,28054
Eastern Hills Baptist,4855 Albemarle Rd,Charlotte,NC,28205
Eastway Baptist Church,2749 Eastway Dr,Charlotte,NC,28205
Ebenezer Baptist Church,2312 Ridge Rd,Monroe,NC,28110
Emmanuel Baptist Church,1405 Emmanuel Church Rd,Conover,NC,28613
Faith Memorial Baptist Church,211 Lakewood Ave,Charlotte,NC,28208
Fellowship Baptist Church,1701 Bud Lipscomb Rd,Willow Spring,NC,27592
First Baptist Church,PO Box 515,Denton,NC,27239
First Baptist Church-West,1801 Oaklawn Ave,Charlotte,NC,28216
First Mt Zion Baptist Church,1515 Remount Rd,Charlotte,NC,28208
Friendship Missionary Church,3301 Beatties Ford Rd,Charlotte,NC,28216
Galilean Deliverance Ctr Chr,PO Box 36933,Charlotte,NC,28236
Gethsemane Baptist Church,PO Box 73,Bunn,NC,27508
Gloryland Baptist Church,3001 Gloryland Ave,Charlotte,NC,28213
Grace Baptist Church,300 Westland Farm Rd,Mt Holly,NC,28120
Greater Galilee Baptist Church,501 W Park Ave,Charlotte,NC,28203
Greater Mt Sinai Baptist,1243 West Blvd,Charlotte,NC,28208
Greater Providence Baptist Chr,PO Box 44327,Charlotte,NC,28215
Harbor Baptist Church,5801 Old Concord Rd,Charlotte,NC,28213
Hickory Grove Baptist Church,3717 Hickory Grove Rd,Gastonia,NC,28056
Hillcrest Baptist Church,4316 Hillcrest Church Rd,Monroe,NC,28110
Hoskins Avenue Baptist Church,101 S Hoskins Rd,Charlotte,NC,28208
Liberty Baptist Church,1625 Ray Rd,Spring Lake,NC,28390
Macedonia Baptist Church,1468 Jenkins Valley Rd,Alexander,NC,28701
Midwood Baptist Church,2029 Mecklenburg Ave,Charlotte,NC,28205
Mint Hill Baptist Church,7835 Matthews-Mint Hill Rd,Charlotte,NC,28227
Mount Zion Baptist Church,6907 Gus Eubanks Rd,Monroe,NC,28112
Mt Carmel Baptist Church,2016 Mt Carmel Church Rd,Chapel Hill,NC,27517
Mt Moriah Primitive Baptist,PO Box 31233,Charlotte,NC,28231
Mulberry Baptist Church,6450 Tuckaseegee Rd,Charlotte,NC,28214
Nations Ford Community Church,5901 Nations Ford Rd,Charlotte,NC,28217
Nazareth Primitive Baptist Chr,PO Box 16009,Charlotte,NC,28297
