Name,Address,City,State,Zip
Abunding Grace Ministries,20340 PO Box,New York,NY,0
Ezekiel House Of Prayer,21844 Hempstead Ave,Jamaica,NY,0
Universal Unity Of Spirit,371 PO Box,Cassadaga,NY,0
First Baptist Church Of Westerlo,130 PO Box,Westerlo,NY,0
Zion House Of Worship,12408 Linden Blvd,Queens,NY,0
Worship Center Of Queens,190113 PO Box,Queens,NY,0
Worship Center Of St Albans,11437 Farmers Blvd,Queens,NY,0
Baptist Church Of Sharon,19513 Linden Blvd,Queens,NY,0
Korean Church Of Queens,8900 23rd Ave,Flushing,NY,0
St Joseph Marian Center,472 PO Box,Altamont,NY,0
Saint Boniface Episcopal Church Of Guilderland,397 PO Box,Guilderland,NY,0
Riverview Baptist Church,977 PO Box,Bethlehem,NY,0
Uu Fellowship Of Chautauqua,622 PO Box,Chautauqua,NY,0
St Michael's Catholic Church,424 W 34th St,New York,NY,10001
Unification Church Of America,481 8th Ave,New York,NY,10001
Ny Chinese Alliance Church,62 Delancey St,New York,NY,10002
Bialystoker Synagogue,7 Willett St,New York,NY,10002
Chinese Evangel Mission Church,97 Madison St,New York,NY,10002
Church of Grace to Fujianese,133 Allen St,New York,NY,10002
First Chinese Presbyterian Chr,61 Henry St,New York,NY,10002
Adath Israel Of New York,201 E Broadway,New York,NY,10002
Adler R,413 Grand St,New York,NY,10002
Nativity Church,44 2nd Ave,New York,NY,10003
St Cyril's Church,62 Saint Marks Pl,New York,NY,10003
Brotherhood Synagogue,28 Gramercy Park S,New York,NY,10003
East End Temple,245 E 17th St,New York,NY,10003
Village Temple,33 E 12th St,New York,NY,10003
Middle Church,50 E 7th St,New York,NY,10003
6Th Street Synagogue,325 E 6th St,New York,NY,10003
Abraham Nedivah,129 1st Ave,New York,NY,10003
Agudath Israel Of America,42 Broadway,New York,NY,10006
Trinity Church Parish,"74 Trinity Pl, #4",New York,NY,10006
St Andrews Roman Catholic Chr,20 Cardinal Hayes Pl,New York,NY,10007
Zoe Ministries Inc,PO Box 270,New York,NY,10008
East Seventh Baptist Ministry,"184 E 7th St, #2",New York,NY,10009
Church of Mary Help-Christians,440 E 12th St,New York,NY,10009
Most Holy Redeemer Church,173 E 3rd St,New York,NY,10009
St Emeric's Church,185 Avenue D,New York,NY,10009
10Th Street Church Of Christ,257 E 10th St,New York,NY,10009
Abounding Grace Ministries,393 E 8th St,New York,NY,10009
Universal Church,"220 E 23rd St, #509",New York,NY,10010
Epiphany Rc Church Rectory,239 E 21st St,New York,NY,10010
Lutheran Church of Gustavus,155 E 22nd St,New York,NY,10010
Shelter Island Presbyterian Ch,"30 W 21st St, #7",New York,NY,10010
Lutheran Church Of Gustavus,122 E 22nd St,New York,NY,10010
Batay Avoth Of Ponevez,1133 Broadway,New York,NY,10010
Spanish Church La Guadalupe,229 W 14th St,New York,NY,10011
Young Israel of 5th Ave,3 W 16th St,New York,NY,10011
Metropolitan-Duane United Chr,201 W 13th St,New York,NY,10011
St Elftherios Church,359 W 24th St,New York,NY,10011
