Name,Address,City,State,Zip
7th Day Adventist First Church,4909 W Sylvania Ave,Toledo,OH,43623
Ashland Church,2001 Ashland Ave,Toledo,OH,43620
Bethel Baptist Church,211 E Plane St,Bethel,OH,45106
Bethlehem Baptist Church,1430 W Bancroft St,Toledo,OH,43606
Calvary Baptist Church,1601 Jackson Ln,Middletown,OH,45044
Christian Temple Baptist Chr,1201 Blum St,Toledo,OH,43607
East Toledo Baptist Church,807 E Broadway St,Toledo,OH,43605
Ebenezer Missionary Baptist,2030 Putnam St,Toledo,OH,43620
Emmanuel Baptist Church,7901 Quincy Ave,Cleveland,OH,44104
Family Baptist Church,1002 W Bancroft St,Toledo,OH,43606
Greater St Mary Baptist Church,416 Belmont Ave,Toledo,OH,43604
Hope Baptist Church,6250 South Ave,Toledo,OH,43615
Indiana Missionary Baptist Chr,640 Indiana Ave,Toledo,OH,43604
Jerusalem Baptist Church,1147 Park Hill Dr,Youngstown,OH,44502
Liberty Baptist Church,140 Perry Dr SW,Canton,OH,44710
Lo Salem Missionary Baptist,PO Box 3371c,Toledo,OH,43607
Macedonia Baptist Church,492 Oakwood Ave,Columbus,OH,43205
Mt Nebo Baptist Church,831 N Detroit Ave,Toledo,OH,43607
Mt Pilgrim Baptist Church,PO Box 3217,Toledo,OH,43607
Mt Zion Missionary Baptist Chr,40 Coral Ave,Cincinnati,OH,45246
New Light Baptist Church,15201 Judson Dr,Cleveland,OH,44128
Northwest Baptist Church,3906 W Alexis Rd,Toledo,OH,43623
Southern Missionary Baptist,1222 Indiana Ave,Toledo,OH,43607
Springstreet Baptist Church,601 Spring St,Toledo,OH,43608
St Mark's Baptist Church,1419 N Detroit Ave,Toledo,OH,43607
Third Baptist Church,1177 Park Hill Dr,Youngstown,OH,44502
Toledo Baptist Temple,5732 Douglas Rd,Toledo,OH,43613
True-Vine Missionary Baptist,739 Russell St,Toledo,OH,43608
United Missionary Baptist Chr,PO Box 42434,Middletown,OH,45042
Christ the King Church,2150 E Powell Rd,Lewis Center,OH,43035
Gesu Church,2049 Parkside Blvd,Toledo,OH,43607
Holy Rosary Parish,821 N Wheeling St,Toledo,OH,43605
Immaculate Conception Parish,434 Western Ave,Toledo,OH,43609
Little Flower Catholic Church,5560 Kirby Ave,Cincinnati,OH,45239
Our Lady of Lourdes Church,200 E Main St,East Palestine,OH,44413
Regina Coeli Parish,530 Regina Pky,Toledo,OH,43612
Sacred Heart Parish,509 Oswald St,Toledo,OH,43605
Sisters of Notre Dame,3837 Secor Rd,Toledo,OH,43623
St Adalbert Parish Church,3233 Lagrange St,Toledo,OH,43608
St Agnes Church,204 Saint Clair Ave,Mingo Junction,OH,43938
St Catherine's Parish,4555 N Haven Ave,Toledo,OH,43612
St Charles Borromeo Catholic,1842 Airport Hwy,Toledo,OH,43609
St Clement Catholic Church,3030 Tremainsville Rd,Toledo,OH,43613
St Francis De Sales Parish,4019 Manchester Rd,Akron,OH,44319
St Hedwig,2916 Lagrange St,Toledo,OH,43608
