Name,Address,City,State,Zip
Berea Sda,675 S Lafayette Dr,Sumter,SC,29150
Alice Drive Baptist Church,1305 Loring Mill Rd,Sumter,SC,29150
Bondovlove Baptist Church,2755 Carter Rd,Sumter,SC,29150
Crosswell Baptist Church,219 S Fish Trap Rd,Greenville,SC,29611
Enon Baptist Church,871 Enon Church Rd,Easley,SC,29640
First Baptist Church,PO Box 3420,Leesville,SC,29070
Grace Baptist Church,PO Box 569,Duncan,SC,29334
Graham Baptist Church,4140 S Us-521,Sumter,SC,29153
Hickory Road Baptist Church,1245 Cherryvale Dr,Sumter,SC,29154
Jehovah Missionary Baptist Chr,805 S Harvin St,Sumter,SC,29150
Mount Zion Baptist Church,1908 Wilkinson St,Cayce,SC,29033
Mulberry Baptist Church,RR 1,Sumter,SC,29153
New Calvary Baptist Church,PO Box 848,Sumter,SC,29151
New Salem Baptist Church,2500 W Oakland Ave,Sumter,SC,29154
Northside Memorial Baptist Chr,1004 N Main St,Sumter,SC,29153
Providence Baptist Church,294 Seven Farms Dr,Daniel Island,SC,29492
Shaw Heights Baptist Church,2030 Peach Orchard Rd,Sumter,SC,29154
Southside Baptist Church,307 Richbourg Ln,Florence,SC,29505
Sumter Baptist Temple,2295 Harper St,Sumter,SC,29153
Westside Baptist Church,PO Box 754,Simpsonville,SC,29681
Wise Drive Baptist Church,2751 S Wise Dr,Sumter,SC,29150
St Anne Catholic Church,216 E Liberty St,Sumter,SC,29150
St Jude's Catholic Church,PO Box 1589,Sumter,SC,29151
Plaza Church of Christ,PO Box 1385,Sumter,SC,29151
Church of the Holy Comforter,PO Box 338,Sumter,SC,29151
First Church of God,PO Box 4157,Columbia,SC,29240
First Church of the Nazarene,1201 Haywood Rd,Greenville,SC,29615
St James Lutheran Church,336 Brady Taylor Rd,Batesburg-Leesville,SC,29070
Aldersgate United Methodist,103 Northside Dr E,Greenwood,SC,29649
Bethel Methodist Church,5575 Lodebar Rd,Sumter,SC,29153
Emmanuel United Meth Church,PO Box 1203,Sumter,SC,29151
Lewis Chapel United Methodist,1510 Plowden Mill Rd,Sumter,SC,29153
Mechanicsville Um Church,184 Lake Ashwood Rd,Sumter,SC,29153
St James United Methodist Chr,512 Saint James Ave,Goose Creek,SC,29445
St Johns United Methodist Chr,136 Poinsett Dr,Sumter,SC,29150
St Marks United Methodist Chr,27 Broad St,Sumter,SC,29150
Trinity United Methodist Chr,PO Box 864,Blythewood,SC,29016
Bible Fellowship Church,227 Broad St,Sumter,SC,29150
Greater St Paul Church,PO Box 937,Sumter,SC,29151
Harmony Church,PO Box 1878,Sumter,SC,29151
Bethesda Church of God,1402 Camden Rd,Sumter,SC,29153
Church of God in Christ,873 Woodcrest St,Sumter,SC,29154
New Beginnings Assembly of God,5155 Patriot Pky,Sumter,SC,29154
