Name,Address,City,State,Zip
Bellfort Sda Church,PO Box 330367,Houston,TX,77233
Berean Seventh-Day Adventist,2119 Saint Emanuel St,Houston,TX,77003
Seventh-Day Adventist Church,4700 E Rancier Ave,Killeen,TX,76543
Abiding Missionary Baptist Chr,14145 Bridgeport Rd,Houston,TX,77047
Airline Manor Baptist Church,610 E Parker Rd,Houston,TX,77076
Allendale Baptist Church,414 Allen Genoa Rd,Houston,TX,77017
Almeda Baptist Church Sbc,14001 Almeda School Rd,Houston,TX,77047
Antioch Baptist Church,601 Bonner St,Wichita Falls,TX,76301
Ashford Baptist Church,2100 Eldridge Pky,Houston,TX,77077
Bandera Street Baptist Church,13706 Bandera St,Houston,TX,77015
Banneker Mc Nair Academy,4922 Griggs Rd,Houston,TX,77021
Baptist Temple,6000 Sjolander Rd,Baytown,TX,77521
Bauman Rd Mssnry Baptist Chr,260 Cooper Rd,Houston,TX,77076
Bay Forest Baptist Church,PO Box 590363,Houston,TX,77259
Beaumont Place Baptist Church,13101 Ivydale Dr,Houston,TX,77049
Bella Vista Missionary Baptist,803 E 36th St,Houston,TX,77022
Berean Baptist Church,PO Box 850921,Mesquite,TX,75185
Bethany Baptist Church Sbc,7304 Homestead Rd,Houston,TX,77028
Bethel Baptist Church,PO Box 8548,Longview,TX,75607
Bethel Baptist Church Sbc,25 Tidwell Rd,Houston,TX,77022
Bethlehem Baptist Church,500 S Frances St,Terrell,TX,75160
Blessed Hope Baptist Church,PO Box 96558,Houston,TX,77213
Broadway Baptist Church Sbc,7300 Lawndale St,Houston,TX,77012
Brookhollow Baptist Church,5725 Queenston Blvd,Houston,TX,77084
Calvary Baptist Church,401 W Church St,Grand Prairie,TX,75050
Calvary Korean Baptist Church,8600 Beechnut St,Houston,TX,77036
Canaan Land Baptist Church,8104 Corinth St,Houston,TX,77051
Cathedrael of Faith Baptist,5314 Bingle Rd,Houston,TX,77092
Center of Life Baptist Church,11250 Bentley St,Houston,TX,77093
Central Baptist Church,925 Davis St,Pasadena,TX,77506
Champion Forest Baptist Church,15555 Stuebner Airline Rd,Houston,TX,77069
Chinese Baptist Church,5481 Prue Rd,San Antonio,TX,78240
Christchurch Baptist Fellowshp,12501 Champion Forest Dr,Houston,TX,77066
Christian Faith Missionary Chr,2616 Calumet St,Houston,TX,77004
Christian Home Baptist Church,3436 Rosalie St,Houston,TX,77004
Clay Road Baptist Church,9151 Clay Rd,Houston,TX,77080
Clear Lake Baptist Church,15700 Space Center Blvd,Houston,TX,77062
Cloverleaf Baptist Church,14305 Muscatine St,Houston,TX,77015
College Park Baptist Church,PO Box 411170,Dallas,TX,75241
Copperfield Baptist Church,8350 Highway 6 N,Houston,TX,77095
Cornerstone Baptist Church,9725 Independence Pky,Plano,TX,75025
Cornerstone Missionary Baptist,6902 Eastland St,Houston,TX,77028
Cullen Baptist Church,13233 Cullen Blvd,Houston,TX,77047
Doverside Baptist Church Sbc,619 Berry Rd,Houston,TX,77022
East Bethel Baptist Church,5702 Calhoun Rd,Houston,TX,77021
Easthaven Baptist Church,PO Box 750965,Houston,TX,77275
Ecclesia Church,802 Shepherd Dr,Houston,TX,77007
El Bethel Baptist Church,8723 Comal St,Houston,TX,77051
Emmanuel Baptist Church Sbc,809 Northwood St,Houston,TX,77009
Encourager Church,10950 Old Katy Rd,Houston,TX,77079
Fairbanks Baptist Church Sbc,13922 Van Wall St,Houston,TX,77040
Faith Memorial Baptist Church,PO Box 536,McKinney,TX,75070
Fifth Ward Baptist Church,4300 Noble St,Houston,TX,77020
First Baptist Church,PO Box 296,Rogers,TX,76569
First Baptist Church Heights,201 E 9th St,Houston,TX,77007
First Baptist Church N Channel,13817 Force St,Houston,TX,77015
First Baptist Church of Genoa,PO Box 75186,Houston,TX,77234
First Baptist Church of Spring,1610 Campbell Rd,Houston,TX,77055
First Baptist Church Recreatio,5810 Spindle Dr,Houston,TX,77086
First Baptist Church-N Houston,4422 Lauder Rd,Houston,TX,77039
First Baptist West Houston,7400 Eldridge Pky,Houston,TX,77083
First Morning Star Baptist Chr,5221 Crane St,Houston,TX,77026
Fondren Baptist Church,12310 Carlsbad St,Houston,TX,77085
Fontaine First Baptist Church,5400 Langley Rd,Houston,TX,77016
Forest Lawn Baptist Church,8101 Wileyvale Rd,Houston,TX,77016
Forest Oaks Baptist Church,1845 Forest Oaks Dr,Houston,TX,77017
Fourth Missionary Baptist Chr,PO Box 8424,Houston,TX,77288
Free Will Baptist Church,10331 Veterans Memorial Dr,Houston,TX,77038
Freeway Manor Baptist Church,2300 Rodney St,Houston,TX,77034
Garden Oaks Baptist Church,3206 N Shepherd Dr,Houston,TX,77018
Garden Villas Baptist Church,7403 Fauna St,Houston,TX,77061
Gethsemane Missionary Baptist,8775 Flagship Dr,Houston,TX,77029
Gloryland Missionary Baptist,7440 Coffee St,Houston,TX,77033
God's Way Baptist Church,PO Box 451306,Houston,TX,77245
Good Hope Missionary Baptist,3015 N MacGregor Way,Houston,TX,77004
Good Shepherd Baptist Church,3700 FM-2937,Silsbee,TX,77656
Gospel Hill Baptist Church,7904 Hirsch Rd,Houston,TX,77016
Grace Missionary Baptist Chr,1823 Aldine Mail Rd,Houston,TX,77039
