Name,Address,City,State,Zip
Calvary Seventh-Day Adventist,PO Box 5109,Newport News,VA,23605
Calvary Baptist Church,12302 Alum Springs Rd,Culpeper,VA,22701
Deer Park Baptist Church,826 J Clyde Morris Blvd,Newport News,VA,23601
Denbigh Baptist Church,13010 Mitchell Point Rd,Newport News,VA,23602
Emmanuel Baptist Church,8006 Centreville Rd,Manassas,VA,20111
First Baptist Church,PO Box 192,Nickelsville,VA,24271
First Baptist Church-Denbigh,3628 Campbell Rd,Newport News,VA,23602
First Baptist Church-East End,649 30th St,Newport News,VA,23607
First Church Ministries,6148 Jefferson Ave,Newport News,VA,23605
First Church of Newport News,2300 Wickham Ave,Newport News,VA,23607
First United Baptist Church,6400 Roanoke Ave,Newport News,VA,23605
Hilton Baptist Church,101 Main St,Newport News,VA,23601
Immanuel Baptist Church,620 Lafayette Ave,Colonial Heights,VA,23834
Ivy Baptist Church Child Care,50 Maple Ave,Newport News,VA,23607
Ivy Farms Baptist Church,55 Ivy Farms Rd,Newport News,VA,23601
Macedonia Baptist Church,3412 22nd St S,Arlington,VA,22204
Menchville Baptist Church,248 Menchville Rd,Newport News,VA,23602
Miracle Temple Baptist Church,617 32nd St,Newport News,VA,23607
New Beech Grove Baptist Church,326 Tabbs Ln,Newport News,VA,23602
New Grafton Baptist Church,4401 Chestnut Ave,Newport News,VA,23607
New Hope Baptist Church,1317 Gust Ln,Chesapeake,VA,23323
Newmarket Baptist Church,8309 Orcutt Ave,Newport News,VA,23605
North Riverside Baptist Church,311 Selden Rd,Newport News,VA,23606
Orcutt Baptist School,653 Baxter Ln,Newport News,VA,23602
Parkview Baptist Church,604 Hilton Blvd,Newport News,VA,23605
Peninsula Korean Baptist Chr,972 Harpersville Rd,Newport News,VA,23601
Providence Baptist Church,3501 Providence Rd,Hayes,VA,23072
Riverside Baptist Church,7409 River Rd,Newport News,VA,23607
Second Baptist Church East End,3307 Chestnut Ave,Newport News,VA,23607
Shalom Baptist Church,6395 Mechanicsville Tpke,Mechanicsville,VA,23111
Stevens Memorial Baptist Chr,224 Richneck Rd,Newport News,VA,23608
Tabernacle Baptist Church,PO Box 124,King George,VA,22485
Temple Baptist Church,1545 Dranesville Rd,Herndon,VA,20170
Trinity Baptist Church,8803 James Madison Hwy,Warrenton,VA,20187
Union Baptist Church,9254 Guinea Rd,Hayes,VA,23072
Our Lady of Mount Carmel Ch,100 Harpersville Rd,Newport News,VA,23601
St Jerome's Catholic Church,116 Denbigh Blvd,Newport News,VA,23608
St Vincent De Paul Catholic,PO Box 258,Newport News,VA,23607
Denbigh Christian Church,816 Moyer Rd,Newport News,VA,23608
Hilton Christian Church,100 James River Dr,Newport News,VA,23601
Lebanon Church of Christ,PO Box 3155,Newport News,VA,23603
Olivet Christian Church,14425 Old Courthouse Way,Newport News,VA,23608
Church of Christ Denbigh Blvd,205 Denbigh Blvd,Newport News,VA,23608
Living Waters Christian Flwshp,PO Box 2879,Newport News,VA,23609
St Andrew's Episcopal Church,6509 Sydenstricker Rd,Burke,VA,22015
St Augustine Episcopal Chr,PO Box 634,Newport News,VA,23607
St Georges Episcopal Church,15446 Warwick Blvd,Newport News,VA,23608
St Stephens Episcopal Church,228 Halifax St,Petersburg,VA,23803
Rodef Sholom Temple,PO Box 5726,Newport News,VA,23605
Reformation Lutheran Church,13100 Warwick Blvd,Newport News,VA,23602
Resurrection Lutheran Church,6170 Plank Rd,Fredericksburg,VA,22407
Trinity Lutheran Church,2315 N Parham Rd,Richmond,VA,23229
Warwick River Mennonite Church,250 Lucas Creek Rd,Newport News,VA,23602
Asbury United Methodist Church,7151 Belmont Rd,Chesterfield,VA,23832
Chestnut Memorial United Meth,1024 Harpersville Rd,Newport News,VA,23601
Christ United Methodist Church,8285 Glen Eagles Ln,Fairfax Station,VA,22039
First United Methodist Church,PO Box 636,Hopewell,VA,23860
Grace United Methodist Church,9750 Wellington Rd,Manassas,VA,20110
