style,color,url,index
D1319, Blue,https://dl.dropboxusercontent.com/s/1ath9g4zzrtemua/d1319%20blue.jpg?dl=0,0
D1319, Purple,https://dl.dropboxusercontent.com/s/hakh07mo0fi5dah/d1319%20purple.jpg?dl=0,0
D1320, Mustard Gold,https://dl.dropboxusercontent.com/s/3ou2mkbmy5md4s5/d1320%20mustard%20gold.jpg?dl=0,0
D1320, Olive,https://dl.dropboxusercontent.com/s/5fwcyd9txckmrdz/d1320%20olive.jpg?dl=0,0
D1320, Royal,https://dl.dropboxusercontent.com/s/5vd5r5mr2l9lawl/d1320%20royal.jpg?dl=0,0
D1321, Black,https://dl.dropboxusercontent.com/s/cmc8m86z19addg8/d1321%20black.jpg?dl=0,0
D1321, White,https://dl.dropboxusercontent.com/s/vckfvf9t1splfrr/d1321%20white.jpg?dl=0,0
D1322, Denim Dot,https://dl.dropboxusercontent.com/s/dtoyj71dfpi9q21/d1322%20denim%20dot.jpg?dl=0,0
D1323, Silver,https://dl.dropboxusercontent.com/s/i7fi69s701snpxd/d1323%20silver.jpg?dl=0,0
D1323, White,https://dl.dropboxusercontent.com/s/k8r4hj4rpm059zt/d1323%20white.jpg?dl=0,0
D1324, Denim Dot,https://dl.dropboxusercontent.com/s/4mgtebxabbce8in/d1324%20denim%20dot.jpg?dl=0,0
D1325, Denim Dot,https://dl.dropboxusercontent.com/s/ivsmvgh2qyyeh52/d1325%20denim%20dot.jpg?dl=0,0
D1326P, Blue print,https://dl.dropboxusercontent.com/s/frkk0jmqu8oozr5/d1326p%20blue%20print.jpg?dl=0,0
D1326P, Yellow print,https://dl.dropboxusercontent.com/s/d4gqk9fdyvcbmlz/d1326p%20yellow%20print.jpg?dl=0,0
D1327, Green-pink,https://dl.dropboxusercontent.com/s/mjxv8g09ezkiam3/D1327%20Green-pink.jpg?dl=0,0
D1327, Green-yellow,https://dl.dropboxusercontent.com/s/w8num41i57qvxcd/d1327%20green-yellow.jpg?dl=0,0
D1328, Champagne,https://dl.dropboxusercontent.com/s/fgtwi8jklr0r5jc/d1328%20champagne.jpg?dl=0,0
D1328, Champagne,https://dl.dropboxusercontent.com/s/158t96gnexdsn54/d1328%20champagne_back.jpg?dl=0,back.jp
D1329, Aqua blue,https://dl.dropboxusercontent.com/s/6qhlnzc8313axa0/d1329%20aqua%20blue.jpg?dl=0,0
D1329, Aqua blue,https://dl.dropboxusercontent.com/s/xnfc3eda57l5wnq/d1329%20aqua%20blue_back.jpg?dl=0,back.jp
D1329, Coral pink,https://dl.dropboxusercontent.com/s/k7syuwntqte1u22/d1329%20coral%20pink.jpg?dl=0,0
D1329, White,https://dl.dropboxusercontent.com/s/l1qgpid43bihev1/d1329%20white.jpg?dl=0,0
D1329, White,https://dl.dropboxusercontent.com/s/u07z45rscjohfgh/d1329%20white_back.jpg?dl=0,back.jp
D1329, White,https://dl.dropboxusercontent.com/s/5nia0mzms3yb9x0/d1329%20white_dress.jpg?dl=0,dress.jp
D1331, Brick,https://dl.dropboxusercontent.com/s/q42mplg7e219jyb/d1331%20brick.jpg?dl=0,0
D1331, Purple,https://dl.dropboxusercontent.com/s/jteqrqxtr0vwqlu/d1331%20purple.jpg?dl=0,0
D1331, Rainbow,https://dl.dropboxusercontent.com/s/asddjvckd45tkwp/d1331%20rainbow.jpg?dl=0,0
