style,color
557, Black
557, Red
557, White
582, Silver
586, Black
650, Black
650, Chocolate
650, Royal
650, Silver
650, White
652, Black
652, Red
654, Black
654, Purple
654, Red
654, Royal
654, White
655, Black
655, Navy 
655, Royal
655, White
708, Black
709, Black
710, Black
710, Chocolate
710, Ivory
710, Navy
710, Royal
710, White
711, Fushia
711, Lime
711, Navy
818, Fuchsia
818, Navy
822, Navy
822, Peach
823, Black
823, Chocolate
823, Navy
823, Purple
823, Red
823, Royal
823, Silver
823, White
824, Black
824, Cranberry
824, Plum
824, Royal
824, Silver
824, White
825, Black
825, Chocolate
825, White
826, Black
826, White
867, Black
867, Chocolate
867, White
875, Peacock
877, Blue
877, Navy
877, White
886, Royal black
888, Sapphire
888, Silver
888, White
889, Aqua blue
889, Coral pink
889, White
895, B. Orange
895, Silver
895, White
898, Seafoam
898, White
899, Seafoam
899, White
906, White-navy
906, White-turq
907, Champagne
907, Emerald
908, Champagne
908, Emerald
910, Black-wht Dot
913, White
918, Navy
886, Royal-black
888, Sapphire-teal
708, Navy
709, Red
709, Emerald
708, White
711, Fuchsia
903, Black
903, White
652, Emerald
D1319, Blue
D1319, Purple
D1320, Mustard Gold
D1320, Olive
D1320, Royal
D1321, Black
D1321, White
D1322, Denim Dot
D1323, Silver
D1323, White
D1324, Denim Dot
D1325, Denim Dot
D1326P, Blue print
D1326P, Yellow print
D1327, Green-pink
D1327, Green-yellow
D1328, Champagne
D1329, Aqua blue
D1329, Coral pink
D1329, White
D1331, Brick
D1331, Purple
D1331, Rainbow
D1331, Royal
D1332, Black-wht
D1332, Black
D1332, White
D1333, Ivory
D1333, Lavender
D1333, Navy
D1334, Navy
D1334, Purple
D1335, White-blk
D1336, White-blk
D1337, Multi
D1338, Black-wht
D1339, Gold-royal
D1340, Gold-red-blk
D1341, Orange multi
D1341, Seafoam + Orange
D1341, Seafoam multi
D1341, Seafoam
D1342, Black-red
D1342, White-royal
D1343, White
D1344, Gold-blk
D1344, White
D1345, Gold
D1345, Sapphire
D1345, White
D1346, Black
D1346, White
D1347, Multi
D1348, Multi
D1349, Black-pink
D1423B, Black
D1423B, Champagne
D1423B, Lt. Silver
D1423B, White
D1424, Burgundy
D1424, Champagne
D1424, Royal 
D1435, Black
D1435, Lavender
D1435, Purple
D1435, Sapphire
D1435, White
D1444, Black
D1446, Navy-wht
D1446, Red-black
D1446, White-blk
D1449, Royal-blk
D1450, Black
D1450, Ivory
D1450, Lime
D1450, Purple
D1450, Royal
D1451, Black
D1451, Cranberry
D1451, White
D1453, Black
D1453, Ice blue
D1453, Pink
D1453, White
D1455, Black
D1455, Lavender
D1455, White
D1457, White-blue
D1457, White-pink
D1458, Burgundy
D1458, Green
D1458, Navy
D1458, Pink
D1458, White
D1459, Denim blue
D1459, Orange
D1462, Violet
D1463, Black
D1465, Jade
D1467, Lilac-blk
D1467, Orange-blk
D1468, Lime-wht
D1468, Pink-wht
D1468, White
D1468, Yellow-wht
D1469, Gold-blk
D1469, Red-blk
D1469, White
D1472, Purple
D1473, Black
D1474, Black
D1474, Ivory
D1475, Denim Blue
D1475, Khaki
D1475, Lavender
D1475, White
D1476, Denim blue
D1476, Lavender
D1477, Denim blue
