STYLE,JCP,WH,DEF
0650W,54,39,-15
650,56,48,-8
0654W,32,26,-6
0711W,13,7,-6
0825W,21,16,-5
557,15,11,-4
G1042,20,16,-4
G1049,5,2,-3
S0301,13,10,-3
D1495,4,2,-2
D1498,5,3,-2
G1018,25,24,-1
711,16,15,-1
875,1,,-1
D1494,2,1,-1
D1497,4,3,-1
HG1040,1,0,-1
HM948,6,5,-1
HM961,1,0,-1
654,34,34,0
D1491,4,4,0
D1496,3,3,0
G1007,11,11,0
G1039,14,14,0
G1060,2,2,0
G1062,1,1,0
G1063,6,6,0
HM957,2,2,0
HM958,3,3,0
HM964,2,2,0
HR1038,1,1,0
S0714,15,15,0
825,19,20,1
0557W,6,7,1
D1486,3,4,1
G1047,4,5,1
G1048,3,4,1
HM953,0,1,1
HM956,1,2,1
HM960,2,3,1
HM962,1,2,1
HR1020,2,3,1
HR1031,3,4,1
G0844,16,18,2
G1032,2,4,2
G1088,0,9,9
OTHER,0,10,10
