Style,Color,6,8,10,12,14,16,18,14w,16w,18w,20w,22w,24w,26w,28w,30w,32w
'0654,RED,,0,4,0,0,0,0,0,0,0,0,8,0,3,,,
'0654,RYL,,0,6,0,0,0,0,0,0,3,7,11,8,6,,,
'0654,PURPLE,,,,,,,,0,1,2,0,4,13,4,,,
'0711,FUCHSIA,,7,17,28,38,33,24,15,23,25,30,19,15,6,,,
'0711,NAVY,,1,0,2,1,1,0,0,0,0,1,1,3,4,,,
'0711,LIME,,,,,,,,9,2,0,2,7,5,,,,
'0888,SAPP/TEAL,,1,5,2,0,21,9,,6,2,18,0,0,,,,
'0889,AQUA BLUE,,,9,25,29,30,26,24,32,32,31,30,26,10,,,
'0889,WHT,,,10,28,35,35,33,3,3,3,2,3,1,2,,,
'0899,SFM,,,0,0,13,1,6,14,21,14,21,26,28,15,,,
G1035,BLK/ROYAL,,,,,,,,,0,11,11,13,1,,,,
G1039,EMERALD/WHT,,,0,0,0,0,2,0,0,0,0,1,1,0,,,
G1047,WHT,,0,0,0,0,0,1,0,3,3,0,0,2,,,,
G1049,ROSE PINK,,0,0,1,0,0,0,,,,,,,,,,
G1049,WHT,,0,0,0,0,1,0,,,,,,,,,,
G1053,NVY/W,,,12,17,24,17,19,15,21,20,28,23,21,,,,
G1063,PINK,,,0,0,1,2,0,7,9,8,9,5,3,,,,
G1063,ICE BLUE,,,,,,,,11,0,0,0,7,9,,,,
G1064,BLK,,,,7,16,10,15,20,23,26,22,21,13,,,,
G1070,PURPLE,,,10,15,24,25,18,12,21,23,21,16,18,10,,,
G1070,RED,,,14,18,27,28,24,13,24,24,23,20,18,14,,,
G1072,A. GRN,,,5,15,23,25,18,14,25,24,24,24,18,,,,
G1072,PURPLE,,,9,16,23,25,18,12,23,26,23,12,18,,,,
G1072,WHT,,,14,29,40,38,29,13,22,24,26,25,20,,,,
G1074,A. GRN,,,12,17,25,26,20,12,21,22,22,17,16,10,,,
G1090,CRAN,,,12,22,22,16,13,,20,16,16,11,9,,,,
G1090,NAVY,,,14,23,23,19,15,,19,17,18,13,9,,,,
T0015,HUNTER GREEN,,5,5,10,20,14,7,,13,9,10,7,5,4,,,
T0074,SIL MULTI,,0,0,2,6,4,7,,2,1,5,0,1,2,,,
T5443,GOLD,,,,,,,,,0,1,0,0,0,5,,,
T5460,PURP/BLK,,8,13,10,8,6,4,,5,5,10,10,9,3,,,
T7006,DK. CITRON,,0,0,0,1,2,0,,1,1,0,0,0,0,,,
