Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,"SEO Title,SEO Description",Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
#0710,#0710,,GIOVANNA APPAREL,SUIT,,TRUE,COLOR,BLK,SIZE,8,,,0710-BLK-8,1360,Shopify,2,deny,manual,109,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/j3fod7f5ltluev4/0710%20black_wm.jpg?dl=0,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
#0710,,,,,,,COLOR,BLK,SIZE,10,,,0710-BLK-10,1360,Shopify,2,deny,manual,109,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/l9989fk6ua9x2q7/0710%20chocolate_wm.jpg?dl=0,,,,,,,,,,,,,,,,,,
#0710,,,,,,,COLOR,BLK,SIZE,12,,,0710-BLK-12,1360,Shopify,3,deny,manual,109,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/gvqxxyuqwr3ge9c/0710%20white_wm.jpg?dl=0,,,,,,,,,,,,,,,,,,
#0710,,,,,,,COLOR,BLK,SIZE,14,,,0710-BLK-14,1360,Shopify,3,deny,manual,109,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/cepiig5rizj5ddm/0710%20royal_wm.jpg?dl=0,,,,,,,,,,,,,,,,,,
#0710,,,,,,,COLOR,BLK,SIZE,16,,,0710-BLK-16,1360,Shopify,3,deny,manual,109,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/pze99k48nipdcho/0710%20ivory_wm.jpg?dl=0,,,,,,,,,,,,,,,,,,
#0710,,,,,,,COLOR,BLK,SIZE,18,,,0710-BLK-18,1360,Shopify,3,deny,manual,109,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/ql3s0fm8pzzh2eg/0710%20navy_wm.jpg?dl=0,,,,,,,,,,,,,,,,,,
#0710,,,,,,,COLOR,IVY,SIZE,8,,,0710-IVY-8,1360,Shopify,2,deny,manual,109,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
#0710,,,,,,,COLOR,IVY,SIZE,10,,,0710-IVY-10,1360,Shopify,3,deny,manual,109,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
#0710,,,,,,,COLOR,IVY,SIZE,12,,,0710-IVY-12,1360,Shopify,3,deny,manual,109,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
#0710,,,,,,,COLOR,IVY,SIZE,14,,,0710-IVY-14,1360,Shopify,3,deny,manual,109,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
