Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,"SEO Title,SEO Description",Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
D1423,D1423 Giovanna Signature Women's 2-piece All-over Textured Crinkle with Embellishment Dress,,GIOVANNA APPAREL,JKDR,GIOVANNA SIGNATURE,TRUE,COLOR,DK. SILVER,SIZE,10,,,D1423-DK. SILVER-10,1360,Shopify,2,deny,manual,0,,TRUE,FALSE,,,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
D1423,,,,,,,COLOR,DK. SILVER,SIZE,12,,,D1423-DK. SILVER-12,1360,Shopify,1,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
D1423,,,,,,,COLOR,DK. SILVER,SIZE,14,,,D1423-DK. SILVER-14,1360,Shopify,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
D1423,,,,,,,COLOR,DK. SILVER,SIZE,16,,,D1423-DK. SILVER-16,1360,Shopify,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
D1423,,,,,,,COLOR,DK. SILVER,SIZE,18,,,D1423-DK. SILVER-18,1360,Shopify,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
D1423,,,,,,,COLOR,DK. SILVER,SIZE,14W,,,D1423W-DK. SILVER-14W,1360,Shopify,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
D1423,,,,,,,COLOR,DK. SILVER,SIZE,16W,,,D1423W-DK. SILVER-16W,1360,Shopify,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
D1423,,,,,,,COLOR,DK. SILVER,SIZE,18W,,,D1423W-DK. SILVER-18W,1360,Shopify,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
D1423,,,,,,,COLOR,DK. SILVER,SIZE,20W,,,D1423W-DK. SILVER-20W,1360,Shopify,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
D1423,,,,,,,COLOR,DK. SILVER,SIZE,22W,,,D1423W-DK. SILVER-22W,1360,Shopify,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
