style,color,url,index
G0842, White-turq,https://dl.dropboxusercontent.com/s/xg8d68dtd257g86/g0842%20white-turq.jpg?dl=0,0
G0842, White-turq,https://dl.dropboxusercontent.com/s/vcqm6l83hywle1g/g0842%20white-turq_back.jpg?dl=0,back.jp
G0842, White-turq,https://dl.dropboxusercontent.com/s/efc0uqg800auqbw/g0842%20white-turq_cami.jpg?dl=0,cami.jp
G0844, Black,https://dl.dropboxusercontent.com/s/t80uf75yenmairq/g0844%20black.jpg?dl=0,0
G0844, Champ,https://dl.dropboxusercontent.com/s/ogo6uzcl6bt2ddg/g0844%20champ.jpg?dl=0,0
G0844, Gold-blk,https://dl.dropboxusercontent.com/s/18resrsofq7gzvu/g0844%20gold-blk.jpg?dl=0,0
G0844, Gold-blk,https://dl.dropboxusercontent.com/s/qfq4ck1uwa6pet6/g0844%20gold-blk_back.jpg?dl=0,back.jp
G0844, Gold-blk,https://dl.dropboxusercontent.com/s/lij9r0e210xgwba/g0844%20gold-blk_cami.jpg?dl=0,cami.jp
G0844, Ice blue,https://dl.dropboxusercontent.com/s/winfx7b8fauq6ro/g0844%20ice%20blue.jpg?dl=0,0
G0844, Ivory,https://dl.dropboxusercontent.com/s/gq54gc4qyzkofe1/g0844%20ivory.jpg?dl=0,0
G0844, Silver,https://dl.dropboxusercontent.com/s/nni5vhmvezz6nx7/g0844%20silver_1.jpg?dl=0,1.jp
G0844, Silver,https://dl.dropboxusercontent.com/s/f85xzgonzdt3zsa/g0844%20silver_2.jpg?dl=0,2.jp
G0844, White,https://dl.dropboxusercontent.com/s/clep81y8jw50i1x/g0844%20white.jpg?dl=0,0
G1001, Black,https://dl.dropboxusercontent.com/s/rmaxgry8afylwg8/g1001%20black.jpg?dl=0,0
G1001, Silver,https://dl.dropboxusercontent.com/s/64pqox4kvapdnap/g1001%20silver.jpg?dl=0,0
G1001, White,https://dl.dropboxusercontent.com/s/huci0j8fsoelv9t/g1001%20white.jpg?dl=0,0
G1007, Black,https://dl.dropboxusercontent.com/s/9lydnocur614d8c/g1007%20black.jpg?dl=0,0
G1007, Chocolate,https://dl.dropboxusercontent.com/s/gja5qw7ssl0a1z6/g1007%20chocolate.jpg?dl=0,0
G1007, Emerald,https://dl.dropboxusercontent.com/s/l0bqm1wlbewmdom/g1007%20emerald.jpg?dl=0,0
G1007, Ice blue,https://dl.dropboxusercontent.com/s/h4nfui092864nkr/g1007%20ice%20blue.jpg?dl=0,0
G1007, Pink,https://dl.dropboxusercontent.com/s/vioplnjja345ju2/g1007%20pink.jpg?dl=0,0
G1007, Red,https://dl.dropboxusercontent.com/s/t9i5o0dygfxuj94/g1007%20red.jpg?dl=0,0
G1011, Champagne,https://dl.dropboxusercontent.com/s/8qra3p7jaqgovq4/G1011%20Champagne.jpg?dl=0,0
G1011, Gunmetal,https://dl.dropboxusercontent.com/s/b8vpwp7ebt4n2qn/G1011%20Gunmetal.jpg?dl=0,0
G1011, Gunmetal,https://dl.dropboxusercontent.com/s/e8elomh8dhxv4aj/G1011%20Gunmetal_back.jpg?dl=0,back.jp
G1011, Red,https://dl.dropboxusercontent.com/s/5g7wh76ts6n1nn7/G1011%20Red.jpg?dl=0,0
G1018, Black,https://dl.dropboxusercontent.com/s/zmg32x2h1tr6t4o/g1018%20black.jpg?dl=0,0
G1018, Cranberry,https://dl.dropboxusercontent.com/s/jwnojl2jzk1vk3g/g1018%20cranberry.jpg?dl=0,0
G1018, Ginger,https://dl.dropboxusercontent.com/s/4cephf418p0kx7t/g1018%20ginger.jpg?dl=0,0
G1018, Purple,https://dl.dropboxusercontent.com/s/1y1wquf6hrs4vi1/g1018%20purple.jpg?dl=0,0
G1018, Soft Pink,https://dl.dropboxusercontent.com/s/grisnogvqjbf4fl/g1018%20soft%20pink.jpg?dl=0,0
G1018, White,https://dl.dropboxusercontent.com/s/lk8u3i8brlbk3tp/g1018%20white.jpg?dl=0,0
G1026, White,https://dl.dropboxusercontent.com/s/8qsza0fom9b2ulo/g1026%20white.jpg?dl=0,0
