Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,"SEO Title,SEO Description",Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
G1047,G1047 Giovanna Collection Women's Silk Wool A-line Jeweled 2-piece Bolero Jacket + Dress,"This elegant A-line jacket dress is definitely your new wardrobe staple! Made in silk twill fabric, trimmed with clear diamond shaped rhinestones along the waistline, layered look v-neck, three quarter sleeve, back zipper closure. Comes with complimentary brooch! Hats are sold separately.",GIOVANNA APPAREL,JKDR,GIOVANNA COLLECTION,TRUE,COLOR,ICE BLUE,SIZE,8,,,G1047-ICE BLUE-8,1360,Shopify,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/3nlbs6we7fl2lm5/G1047%20Emerald_wm.jpg?dl=0,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
G1047,,,,,,,COLOR,ICE BLUE,SIZE,10,,,G1047-ICE BLUE-10,1360,Shopify,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/dagenq91n2yicqm/G1047%20Ice%20blue_wm.jpg?dl=0,,,,,,,,,,,,,,,,,,
G1047,,,,,,,COLOR,ICE BLUE,SIZE,12,,,G1047-ICE BLUE-12,1360,Shopify,2,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/m4vqb1b4kda1gee/G1047%20Pink_wm.jpg?dl=0,,,,,,,,,,,,,,,,,,
G1047,,,,,,,COLOR,ICE BLUE,SIZE,14,,,G1047-ICE BLUE-14,1360,Shopify,2,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/j8f90pcek35580v/G1047%20White_wm.jpg?dl=0,,,,,,,,,,,,,,,,,,
G1047,,,,,,,COLOR,ICE BLUE,SIZE,16,,,G1047-ICE BLUE-16,1360,Shopify,2,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/meb1wbmwhhkwiio/G1047%20Ice%20blue_back_wm.jpg?dl=0,,,,,,,,,,,,,,,,,,
G1047,,,,,,,COLOR,ICE BLUE,SIZE,18,,,G1047-ICE BLUE-18,1360,Shopify,1,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/k3wtdfimx99k5nr/G1047%20Emerald_back_1_wm.jpg?dl=0,,,,,,,,,,,,,,,,,,
G1047,,,,,,,COLOR,PINK,SIZE,8,,,G1047-PINK-8,1360,Shopify,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/yuiiur0ulo4xsmu/G1047%20Emerald_back_2_wm.jpg?dl=0,,,,,,,,,,,,,,,,,,
G1047,,,,,,,COLOR,PINK,SIZE,10,,,G1047-PINK-10,1360,Shopify,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/3moqrruxmgahb4z/G1047%20Emerald_dress_wm.jpg?dl=0,,,,,,,,,,,,,,,,,,
G1047,,,,,,,COLOR,PINK,SIZE,12,,,G1047-PINK-12,1360,Shopify,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G1047,,,,,,,COLOR,PINK,SIZE,14,,,G1047-PINK-14,1360,Shopify,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G1047,,,,,,,COLOR,PINK,SIZE,16,,,G1047-PINK-16,1360,Shopify,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G1047,,,,,,,COLOR,PINK,SIZE,18,,,G1047-PINK-18,1360,Shopify,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G1047,,,,,,,COLOR,WHT,SIZE,8,,,G1047-WHT-8,1360,Shopify,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G1047,,,,,,,COLOR,WHT,SIZE,10,,,G1047-WHT-10,1360,Shopify,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G1047,,,,,,,COLOR,WHT,SIZE,12,,,G1047-WHT-12,1360,Shopify,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G1047,,,,,,,COLOR,WHT,SIZE,14,,,G1047-WHT-14,1360,Shopify,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G1047,,,,,,,COLOR,WHT,SIZE,16,,,G1047-WHT-16,1360,Shopify,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G1047,,,,,,,COLOR,WHT,SIZE,18,,,G1047-WHT-18,1360,Shopify,2,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G1047,,,,,,,COLOR,Emerald,SIZE,14W,,,G1047W-Emerald-14W,1360,Shopify,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G1047,,,,,,,COLOR,Emerald,SIZE,16W,,,G1047W-Emerald-16W,1360,Shopify,1,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G1047,,,,,,,COLOR,Emerald,SIZE,18W,,,G1047W-Emerald-18W,1360,Shopify,2,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G1047,,,,,,,COLOR,Emerald,SIZE,20W,,,G1047W-Emerald-20W,1360,Shopify,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G1047,,,,,,,COLOR,Emerald,SIZE,22W,,,G1047W-Emerald-22W,1360,Shopify,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G1047,,,,,,,COLOR,Emerald,SIZE,24W,,,G1047W-Emerald-24W,1360,Shopify,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G1047,,,,,,,COLOR,ICE BLUE,SIZE,14W,,,G1047W-ICE BLUE-14W,1360,Shopify,2,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G1047,,,,,,,COLOR,ICE BLUE,SIZE,16W,,,G1047W-ICE BLUE-16W,1360,Shopify,3,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G1047,,,,,,,COLOR,ICE BLUE,SIZE,18W,,,G1047W-ICE BLUE-18W,1360,Shopify,3,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G1047,,,,,,,COLOR,ICE BLUE,SIZE,20W,,,G1047W-ICE BLUE-20W,1360,Shopify,3,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G1047,,,,,,,COLOR,ICE BLUE,SIZE,22W,,,G1047W-ICE BLUE-22W,1360,Shopify,3,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
