Style,Supplier SKU,UPC,Title,Description,Size,Color,URL,,,,,
#0650,0650-BLK-6,,,,6,BLK,,,,,,
#0650,0650-BLK-8,,,,8,BLK,,,,,,
#0650,0650-BLK-10,,,,10,BLK,,,,,,
#0650,0650-BLK-12,,,,12,BLK,,,,,,
#0650,0650-BLK-14,,,,14,BLK,,,,,,
#0650,0650-BLK-16,,,,16,BLK,,,,,,
#0650,0650-BLK-18,,,,18,BLK,,,,,,
#0650,0650-CHOCO-6,,,,6,CHOCO,,,,,,
#0650,0650-CHOCO-8,,,,8,CHOCO,,,,,,
#0650,0650-CHOCO-10,,,,10,CHOCO,,,,,,
#0650,0650-CHOCO-12,,,,12,CHOCO,,,,,,
#0650,0650-CHOCO-14,,,,14,CHOCO,,,,,,
#0650,0650-CHOCO-16,,,,16,CHOCO,,,,,,
#0650,0650-CHOCO-18,,,,18,CHOCO,,,,,,
#0650,0650-RYL-6,,,,6,RYL,,,,,,
#0650,0650-RYL-8,,,,8,RYL,,,,,,
#0650,0650-RYL-10,,,,10,RYL,,,,,,
#0650,0650-RYL-12,,,,12,RYL,,,,,,
#0650,0650-RYL-14,,,,14,RYL,,,,,,
#0650,0650-RYL-16,,,,16,RYL,,,,,,
#0650,0650-RYL-18,,,,18,RYL,,,,,,
#0650,0650-SIL-6,,,,6,SIL,,,,,,
#0650,0650-SIL-8,,,,8,SIL,,,,,,
#0650,0650-SIL-10,,,,10,SIL,,,,,,
#0650,0650-SIL-12,,,,12,SIL,,,,,,
#0650,0650-SIL-14,,,,14,SIL,,,,,,
#0650,0650-SIL-16,,,,16,SIL,,,,,,
#0650,0650-SIL-18,,,,18,SIL,,,,,,
#0650,0650-WHT-6,,,,6,WHT,,,,,,
#0650,0650-WHT-8,,,,8,WHT,,,,,,
#0650,0650-WHT-10,,,,10,WHT,,,,,,
#0650,0650-WHT-12,,,,12,WHT,,,,,,
#0650,0650-WHT-14,,,,14,WHT,,,,,,
#0650,0650-WHT-16,,,,16,WHT,,,,,,
#0650,0650-WHT-18,,,,18,WHT,,,,,,
#0650,0650W-BLK-14W,,,,14W,BLK,,,,,,
#0650,0650W-BLK-16W,,,,16W,BLK,,,,,,
#0650,0650W-BLK-18W,,,,18W,BLK,,,,,,
