Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,"SEO Title,SEO Description",Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
710,710,2 PC SET WASHABLE,GIOVANNA APPAREL,SUIT,GIOVANNA SIGNATURE,TRUE,COLOR,BLK,SIZE,14W,,,0710W-BLK-14W,1366,Shopify,1,deny,manual,109,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/cepiig5rizj5ddm/0710%20royal_wm.jpg?dl=0,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
710,,,,,,,COLOR,BLK,SIZE,16W,,,0710W-BLK-16W,1366,Shopify,1,deny,manual,109,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/l9989fk6ua9x2q7/0710%20chocolate_wm.jpg?dl=0,,,,,,,,,,,,,,,,,,
710,,,,,,,COLOR,BLK,SIZE,18W,,,0710W-BLK-18W,1366,Shopify,1,deny,manual,109,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/ql3s0fm8pzzh2eg/0710%20navy_wm.jpg?dl=0,,,,,,,,,,,,,,,,,,
710,,,,,,,COLOR,BLK,SIZE,20W,,,0710W-BLK-20W,1366,Shopify,1,deny,manual,109,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/pze99k48nipdcho/0710%20ivory_wm.jpg?dl=0,,,,,,,,,,,,,,,,,,
710,,,,,,,COLOR,BLK,SIZE,22W,,,0710W-BLK-22W,1366,Shopify,1,deny,manual,109,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/gvqxxyuqwr3ge9c/0710%20white_wm.jpg?dl=0,,,,,,,,,,,,,,,,,,
710,,,,,,,COLOR,BLK,SIZE,24W,,,0710W-BLK-24W,1366,Shopify,1,deny,manual,109,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/j3fod7f5ltluev4/0710%20black_wm.jpg?dl=0,,,,,,,,,,,,,,,,,,
710,,,,,,,COLOR,BLK,SIZE,26W,,,0710W-BLK-26W,1366,Shopify,1,deny,manual,109,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
710,,,,,,,COLOR,BLK,SIZE,28W,,,0710W-BLK-28W,1366,Shopify,1,deny,manual,109,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
710,,,,,,,COLOR,BLK,SIZE,30W,,,0710W-BLK-30W,1366,Shopify,1,deny,manual,109,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
710,,,,,,,COLOR,BLK,SIZE,14W,,,0710W-BLK-14W,1366,Shopify,1,deny,manual,109,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
