Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,"SEO Title,SEO Description",Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
G1069,G1069,,GIOVANNA APPAREL,M1,,TRUE,COLOR,CINNAMON/TPE,SIZE,10,,,G1069-CINNAMON/TPE-10,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/4qvtimva3nwtfmk/G1069%20Cinnamon-tpe_wm.jpg?dl=0,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
G1069,,,,,,,COLOR,CINNAMON/TPE,SIZE,12,,,G1069-CINNAMON/TPE-12,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/sha44am2v2ataaj/G1069%20Steel-silver_wm.jpg?dl=0,,,,,,,,,,,,,,,,,,
G1069,,,,,,,COLOR,CINNAMON/TPE,SIZE,14,,,G1069-CINNAMON/TPE-14,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/484zfacl165snua/G1069%20Cinnamon-tpe_back_wm.jpg?dl=0,,,,,,,,,,,,,,,,,,
G1069,,,,,,,COLOR,CINNAMON/TPE,SIZE,16,,,G1069-CINNAMON/TPE-16,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/f0mzauoynwsxbg5/G1069%20Steel-silver_back_wm.jpg?dl=0,,,,,,,,,,,,,,,,,,
G1069,,,,,,,COLOR,CINNAMON/TPE,SIZE,18,,,G1069-CINNAMON/TPE-18,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/24yyjbcyi763610/G1069%20Cinnamon-tpe_cami_wm.jpg?dl=0,,,,,,,,,,,,,,,,,,
G1069,,,,,,,COLOR,STEEL/SIL,SIZE,10,,,G1069-STEEL/SIL-10,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G1069,,,,,,,COLOR,STEEL/SIL,SIZE,12,,,G1069-STEEL/SIL-12,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G1069,,,,,,,COLOR,STEEL/SIL,SIZE,14,,,G1069-STEEL/SIL-14,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G1069,,,,,,,COLOR,STEEL/SIL,SIZE,16,,,G1069-STEEL/SIL-16,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G1069,,,,,,,COLOR,STEEL/SIL,SIZE,18,,,G1069-STEEL/SIL-18,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G1069,,,,,,,COLOR,CINNAMON/TPE,SIZE,14W,,,G1069W-CINNAMON/TPE-14W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G1069,,,,,,,COLOR,CINNAMON/TPE,SIZE,16W,,,G1069W-CINNAMON/TPE-16W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G1069,,,,,,,COLOR,CINNAMON/TPE,SIZE,18W,,,G1069W-CINNAMON/TPE-18W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G1069,,,,,,,COLOR,CINNAMON/TPE,SIZE,20W,,,G1069W-CINNAMON/TPE-20W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G1069,,,,,,,COLOR,CINNAMON/TPE,SIZE,22W,,,G1069W-CINNAMON/TPE-22W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G1069,,,,,,,COLOR,CINNAMON/TPE,SIZE,24W,,,G1069W-CINNAMON/TPE-24W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G1069,,,,,,,COLOR,STEEL/SIL,SIZE,14W,,,G1069W-STEEL/SIL-14W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G1069,,,,,,,COLOR,STEEL/SIL,SIZE,16W,,,G1069W-STEEL/SIL-16W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G1069,,,,,,,COLOR,STEEL/SIL,SIZE,18W,,,G1069W-STEEL/SIL-18W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G1069,,,,,,,COLOR,STEEL/SIL,SIZE,20W,,,G1069W-STEEL/SIL-20W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G1069,,,,,,,COLOR,STEEL/SIL,SIZE,22W,,,G1069W-STEEL/SIL-22W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
