Style,ATS COLOR,COLOR,SIZE,URL,INDEX
G0844,BLK, Black,8,https://dl.dropboxusercontent.com/s/p3e7t91pj56khhi/G0844%20Black_wm.jpg?dl=0,0
G0844,BLK, Gold-blk,8,https://dl.dropboxusercontent.com/s/snioj559bmsdkkz/G0844%20Gold-blk_back_wm.jpg?dl=0,back
G0844,BLK, Gold-blk,8,https://dl.dropboxusercontent.com/s/488pj3l8x63ynh1/G0844%20Gold-blk_cami_wm.jpg?dl=0,cami
G0844,BLK, Gold-blk,8,https://dl.dropboxusercontent.com/s/0zmm4h96q4fz7lg/G0844%20Gold-blk_wm.jpg?dl=0,0
G0844,BLK, Black,10,https://dl.dropboxusercontent.com/s/p3e7t91pj56khhi/G0844%20Black_wm.jpg?dl=0,0
G0844,BLK, Gold-blk,10,https://dl.dropboxusercontent.com/s/snioj559bmsdkkz/G0844%20Gold-blk_back_wm.jpg?dl=0,back
G0844,BLK, Gold-blk,10,https://dl.dropboxusercontent.com/s/488pj3l8x63ynh1/G0844%20Gold-blk_cami_wm.jpg?dl=0,cami
G0844,BLK, Gold-blk,10,https://dl.dropboxusercontent.com/s/0zmm4h96q4fz7lg/G0844%20Gold-blk_wm.jpg?dl=0,0
G0844,BLK, Black,12,https://dl.dropboxusercontent.com/s/p3e7t91pj56khhi/G0844%20Black_wm.jpg?dl=0,0
G0844,BLK, Gold-blk,12,https://dl.dropboxusercontent.com/s/snioj559bmsdkkz/G0844%20Gold-blk_back_wm.jpg?dl=0,back
G0844,BLK, Gold-blk,12,https://dl.dropboxusercontent.com/s/488pj3l8x63ynh1/G0844%20Gold-blk_cami_wm.jpg?dl=0,cami
G0844,BLK, Gold-blk,12,https://dl.dropboxusercontent.com/s/0zmm4h96q4fz7lg/G0844%20Gold-blk_wm.jpg?dl=0,0
G0844,BLK, Black,14,https://dl.dropboxusercontent.com/s/p3e7t91pj56khhi/G0844%20Black_wm.jpg?dl=0,0
G0844,BLK, Gold-blk,14,https://dl.dropboxusercontent.com/s/snioj559bmsdkkz/G0844%20Gold-blk_back_wm.jpg?dl=0,back
G0844,BLK, Gold-blk,14,https://dl.dropboxusercontent.com/s/488pj3l8x63ynh1/G0844%20Gold-blk_cami_wm.jpg?dl=0,cami
G0844,BLK, Gold-blk,14,https://dl.dropboxusercontent.com/s/0zmm4h96q4fz7lg/G0844%20Gold-blk_wm.jpg?dl=0,0
G0844,BLK, Black,16,https://dl.dropboxusercontent.com/s/p3e7t91pj56khhi/G0844%20Black_wm.jpg?dl=0,0
G0844,BLK, Gold-blk,16,https://dl.dropboxusercontent.com/s/snioj559bmsdkkz/G0844%20Gold-blk_back_wm.jpg?dl=0,back
G0844,BLK, Gold-blk,16,https://dl.dropboxusercontent.com/s/488pj3l8x63ynh1/G0844%20Gold-blk_cami_wm.jpg?dl=0,cami
G0844,BLK, Gold-blk,16,https://dl.dropboxusercontent.com/s/0zmm4h96q4fz7lg/G0844%20Gold-blk_wm.jpg?dl=0,0
G0844,BLK, Black,18,https://dl.dropboxusercontent.com/s/p3e7t91pj56khhi/G0844%20Black_wm.jpg?dl=0,0
G0844,BLK, Gold-blk,18,https://dl.dropboxusercontent.com/s/snioj559bmsdkkz/G0844%20Gold-blk_back_wm.jpg?dl=0,back
G0844,BLK, Gold-blk,18,https://dl.dropboxusercontent.com/s/488pj3l8x63ynh1/G0844%20Gold-blk_cami_wm.jpg?dl=0,cami
G0844,BLK, Gold-blk,18,https://dl.dropboxusercontent.com/s/0zmm4h96q4fz7lg/G0844%20Gold-blk_wm.jpg?dl=0,0
G0844,CHAM, Champ,8,https://dl.dropboxusercontent.com/s/jp913pmz07seynf/G0844%20Champ_wm.jpg?dl=0,0
G0844,CHAM, Champ,10,https://dl.dropboxusercontent.com/s/jp913pmz07seynf/G0844%20Champ_wm.jpg?dl=0,0
G0844,CHAM, Champ,12,https://dl.dropboxusercontent.com/s/jp913pmz07seynf/G0844%20Champ_wm.jpg?dl=0,0
G0844,CHAM, Champ,14,https://dl.dropboxusercontent.com/s/jp913pmz07seynf/G0844%20Champ_wm.jpg?dl=0,0
G0844,CHAM, Champ,16,https://dl.dropboxusercontent.com/s/jp913pmz07seynf/G0844%20Champ_wm.jpg?dl=0,0
G0844,CHAM, Champ,18,https://dl.dropboxusercontent.com/s/jp913pmz07seynf/G0844%20Champ_wm.jpg?dl=0,0
G0844,GLD/BLK, Gold-blk,10,https://dl.dropboxusercontent.com/s/snioj559bmsdkkz/G0844%20Gold-blk_back_wm.jpg?dl=0,back
G0844,GLD/BLK, Gold-blk,10,https://dl.dropboxusercontent.com/s/488pj3l8x63ynh1/G0844%20Gold-blk_cami_wm.jpg?dl=0,cami
G0844,GLD/BLK, Gold-blk,10,https://dl.dropboxusercontent.com/s/0zmm4h96q4fz7lg/G0844%20Gold-blk_wm.jpg?dl=0,0
G0844,GLD/BLK, Gold-blk,12,https://dl.dropboxusercontent.com/s/snioj559bmsdkkz/G0844%20Gold-blk_back_wm.jpg?dl=0,back
G0844,GLD/BLK, Gold-blk,12,https://dl.dropboxusercontent.com/s/488pj3l8x63ynh1/G0844%20Gold-blk_cami_wm.jpg?dl=0,cami
G0844,GLD/BLK, Gold-blk,12,https://dl.dropboxusercontent.com/s/0zmm4h96q4fz7lg/G0844%20Gold-blk_wm.jpg?dl=0,0
G0844,GLD/BLK, Gold-blk,14,https://dl.dropboxusercontent.com/s/snioj559bmsdkkz/G0844%20Gold-blk_back_wm.jpg?dl=0,back
G0844,GLD/BLK, Gold-blk,14,https://dl.dropboxusercontent.com/s/488pj3l8x63ynh1/G0844%20Gold-blk_cami_wm.jpg?dl=0,cami
G0844,GLD/BLK, Gold-blk,14,https://dl.dropboxusercontent.com/s/0zmm4h96q4fz7lg/G0844%20Gold-blk_wm.jpg?dl=0,0
G0844,GLD/BLK, Gold-blk,16,https://dl.dropboxusercontent.com/s/snioj559bmsdkkz/G0844%20Gold-blk_back_wm.jpg?dl=0,back
G0844,GLD/BLK, Gold-blk,16,https://dl.dropboxusercontent.com/s/488pj3l8x63ynh1/G0844%20Gold-blk_cami_wm.jpg?dl=0,cami
G0844,GLD/BLK, Gold-blk,16,https://dl.dropboxusercontent.com/s/0zmm4h96q4fz7lg/G0844%20Gold-blk_wm.jpg?dl=0,0
G0844,GLD/BLK, Gold-blk,18,https://dl.dropboxusercontent.com/s/snioj559bmsdkkz/G0844%20Gold-blk_back_wm.jpg?dl=0,back
G0844,GLD/BLK, Gold-blk,18,https://dl.dropboxusercontent.com/s/488pj3l8x63ynh1/G0844%20Gold-blk_cami_wm.jpg?dl=0,cami
G0844,GLD/BLK, Gold-blk,18,https://dl.dropboxusercontent.com/s/0zmm4h96q4fz7lg/G0844%20Gold-blk_wm.jpg?dl=0,0
G0844,IVY, Ivory,8,https://dl.dropboxusercontent.com/s/a4yyswy1wr3eltp/G0844%20Ivory_wm.jpg?dl=0,0
