Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,"SEO Title,SEO Description",Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
H0889,H0889,FABRIC MATCHING 0889 D1329,GIOVANNA APPAREL,HAT,GIOVANNA SIGNATURE,TRUE,COLOR,AQUA BLUE,SIZE,OS,,,H0889-AQUA BLUE-OS,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/n5rbcm7ycukis8x/H0889%20White_wm.jpg?dl=0,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
H0889,,,,,,,COLOR,CORAL PINK,SIZE,OS,,,H0889-CORAL PINK-OS,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/1b2usldo4mbyehs/H0889%20AquaBlue_wm.jpg?dl=0,,,,,,,,,,,,,,,,,,
H0889,,,,,,,COLOR,WHT,SIZE,OS,,,H0889-WHT-OS,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/55byjpwwuyptosf/H0889%20Coral%20Pink_wm.jpg?dl=0,,,,,,,,,,,,,,,,,,
H0895,H0895,HAT,GIOVANNA APPAREL,HAT,GIOVANNA SIGNATURE,TRUE,COLOR,B. ORANGE,SIZE,OS,,,H0895-B. ORANGE-OS,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/osx574ve3bu25ji/H0895%20B.%20Orange_wm.jpg?dl=0,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
H0907/08,H0907/08,MATCHING HAT FOR 0907 & 0908,GIOVANNA APPAREL,HAT,GIOVANNA SIGNATURE,TRUE,COLOR,Emerald,SIZE,OS,,,H0907/08-Emerald-OS,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/rpf2zppnfymlkgz/H0907-08%20Emerald_wm.jpg?dl=0,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
H0910,H0910,MATCHING HAT FOR 0910,GIOVANNA APPAREL,HAT,GIOVANNA SIGNATURE,TRUE,COLOR,BLK/WHT DOT,SIZE,OS,,,H0910-BLK/WHT DOT-OS,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/isfwc0u5ppw49ed/H0910%20Black-wht%20Dot_wm.jpg?dl=0,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
HD1326,HD1326,LEOPARD PRINT HAT,GIOVANNA APPAREL,HAT,GIOVANNA SIGNATURE,TRUE,COLOR,LEOPARD,SIZE,OS,,,HD1326-LEOPARD-OS,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/sw5sgntkkxq47nc/HD1326%20Leopard_wm.jpg?dl=0,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
HD1335,HD1335,FABRIC MATCHING D1335,GIOVANNA APPAREL,HAT,GIOVANNA SIGNATURE,TRUE,COLOR,W/B,SIZE,OS,,,HD1335-W/B-OS,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/gb6dcenf9hc8js9/HD1335%20White-blk_wm.jpg?dl=0,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
HD1336,HD1336,FABRIC MATCHING D1336,GIOVANNA APPAREL,HAT,GIOVANNA SIGNATURE,TRUE,COLOR,W/B,SIZE,OS,,,HD1336-W/B-OS,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/7vdsitqsm37v8pp/HD1336%20White-Black_wm.jpg?dl=0,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
HD1337,HD1337,FABRIC MATCHING D1337,GIOVANNA APPAREL,HAT,GIOVANNA SIGNATURE,TRUE,COLOR,MULTI,SIZE,OS,,,HD1337-MULTI-OS,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/cx3bbfuxi6r5v82/HD1337%20Multi_wm.jpg?dl=0,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
