Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,"SEO Title,SEO Description",Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
P1011,P1011,1 PC TIERED SKIRT,GIOVANNA APPAREL,SKRT,GIOVANNA SIGNATURE,TRUE,COLOR,NAVY,SIZE,M,,,P1011-NAVY-M,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/dzwhrjbioi5x47o/p1011%20navy_wm.jpg?dl=0,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
P1011,,,,,,,COLOR,NAVY,SIZE,L,,,P1011-NAVY-L,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/fqv205lyd3djs85/p1011%20white_wm.jpg?dl=0,,,,,,,,,,,,,,,,,,
P1011,,,,,,,COLOR,NAVY,SIZE,XL,,,P1011-NAVY-XL,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/aincpaiiyluy2z0/p1011%20pink_wm.jpg?dl=0,,,,,,,,,,,,,,,,,,
P1011,,,,,,,COLOR,NAVY,SIZE,1X,,,P1011-NAVY-1X,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
P1011,,,,,,,COLOR,NAVY,SIZE,2X,,,P1011-NAVY-2X,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
P1011,,,,,,,COLOR,PINK,SIZE,M,,,P1011-PINK-M,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
P1011,,,,,,,COLOR,PINK,SIZE,L,,,P1011-PINK-L,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
P1011,,,,,,,COLOR,PINK,SIZE,XL,,,P1011-PINK-XL,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
P1011,,,,,,,COLOR,PINK,SIZE,1X,,,P1011-PINK-1X,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
P1011,,,,,,,COLOR,PINK,SIZE,2X,,,P1011-PINK-2X,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
