Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,"SEO Title,SEO Description",Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
S0301,S0301,3 PC SET,GIOVANNA APPAREL,SUIT,GIOVANNA SIGNATURE,TRUE,COLOR,RED,SIZE,8,,,S0301-RED-8,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/zrax7kmbl7cfwn3/S0301%20Red_wm.jpg?dl=0,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
S0301,,,,,,,COLOR,RED,SIZE,10,,,S0301-RED-10,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/akbeyjz1wi78ymx/S0301%20Red_back_wm.jpg?dl=0,,,,,,,,,,,,,,,,,,
S0301,,,,,,,COLOR,RED,SIZE,12,,,S0301-RED-12,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
S0301,,,,,,,COLOR,RED,SIZE,14,,,S0301-RED-14,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
S0301,,,,,,,COLOR,RED,SIZE,16,,,S0301-RED-16,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
S0301,,,,,,,COLOR,RED,SIZE,18,,,S0301-RED-18,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
S0301,,,,,,,COLOR,BLK,SIZE,14W,,,S0301W-BLK-14W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
S0301,,,,,,,COLOR,BLK,SIZE,16W,,,S0301W-BLK-16W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
S0301,,,,,,,COLOR,BLK,SIZE,18W,,,S0301W-BLK-18W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
S0301,,,,,,,COLOR,BLK,SIZE,20W,,,S0301W-BLK-20W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
S0301,,,,,,,COLOR,BLK,SIZE,22W,,,S0301W-BLK-22W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
S0301,,,,,,,COLOR,BLK,SIZE,24W,,,S0301W-BLK-24W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
S0301,,,,,,,COLOR,BLK,SIZE,26W,,,S0301W-BLK-26W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
S0301,,,,,,,COLOR,RED,SIZE,14W,,,S0301W-RED-14W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
S0301,,,,,,,COLOR,RED,SIZE,16W,,,S0301W-RED-16W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
S0301,,,,,,,COLOR,RED,SIZE,18W,,,S0301W-RED-18W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
S0301,,,,,,,COLOR,RED,SIZE,20W,,,S0301W-RED-20W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
S0301,,,,,,,COLOR,RED,SIZE,22W,,,S0301W-RED-22W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
S0301,,,,,,,COLOR,RED,SIZE,24W,,,S0301W-RED-24W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
S0301,,,,,,,COLOR,RED,SIZE,26W,,,S0301W-RED-26W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
S0710,S0710,2 PCS SET,GIOVANNA APPAREL,SUIT,GIOVANNA SIGNATURE,TRUE,COLOR,BLK,SIZE,8,,,S0710-BLK-8,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/c4pq5dp2vhot6mm/S0710%20Black_wm.jpg?dl=0,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
S0710,,,,,,,COLOR,BLK,SIZE,10,,,S0710-BLK-10,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
