style,color,url,index
G0842, White-turq,https://dl.dropboxusercontent.com/s/82tys1xpbrazy2h/G0842%20White-turq_back_wm.jpg?dl=0,back
G0842, White-turq,https://dl.dropboxusercontent.com/s/st7qju70z3iaryv/G0842%20White-turq_cami_wm.jpg?dl=0,cami
G0842, White-turq,https://dl.dropboxusercontent.com/s/al4yk38mxpfv0zz/G0842%20White-turq_wm.jpg?dl=0,0
G0844, Black,https://dl.dropboxusercontent.com/s/p3e7t91pj56khhi/G0844%20Black_wm.jpg?dl=0,0
G0844, Champ,https://dl.dropboxusercontent.com/s/jp913pmz07seynf/G0844%20Champ_wm.jpg?dl=0,0
G0844, Gold-blk,https://dl.dropboxusercontent.com/s/snioj559bmsdkkz/G0844%20Gold-blk_back_wm.jpg?dl=0,back
G0844, Gold-blk,https://dl.dropboxusercontent.com/s/488pj3l8x63ynh1/G0844%20Gold-blk_cami_wm.jpg?dl=0,cami
G0844, Gold-blk,https://dl.dropboxusercontent.com/s/0zmm4h96q4fz7lg/G0844%20Gold-blk_wm.jpg?dl=0,0
G0844, Ice blue,https://dl.dropboxusercontent.com/s/62kekclbs01ctcq/G0844%20Ice%20blue_wm.jpg?dl=0,0
G0844, Ivory,https://dl.dropboxusercontent.com/s/a4yyswy1wr3eltp/G0844%20Ivory_wm.jpg?dl=0,0
G0844, Silver,https://dl.dropboxusercontent.com/s/l6uu43nr7ftcj4n/G0844%20Silver_1_wm.jpg?dl=0,1
G0844, Silver,https://dl.dropboxusercontent.com/s/1ztodt17v02kc06/G0844%20Silver_2_wm.jpg?dl=0,2
G0844, White,https://dl.dropboxusercontent.com/s/g243gff0nh8iqjq/G0844%20White_wm.jpg?dl=0,0
G1001, Black,https://dl.dropboxusercontent.com/s/qw3xc3euvg1giy6/G1001%20Black_wm.jpg?dl=0,0
G1001, Silver,https://dl.dropboxusercontent.com/s/3par20nmweo0848/G1001%20Silver_wm.jpg?dl=0,0
G1001, White,https://dl.dropboxusercontent.com/s/58mqv34uuo2dwk2/G1001%20White_wm.jpg?dl=0,0
G1007, Black,https://dl.dropboxusercontent.com/s/y5ygdwatk3964rq/G1007%20Black_wm.jpg?dl=0,0
G1007, Chocolate,https://dl.dropboxusercontent.com/s/syi1u6sx4437y52/G1007%20Chocolate_wm.jpg?dl=0,0
G1007, EMERALD,https://dl.dropboxusercontent.com/s/a19f0dta41yx57f/G1007%20EMERALD_wm.jpg?dl=0,0
G1007, Ice blue,https://dl.dropboxusercontent.com/s/485f5354spuna8c/G1007%20Ice%20blue_wm.jpg?dl=0,0
G1007, Pink,https://dl.dropboxusercontent.com/s/6xsy059ov1sz873/G1007%20Pink_wm.jpg?dl=0,0
G1007, Red,https://dl.dropboxusercontent.com/s/ax7t6qpx5unss8a/G1007%20Red_wm.jpg?dl=0,0
G1011, Champagne,https://dl.dropboxusercontent.com/s/4qup1kabm4zve3d/G1011%20Champagne_wm.jpg?dl=0,0
G1011, Gunmetal,https://dl.dropboxusercontent.com/s/f5ewn46ma2y20jg/G1011%20Gunmetal_back_wm.jpg?dl=0,back
G1011, Gunmetal,https://dl.dropboxusercontent.com/s/27gvl0xpd5z8025/G1011%20Gunmetal_wm.jpg?dl=0,0
G1011, Red,https://dl.dropboxusercontent.com/s/dls6vby962q0jjy/G1011%20Red_wm.jpg?dl=0,0
G1018, Black,https://dl.dropboxusercontent.com/s/qwg0gcr0hpo4qo0/G1018%20Black_wm.jpg?dl=0,0
G1018, Cranberry,https://dl.dropboxusercontent.com/s/7ejecyskqrvsact/G1018%20Cranberry_wm.jpg?dl=0,0
G1018, Ginger,https://dl.dropboxusercontent.com/s/a2wabyhpjbite43/G1018%20Ginger_wm.jpg?dl=0,0
G1018, Purple,https://dl.dropboxusercontent.com/s/mocrkwd2fgfja59/G1018%20Purple_wm.jpg?dl=0,0
G1018, Soft Pink,https://dl.dropboxusercontent.com/s/qfvetpf5wejw08w/G1018%20Soft%20Pink_wm.jpg?dl=0,0
G1018, White,https://dl.dropboxusercontent.com/s/ablapwvcdli9nwy/G1018%20White_wm.jpg?dl=0,0
G1026, White,https://dl.dropboxusercontent.com/s/ld9ih4g2wr5oufu/G1026%20White_wm.jpg?dl=0,0
G1032, Black-sil,https://dl.dropboxusercontent.com/s/8xyk5jcm9ac3umg/G1032%20Black-sil_back_wm.jpg?dl=0,back
G1032, Black-sil,https://dl.dropboxusercontent.com/s/wo2yo6rhc8uotk6/G1032%20Black-sil_wm.jpg?dl=0,0
