Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,"SEO Title,SEO Description",Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
G0844,G0844,3 PC SET,GIOVANNA APPAREL,SUIT,GIOVANNA COLLECTION,TRUE,COLOR,BLK,SIZE,8,,,G0844-BLK-8,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/a4yyswy1wr3eltp/G0844%20Ivory_wm.jpg?dl=0,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
G0844,,,,,,,COLOR,BLK,SIZE,10,,,G0844-BLK-10,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/p3e7t91pj56khhi/G0844%20Black_wm.jpg?dl=0,,,,,,,,,,,,,,,,,,
G0844,,,,,,,COLOR,BLK,SIZE,12,,,G0844-BLK-12,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/g243gff0nh8iqjq/G0844%20White_wm.jpg?dl=0,,,,,,,,,,,,,,,,,,
G0844,,,,,,,COLOR,BLK,SIZE,14,,,G0844-BLK-14,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/0zmm4h96q4fz7lg/G0844%20Gold-blk_wm.jpg?dl=0,,,,,,,,,,,,,,,,,,
G0844,,,,,,,COLOR,BLK,SIZE,16,,,G0844-BLK-16,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/jp913pmz07seynf/G0844%20Champ_wm.jpg?dl=0,,,,,,,,,,,,,,,,,,
G0844,,,,,,,COLOR,BLK,SIZE,18,,,G0844-BLK-18,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/l6uu43nr7ftcj4n/G0844%20Silver_1_wm.jpg?dl=0,,,,,,,,,,,,,,,,,,
G0844,,,,,,,COLOR,CHAM,SIZE,8,,,G0844-CHAM-8,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/1ztodt17v02kc06/G0844%20Silver_2_wm.jpg?dl=0,,,,,,,,,,,,,,,,,,
G0844,,,,,,,COLOR,CHAM,SIZE,10,,,G0844-CHAM-10,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/snioj559bmsdkkz/G0844%20Gold-blk_back_wm.jpg?dl=0,,,,,,,,,,,,,,,,,,
G0844,,,,,,,COLOR,CHAM,SIZE,12,,,G0844-CHAM-12,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/488pj3l8x63ynh1/G0844%20Gold-blk_cami_wm.jpg?dl=0,,,,,,,,,,,,,,,,,,
G0844,,,,,,,COLOR,CHAM,SIZE,14,,,G0844-CHAM-14,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G0844,,,,,,,COLOR,CHAM,SIZE,16,,,G0844-CHAM-16,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G0844,,,,,,,COLOR,CHAM,SIZE,18,,,G0844-CHAM-18,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G0844,,,,,,,COLOR,GLD/BLK,SIZE,10,,,G0844-GLD/BLK-10,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G0844,,,,,,,COLOR,GLD/BLK,SIZE,12,,,G0844-GLD/BLK-12,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G0844,,,,,,,COLOR,GLD/BLK,SIZE,14,,,G0844-GLD/BLK-14,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G0844,,,,,,,COLOR,GLD/BLK,SIZE,16,,,G0844-GLD/BLK-16,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G0844,,,,,,,COLOR,GLD/BLK,SIZE,18,,,G0844-GLD/BLK-18,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G0844,,,,,,,COLOR,IVY,SIZE,8,,,G0844-IVY-8,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G0844,,,,,,,COLOR,IVY,SIZE,10,,,G0844-IVY-10,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G0844,,,,,,,COLOR,IVY,SIZE,12,,,G0844-IVY-12,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G0844,,,,,,,COLOR,IVY,SIZE,14,,,G0844-IVY-14,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G0844,,,,,,,COLOR,IVY,SIZE,16,,,G0844-IVY-16,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G0844,,,,,,,COLOR,IVY,SIZE,18,,,G0844-IVY-18,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G0844,,,,,,,COLOR,SIL,SIZE,8,,,G0844-SIL-8,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G0844,,,,,,,COLOR,SIL,SIZE,10,,,G0844-SIL-10,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G0844,,,,,,,COLOR,SIL,SIZE,12,,,G0844-SIL-12,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G0844,,,,,,,COLOR,SIL,SIZE,14,,,G0844-SIL-14,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G0844,,,,,,,COLOR,SIL,SIZE,16,,,G0844-SIL-16,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G0844,,,,,,,COLOR,SIL,SIZE,18,,,G0844-SIL-18,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G0844,,,,,,,COLOR,WHT,SIZE,8,,,G0844-WHT-8,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G0844,,,,,,,COLOR,WHT,SIZE,10,,,G0844-WHT-10,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G0844,,,,,,,COLOR,WHT,SIZE,12,,,G0844-WHT-12,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G0844,,,,,,,COLOR,WHT,SIZE,14,,,G0844-WHT-14,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G0844,,,,,,,COLOR,WHT,SIZE,16,,,G0844-WHT-16,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G0844,,,,,,,COLOR,WHT,SIZE,18,,,G0844-WHT-18,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G0844,,,,,,,COLOR,BLK,SIZE,14W,,,G0844W-BLK-14W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G0844,,,,,,,COLOR,BLK,SIZE,16W,,,G0844W-BLK-16W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G0844,,,,,,,COLOR,BLK,SIZE,18W,,,G0844W-BLK-18W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G0844,,,,,,,COLOR,BLK,SIZE,20W,,,G0844W-BLK-20W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G0844,,,,,,,COLOR,BLK,SIZE,22W,,,G0844W-BLK-22W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G0844,,,,,,,COLOR,BLK,SIZE,24W,,,G0844W-BLK-24W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G0844,,,,,,,COLOR,CHAM,SIZE,14W,,,G0844W-CHAM-14W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G0844,,,,,,,COLOR,CHAM,SIZE,16W,,,G0844W-CHAM-16W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
G0844,,,,,,,COLOR,CHAM,SIZE,18W,,,G0844W-CHAM-18W,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
