style,color,url,index
P1011, Navy,https://dl.dropboxusercontent.com/s/dzwhrjbioi5x47o/p1011%20navy_wm.jpg?dl=0,0
P1011, Pink,https://dl.dropboxusercontent.com/s/aincpaiiyluy2z0/p1011%20pink_wm.jpg?dl=0,0
P1011, White,https://dl.dropboxusercontent.com/s/fqv205lyd3djs85/p1011%20white_wm.jpg?dl=0,0
P1012, Green,https://dl.dropboxusercontent.com/s/3gjsi95p83c7y55/p1012%20green_wm.jpg?dl=0,0
P1012, Red-blue-yellow,https://dl.dropboxusercontent.com/s/ugp39dm9bwtn300/p1012%20red-blue-yellow_1_wm.jpg?dl=0,1
P1012, Red-blue-yellow,https://dl.dropboxusercontent.com/s/ch1xzzze7bauson/p1012%20red-blue-yellow_2_wm.jpg?dl=0,2
P1013, Black-wht,https://dl.dropboxusercontent.com/s/148op65dl7o0c0p/p1013%20black-wht_1_wm.jpg?dl=0,1
P1013, Black-wht,https://dl.dropboxusercontent.com/s/fcvk2t5cbo2ja8o/p1013%20black-wht_2_wm.jpg?dl=0,2
P1013, Rainbow,https://dl.dropboxusercontent.com/s/bdpb48l2p8mggkp/p1013%20rainbow_wm.jpg?dl=0,0
P1013, Royal,https://dl.dropboxusercontent.com/s/2n9hybn05i2muar/p1013%20royal_1_wm.jpg?dl=0,1
P1014, Denim,https://dl.dropboxusercontent.com/s/mvz23um8ic4174i/p1014%20denim_skirt%20only_wm.jpg?dl=0,Skirt Only
P1016, Denim-orange,https://dl.dropboxusercontent.com/s/1l0mbt6n9fys8qt/p1016%20denim-orange_wm.jpg?dl=0,0
PS1701, Pink,https://dl.dropboxusercontent.com/s/pc905efdrp796di/ps1701%20pink_wm.jpg?dl=0,0
