Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,"SEO Title,SEO Description",Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
S0712,S0712,,GIOVANNA APPAREL,M1,,TRUE,COLOR,BLK,SIZE,10,,,S0712-BLK-10,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/bb7sks1crhahbwj/S0712%20Navy_wm.jpg?dl=0,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,,Women suits,,new,FALSE,,,,,,,lb
S0712,,,,,,,COLOR,BLK,SIZE,12,,,S0712-BLK-12,,,0,deny,manual,0,,TRUE,FALSE,,https://dl.dropboxusercontent.com/s/7wdjewk8fraxm59/S0712%20Black_wm.jpg?dl=0,,,,,,,,,,,,,,,,,,
S0712,,,,,,,COLOR,BLK,SIZE,14,,,S0712-BLK-14,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
S0712,,,,,,,COLOR,BLK,SIZE,16,,,S0712-BLK-16,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
S0712,,,,,,,COLOR,BLK,SIZE,18,,,S0712-BLK-18,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
S0712,,,,,,,COLOR,NAVY,SIZE,8,,,S0712-NAVY-8,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
S0712,,,,,,,COLOR,NAVY,SIZE,10,,,S0712-NAVY-10,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
S0712,,,,,,,COLOR,NAVY,SIZE,12,,,S0712-NAVY-12,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
S0712,,,,,,,COLOR,NAVY,SIZE,14,,,S0712-NAVY-14,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
S0712,,,,,,,COLOR,NAVY,SIZE,16,,,S0712-NAVY-16,,,0,deny,manual,0,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
