style,code
0898 Seafoam 2 pc Brocade Skirt Suit,['0898W-SFM-22W']
0902 Blue 2 Pc DBL Breasted Skirt Suit,-1
0902 Pink 2 Pc DBL Breasted Skirt Suit,-1
0928 Ocean Blue 2 PC Back Zipper Top and Pocket Skirt,-1
0928 Violet 1 2Pc Back Zipper Top and Pocket Skirt,-1
D1326 White Butterfly Sleeves 1 pc Chiffon Dress,"['D1326-WHT-M', 'D1326-WHT-L', 'D1326-WHT-XL', 'D1326-WHT-1X']"
D1326P Blue Print Butterfly Sleeves 1 pc Chiffon Dress,"['D1326P-BLUE PRT-M', 'D1326P-BLUE PRT-L', 'D1326P-BLUE PRT-XL', 'D1326P-BLUE PRT-1X']"
D1326P Yellow Print Butterfly Sleeves 1 pc Chiffon Dress,"['D1326P-YEL PRT-M', 'D1326P-YEL PRT-L', 'D1326P-YEL PRT-XL', 'D1326P-YEL PRT-1X']"
D1334 Navy 2 pc Brocade A-line Dress with Cape,"['D1334W-NAVY-24W', 'D1334W-NAVY-26W']"
D1334 Purple 2 pc Brocade A-line Dress with Cape,"['D1334W-PURPLE-14W', 'D1334W-PURPLE-16W', 'D1334W-PURPLE-18W', 'D1334W-PURPLE-20W', 'D1334W-PURPLE-22W', 'D1334W-PURPLE-24W', 'D1334W-PURPLE-26W']"
D1352 Pink 1pc Lace Drs w/ Metallic Threads & Scarf Sleeves,"['D1352-PINK-10', 'D1352-PINK-12', 'D1352-PINK-14', 'D1352-PINK-16', 'D1352-PINK-18', 'D1352W-PINK-16W', 'D1352W-PINK-18W', 'D1352W-PINK-20W', 'D1352W-PINK-22W', 'D1352W-PINK-24W']"
D1352 Turq 1pc Lace Drs w/ Metallic Threads & Scarf Sleeves,"['D1352-TURQ-10', 'D1352-TURQ-12', 'D1352-TURQ-14', 'D1352-TURQ-16', 'D1352-TURQ-18', 'D1352W-TURQ-16W', 'D1352W-TURQ-18W', 'D1352W-TURQ-20W', 'D1352W-TURQ-22W', 'D1352W-TURQ-24W']"
D1424 Black 2 pc Shantung Jacket Dress with Rhinestone Clasp,['D1424-BLK-10']
D1424 Burgundy 2 pc Shantung Jacket Dress with Rhinestone Clasp,"['D1424-BURGUNDY-10', 'D1424-BURGUNDY-12', 'D1424-BURGUNDY-16', 'D1424-BURGUNDY-18', 'D1424W-BURGUNDY-16W', 'D1424W-BURGUNDY-24W', 'D1424W-BURGUNDY-26W']"
D1424 Champagne 2 pc Shantung Jacket Dress with Rhinestone Clasp,"['D1424-CHAM-18', 'D1424W-CHAM-14W', 'D1424W-CHAM-16W', 'D1424W-CHAM-18W', 'D1424W-CHAM-20W', 'D1424W-CHAM-22W', 'D1424W-CHAM-24W', 'D1424W-CHAM-26W']"
D1424 Royal 2 pc Shantung Jacket Dress with Rhinestone Clasp,"['D1424W-RYL-24W', 'D1424W-RYL-26W']"
D1424 White 2 pc Shantung Jacket Dress with Rhinestone Clasp,"['D1424-WHT-16', 'D1424W-WHT-14W']"
D1446 Navy/White 1 pc Striped Virtual Silk Dress,[]
D1446 Purple/Black 1 pc Striped Virtual Silk Dress,[]
D1446 Red/Black 1 pc Striped Virtual Silk Dress,[]
D1467 Orange/Black 1 pc Brocade Dress w/ Belt,[]
D1475 Denim 1 pc Cotton Wrap Dress,['D1475-DENIM BLUE-XL']
D1481 Hot Pink 1 pc Simple A-line Dress in Crepe,-1
D1482 White 1 Pc Cape Dress,-1
D1482 Yellow 1 Pc Cape Dress,-1
D1490 White 1 pc Layered Look Chiffon Dress,"['D1490-WHT-14', 'D1490-WHT-16', 'D1490-WHT-18', 'D1490W-WHT-14W', 'D1490W-WHT-16W', 'D1490W-WHT-18W']"
